model,acc6,macro_recall6,n6,n_seeds,ext_acc,int_acc21,drop21_pp,drop6_pp,rank_drop21,rank_drop6
Proposed_HMLA_CAFormerS18,1.0,1.0,403.6666666666667,3,0.699375,0.9882386666666668,28.886366666666685,30.062500000000004,1,1
efficientnet_b3,1.0,1.0,403.6666666666667,3,0.6926388888888889,0.9839056666666668,29.126677777777786,30.736111111111107,2,2
vit_small_patch16_224,0.9975227051241103,0.9977574835109082,403.6666666666667,3,0.6863194444444445,0.9860723333333332,29.975288888888873,31.120326067966587,3,3
legacy_seresnext50_32x4d,1.0,1.0,403.6666666666667,3,0.6734722222222222,0.9879293333333332,31.445711111111095,32.65277777777777,4,4
regnety_016,1.0,1.0,403.6666666666667,3,0.6642361111111111,0.9873103333333332,32.3074222222222,33.576388888888886,5,5
swin_small_patch4_window7_224,1.0,1.0,403.6666666666667,3,0.6635416666666667,0.9882386666666668,32.46970000000001,33.64583333333333,6,6
vit_base_patch16_224,0.9991749174917492,0.9992592592592593,403.6666666666667,3,0.6597916666666667,0.9870006666666667,32.72090000000001,33.93832508250826,7,7
resnet101,0.9991749174917492,0.9982638888888888,403.6666666666667,3,0.6429861111111111,0.9736923333333336,33.07062222222225,35.61888063806381,8,8
convnext_small,1.0,1.0,403.6666666666667,3,0.6431944444444445,0.9876196666666668,34.44252222222223,35.68055555555555,9,9
densenet201,1.0,1.0,403.6666666666667,3,0.6322222222222221,0.986072,35.384977777777785,36.777777777777786,11,10
mnasnet_100,0.9991749174917492,0.9992389649923896,403.6666666666667,3,0.62875,0.9814296666666666,35.26796666666666,37.04249174917492,10,11
caformer_s18.sail_in22k_ft_in1k,1.0,1.0,403.6666666666667,3,0.6284027777777778,0.9854533333333334,35.70505555555557,37.15972222222222,12,12
resnext50_32x4d,1.0,1.0,403.6666666666667,3,0.6251388888888889,0.9829773333333334,35.78384444444445,37.48611111111111,13,13
convnext_tiny,1.0,1.0,403.6666666666667,3,0.6172222222222222,0.9848343333333331,36.761211111111095,38.27777777777778,15,14
resnet50,0.9983498349834984,0.9975028538812786,403.6666666666667,3,0.6124305555555556,0.9761683333333332,36.37377777777776,38.59192794279428,14,15
swin_tiny_patch4_window7_224,1.0,1.0,403.6666666666667,3,0.6042361111111111,0.9870006666666667,38.276455555555565,39.57638888888889,16,16
ghostnet_100,1.0,1.0,403.6666666666667,3,0.5965277777777778,0.9808106666666666,38.428288888888886,40.34722222222222,17,17
legacy_xception,1.0,1.0,403.6666666666667,3,0.5945138888888889,0.9839056666666668,38.939177777777786,40.54861111111111,18,18
densenet121,1.0,1.0,403.6666666666667,3,0.5655555555555556,0.9863816666666666,42.0826111111111,43.44444444444444,19,19
deit3_small_patch16_224,0.9991749174917492,0.9992389649923896,403.6666666666667,3,0.5620138888888889,0.9854533333333334,42.343944444444446,43.716102860286036,20,20
mobilenetv3_large_100,1.0,1.0,403.6666666666667,3,0.5531944444444444,0.9839056666666668,43.071122222222236,44.68055555555556,21,21
inception_v3,0.9991728701406121,0.9992492492492492,403.6666666666667,3,0.4908333333333333,0.9848343333333331,49.40009999999999,50.83395368072787,23,22
mobilenetv2_100,1.0,1.0,403.6666666666667,3,0.488125,0.975859,48.7734,51.18750000000001,22,23
efficientnet_b0,1.0,1.0,403.6666666666667,3,0.4481944444444444,0.9829773333333334,53.478288888888905,55.180555555555564,24,24
vgg16,0.9991749174917492,0.9992389649923896,403.6666666666667,3,0.2417361111111111,0.9873103333333332,74.55742222222221,75.74388063806381,25,25
vgg19,1.0,1.0,403.6666666666667,3,0.2264583333333333,0.983906,75.74476666666666,77.35416666666667,26,26
