experiment,model,n_seeds,P1_f1,P1_acc,P2_f1,P3_f1,P3_acc,leakage,leakage_sd,gmean,zero_any,zero_min
ablation,full,3,0.6750835288709744,0.69375,0.19288100824884982,0.6831850904326271,0.7334027777777777,0.08951388888888889,0.009803479871586042,0.3341779844906598,0,0
ablation,wo_beta_calib,3,0.6626398520331983,0.6929861111111112,0.18932567200948525,0.668711171775827,0.7226388888888889,0.06597222222222222,0.02535369019455514,0.20394926896265794,1,0
ablation,wo_ema,3,0.662429418700861,0.6874305555555557,0.18926554820024602,0.6728172448268799,0.723125,0.0825,0.0339928250190798,0.2416635826259489,1,0
ablation,wo_hier,3,0.6764069050916709,0.6861805555555556,0.19325911574047738,0.6928418897852119,0.7411805555555556,0.1061111111111111,0.032606884427019964,0.20463595667164816,1,0
ablation,wo_label_smoothing,3,0.6423433193747121,0.6724305555555555,0.1835266626784892,0.6486240165480215,0.7038888888888889,0.07527777777777778,0.021703027715898004,0.10888191626154958,1,0
ablation,wo_lap,3,0.6540889257642595,0.655625,0.18688255021835987,0.6652253671580279,0.7162499999999999,0.14805555555555555,0.01142862309842818,0.23533456117224236,1,0
ablation,wo_lap_gate,3,0.6788960078105001,0.6894444444444444,0.19397028794585716,0.6846495672120422,0.7349305555555556,0.11430555555555555,0.05497408375097542,0.2236399046724411,1,0
ablation,wo_llrd,1,0.6867782598929394,0.6935416666666666,0.19622235996941123,0.688238209864067,0.731875,0.11333333333333333,,0.3940209369403523,0,0
benchmark,caformer_s18.sail_in22k_ft_in1k,3,0.6548109257023781,0.6284027777777778,0.18708883591496517,0.6988920819731111,0.7397916666666666,0.21833333333333335,0.09564201918264448,0.2811101052898476,1,0
benchmark,convnext_small,3,0.6395200003461493,0.6431944444444445,0.1827200000988998,0.6543109588129022,0.7038888888888888,0.14243055555555553,0.0663555021233133,0.007857839457296336,1,1
benchmark,convnext_tiny,3,0.6247226219395903,0.6172222222222222,0.17849217769702577,0.6450427631517203,0.6960416666666666,0.17666666666666667,0.030440202081750023,0.1676187561961625,1,0
benchmark,deit3_small_patch16_224,3,0.6137307054323698,0.5620138888888889,0.17535163012353427,0.6758745858537251,0.7235416666666667,0.31583333333333335,0.029536347664078814,0.007009656303455237,1,1
benchmark,densenet121,3,0.6291120522460852,0.5655555555555556,0.1797463006417386,0.7200497678357567,0.7584027777777779,0.33819444444444446,0.05740985284516681,0.3198427168169194,0,0
benchmark,densenet201,3,0.6587471008432506,0.6322222222222221,0.1882134573837859,0.6904297279785964,0.7370833333333334,0.2078472222222222,0.05542971859664907,0.007860875677910729,1,1
benchmark,efficientnet_b0,3,0.5310569666755005,0.4481944444444444,0.15173056190728584,0.6410689558515558,0.6604861111111111,0.3894444444444445,0.0494572685460594,0.33338419406826975,0,0
benchmark,efficientnet_b3,3,0.6709041078815776,0.6926388888888889,0.19168688796616506,0.676656570536347,0.7246527777777777,0.0770138888888889,0.02628745123804498,0.25640703002953946,1,0
benchmark,ghostnet_100,3,0.6277439087915696,0.5965277777777778,0.179355402511877,0.6735359798677907,0.7159027777777777,0.23083333333333333,0.03114635590420028,0.337275348046175,0,0
benchmark,inception_v3,3,0.5339459023161875,0.4908333333333333,0.1525559720903393,0.5912772847562318,0.6317361111111112,0.3022916666666667,0.04713170450391592,0.17321575892910782,1,0
benchmark,legacy_seresnext50_32x4d,3,0.6841568820963255,0.6734722222222222,0.19547339488466442,0.7053834349228785,0.7535416666666667,0.1634722222222222,0.04020851324081801,0.24633625002656576,1,0
benchmark,legacy_xception,3,0.5857880524468547,0.5945138888888889,0.1673680149848156,0.5960342765001052,0.6538194444444444,0.15555555555555556,0.07160042157955755,0.00708703506725162,1,1
benchmark,mnasnet_100,3,0.6303962406867681,0.62875,0.1801132116247909,0.6500480546503411,0.685138888888889,0.11097222222222224,0.03660051640244883,0.38863732559893527,0,0
benchmark,mobilenetv2_100,3,0.5348301394591711,0.488125,0.1528086112740489,0.5952543875636519,0.6272916666666667,0.29847222222222225,0.11423514015122653,0.07435498511863413,1,0
benchmark,mobilenetv3_large_100,3,0.6000796355842831,0.5531944444444444,0.17145132445265232,0.6411305317198955,0.6849305555555555,0.28750000000000003,0.022572222051303107,0.21293993535867825,1,0
benchmark,regnety_016,3,0.6669685029741329,0.6642361111111111,0.19056242942118085,0.687168935545904,0.7361805555555555,0.1448611111111111,0.037883074252425916,0.19513321233832479,1,0
benchmark,resnet101,3,0.6361249294836759,0.6429861111111111,0.18174997985247884,0.6426811992290492,0.69125,0.13375,0.011575161985907583,0.4138722225006352,0,0
benchmark,resnet50,3,0.6212157346642377,0.6124305555555556,0.17749020990406794,0.6439727648425565,0.690486111111111,0.17409722222222224,0.03426455320708969,0.19497059728943875,1,0
benchmark,resnext50_32x4d,3,0.6175317514254197,0.6251388888888889,0.1764376432644056,0.6439168391815514,0.6934722222222223,0.14715277777777777,0.061925951711462375,0.08748611893986606,1,0
benchmark,swin_small_patch4_window7_224,3,0.6819489907491896,0.6635416666666667,0.1948425687854827,0.6969044876821386,0.7413194444444443,0.19354166666666664,0.011065226437407918,0.288382229232162,1,0
benchmark,swin_tiny_patch4_window7_224,3,0.6519607657332104,0.6042361111111111,0.186274504495203,0.6817796062622173,0.7284722222222223,0.2804166666666667,0.004409585518440976,0.2791109540403825,0,0
benchmark,vgg16,3,0.3421810716197414,0.24173611111111112,0.09776602046278325,0.5922853371654204,0.6254166666666666,0.6942361111111112,0.11549041216016993,0.003262913371906812,1,1
benchmark,vgg19,3,0.3151588123890346,0.22645833333333332,0.09004537496829561,0.6022488425814722,0.6341666666666667,0.7204861111111112,0.013232583766904607,0.07347063658212248,1,0
benchmark,vit_base_patch16_224,3,0.6619303453882114,0.6597916666666667,0.18912295582520325,0.6744558621240709,0.7107638888888889,0.11034722222222222,0.02039681574640004,0.4821014128101469,0,0
benchmark,vit_small_patch16_224,3,0.6758929047617915,0.6863194444444445,0.193112258503369,0.6784495024613757,0.7323611111111111,0.12458333333333334,0.02782322670799426,0.12137611814943505,1,0
proposed,Proposed_HMLA_CAFormerS18,3,0.6739426666344217,0.699375,0.19255504760983477,0.675799609704072,0.7253472222222221,0.07437500000000001,0.03540011868310299,0.2506379608748463,1,0
