experiment,model,seed,P1_f1,P1_acc,P2_f1,P3_f1,P3_acc,leakage,mass_absent,gmean,n_zero_recall
benchmark,caformer_s18.sail_in22k_ft_in1k,1234,0.6908691344579018,0.6908333333333333,0.19739118127368624,0.7021393190558126,0.740625,0.12375,0.22153887152671814,0.4072360805497381,0
benchmark,caformer_s18.sail_in22k_ft_in1k,2024,0.6662216408227538,0.6383333333333333,0.1903490402350725,0.7030615502430911,0.7370833333333333,0.21625,0.2867720425128937,0.42919096547007,0
benchmark,caformer_s18.sail_in22k_ft_in1k,42,0.6073420018264787,0.5560416666666667,0.17352628623613675,0.6914753766204296,0.7416666666666667,0.315,0.42066317796707153,0.006903269849734674,1
benchmark,convnext_small,1234,0.6494428331467145,0.6747916666666667,0.1855550951847756,0.6541309744885163,0.7045833333333333,0.07583333333333334,0.16244034469127655,0.0082574162793483,1
benchmark,convnext_small,2024,0.6020522402944087,0.5877083333333334,0.17201492579840252,0.6178241312559213,0.6652083333333333,0.20854166666666665,0.29175612330436707,0.007146623609703998,1
benchmark,convnext_small,42,0.6670649275973245,0.6670833333333334,0.19058997931352128,0.6909777706942694,0.741875,0.14291666666666666,0.22583457827568054,0.008169478482836712,1
benchmark,convnext_tiny,1234,0.61852054812322,0.60125,0.17672015660663426,0.6394507553924348,0.6933333333333334,0.209375,0.2846224904060364,0.24328894095180584,0
benchmark,convnext_tiny,2024,0.638906283718964,0.62125,0.18254465249113255,0.6673359047397125,0.7066666666666667,0.17145833333333332,0.2563323378562927,0.2520758362326456,0
benchmark,convnext_tiny,42,0.6167410339765867,0.6291666666666667,0.17621172399331048,0.6283416293230134,0.688125,0.14916666666666667,0.25032779574394226,0.007491491404036014,1
benchmark,deit3_small_patch16_224,1234,0.6047449133787842,0.5510416666666667,0.17278426096536692,0.6932307953137427,0.7429166666666667,0.32625,0.4278777539730072,0.00687811524214949,1
benchmark,deit3_small_patch16_224,2024,0.6252289030913185,0.585625,0.17863682945466244,0.6573748396381541,0.70125,0.2825,0.3686768710613251,0.007244523003531906,1
benchmark,deit3_small_patch16_224,42,0.611218299827007,0.549375,0.17463379995057343,0.6770181226092786,0.7264583333333333,0.33875,0.4246385395526886,0.006906330664684316,1
benchmark,densenet121,1234,0.6056673741903574,0.531875,0.17304782119724496,0.689612615179505,0.7360416666666667,0.38083333333333336,0.5598177313804626,0.2824529625119456,0
benchmark,densenet121,2024,0.644444125607318,0.5691666666666667,0.1841268930306623,0.783816979841038,0.7958333333333333,0.36083333333333334,0.528835117816925,0.4350773884676373,0
benchmark,densenet121,42,0.6372246569405801,0.595625,0.1820641876973086,0.686719708486727,0.7433333333333333,0.27291666666666664,0.5060608386993408,0.24199779947117514,0
benchmark,densenet201,1234,0.6829714895391644,0.671875,0.1951347112969041,0.6944037530817825,0.739375,0.153125,0.359186053276062,0.008330630184628296,1
benchmark,densenet201,2024,0.6021700552209187,0.5602083333333333,0.1720485872059768,0.6664901048986392,0.7127083333333334,0.26395833333333335,0.49493855237960815,0.007056675868965661,1
benchmark,densenet201,42,0.6910997577696687,0.6645833333333333,0.19745707364847678,0.7103953259553674,0.7591666666666667,0.20645833333333333,0.4114905595779419,0.008195320980138228,1
benchmark,efficientnet_b0,1234,0.5273105590153011,0.43645833333333334,0.15066015971865743,0.6399511658088696,0.6666666666666666,0.44479166666666664,0.5855501294136047,0.3003091954308337,0
benchmark,efficientnet_b0,2024,0.5150412079281087,0.4352083333333333,0.14715463083660246,0.6155419406530346,0.6241666666666666,0.34958333333333336,0.5594061017036438,0.3555245686104923,0
benchmark,efficientnet_b0,42,0.5508191330830917,0.47291666666666665,0.1573768951665976,0.6677137610927629,0.690625,0.37395833333333334,0.5520186424255371,0.3443188181634832,0
benchmark,efficientnet_b3,1234,0.6715671504005128,0.6914583333333333,0.1918763286858608,0.680960531565097,0.7325,0.08895833333333333,0.3353136479854584,0.37359233272863074,0
