variant,group,int_f1,int_sd,ext_f1,ext_sd,ext_acc,d_int_vs_full_pp,d_ext_vs_full_pp,d_int_vs_pooled_pp,d_ext_vs_pooled_pp,d_ext_acc_vs_pooled_pp,A_int_f1,A_ext_f1,A_d_int_pp,A_d_ext_pp,n_seeds_int,n_seeds_ext,wilcoxon_p_int,wilcoxon_p_ext
wo_beta_calib,recipe,0.9882,0.0028,0.6341,0.0273,0.6807,-0.44,0.04,-0.45,2.6,-0.06,0.988,0.6626,-0.29,1.24,3,3,0.25,1.0
wo_mixup,recipe,0.9872,0.0023,0.6424,0.0617,0.6591,-0.34,-0.79,-0.35,1.77,2.1,0.9839,0.6269,0.12,4.82,3,3,0.25,0.75
wo_sampler,recipe,0.9871,0.0034,0.6477,0.014,0.6399,-0.33,-1.33,-0.34,1.24,4.02,0.9863,0.6835,-0.12,-0.84,3,3,0.25,0.5
wo_random_erasing,recipe,0.9866,0.0061,0.6621,0.0249,0.6772,-0.28,-2.77,-0.29,-0.2,0.29,0.9851,0.6632,0.0,1.19,3,3,0.25,0.25
wo_msf,architecture,0.9862,0.0006,0.6502,0.0231,0.668,-0.24,-1.57,-0.25,0.99,1.21,0.9875,0.6759,-0.23,-0.08,3,3,0.5,0.25
wo_lap,architecture,0.9855,0.0012,0.673,0.0082,0.6897,-0.18,-3.85,-0.18,-1.29,-0.96,0.9852,0.6541,-0.01,2.1,3,3,0.5,0.25
wo_label_smoothing,recipe,0.9853,0.0037,0.6505,0.0226,0.678,-0.15,-1.6,-0.16,0.96,0.21,0.9868,0.6423,-0.17,3.27,3,3,0.25,0.75
wo_tta,recipe,0.9852,0.0035,0.6294,0.0379,0.6575,-0.14,0.51,-0.15,3.07,2.26,0.9859,0.644,-0.08,3.11,3,3,0.5,0.75
wo_llrd,recipe,0.9852,0.0035,0.641,0.0521,0.6576,-0.14,-0.65,-0.15,1.91,2.25,0.9861,0.6245,-0.1,5.06,3,3,0.5,1.0
wo_two_phase,recipe,0.9851,0.0064,0.6522,0.0113,0.6806,-0.14,-1.77,-0.14,0.79,-0.05,0.9862,0.6718,-0.11,0.33,3,3,0.5,0.25
wo_mixstyle,architecture,0.9847,0.0029,0.6682,0.0042,0.6567,-0.09,-3.37,-0.1,-0.81,2.34,0.9859,0.6339,-0.07,4.11,3,3,0.5,0.25
wo_mixup_cooldown,recipe,0.9845,0.0024,0.6539,0.014,0.6815,-0.07,-1.94,-0.08,0.62,-0.14,0.9846,0.65,0.05,2.51,3,3,1.0,0.25
wo_lap_gate,architecture,0.9838,0.0032,0.6849,0.0081,0.7065,-0.0,-5.04,-0.01,-2.48,-2.64,0.9853,0.6789,-0.01,-0.38,3,3,1.0,0.25
wo_hier,architecture,0.9822,0.0037,0.6746,0.0181,0.6927,0.16,-4.01,0.15,-1.45,-1.26,0.9864,0.6764,-0.13,-0.13,3,3,0.75,0.25
wo_ema,recipe,0.9816,0.0061,0.6401,0.0356,0.6697,0.22,-0.56,0.21,2.0,1.04,0.984,0.6624,0.11,1.27,3,3,0.5,0.75
wo_pretrained,recipe,0.9158,0.008,0.3644,0.0164,0.3686,6.8,27.01,6.79,29.57,31.15,0.9236,0.3873,6.15,28.78,3,3,0.25,0.25
