variant,group,A_d_int_pp,A_d_ext_pp,B_d_int_vs_full_pp,B_d_int_vs_pooled_pp,B_d_ext_vs_full_pp,B_d_ext_vs_pooled_pp,n_seeds_int,n_seeds_ext
wo_beta_calib,recipe,-0.29,1.24,-0.44,-0.45,0.04,2.6,3,3
wo_mixup,recipe,0.12,4.82,-0.34,-0.35,-0.79,1.77,3,3
wo_sampler,recipe,-0.12,-0.84,-0.33,-0.34,-1.33,1.24,3,3
wo_random_erasing,recipe,0.0,1.19,-0.28,-0.29,-2.77,-0.2,3,3
wo_msf,architecture,-0.23,-0.08,-0.24,-0.25,-1.57,0.99,3,3
wo_lap,architecture,-0.01,2.1,-0.18,-0.18,-3.85,-1.29,3,3
wo_label_smoothing,recipe,-0.17,3.27,-0.15,-0.16,-1.6,0.96,3,3
wo_tta,recipe,-0.08,3.11,-0.14,-0.15,0.51,3.07,3,3
wo_llrd,recipe,-0.1,5.06,-0.14,-0.15,-0.65,1.91,3,3
wo_two_phase,recipe,-0.11,0.33,-0.14,-0.14,-1.77,0.79,3,3
wo_mixstyle,architecture,-0.07,4.11,-0.09,-0.1,-3.37,-0.81,3,3
wo_mixup_cooldown,recipe,0.05,2.51,-0.07,-0.08,-1.94,0.62,3,3
wo_lap_gate,architecture,-0.01,-0.38,-0.0,-0.01,-5.04,-2.48,3,3
wo_hier,architecture,-0.13,-0.13,0.16,0.15,-4.01,-1.45,3,3
wo_ema,recipe,0.11,1.27,0.22,0.21,-0.56,2.0,3,3
wo_pretrained,recipe,6.15,28.78,6.8,6.79,27.01,29.57,3,3
