rank,experiment,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,auc_macro_ovr_mean,auc_macro_ovr_std,ece_mean,ece_std,P3_f1,P3_acc,leakage,gmean,rank_int,int_f1,int_acc,params_M,gflops,drop_acc_pp,rank_acc,rank_f1
9,proposed,Proposed_HMLA_CAFormerS18,3,0.699375,0.0115938950649804,0.699375,0.0115938950649804,0.6739426666344217,0.0224786215287366,0.6739426666344217,0.0224786215287366,0.6736756768778832,0.03857664149435,0.699375,0.0115938950649804,0.9204475260416668,0.0072614969545893,0.0832942019941078,0.0360396162633951,0.675799609704072,0.7253472222222221,0.074375,0.2506379608748463,1,0.9844643333333334,0.9882386666666668,23.897,3.970553856,28.886366666666685,1,4
11,benchmark,efficientnet_b3,3,0.6926388888888889,0.014515217908317,0.6926388888888889,0.0145152179083169,0.6709041078815776,0.0055953830804033,0.6709041078815776,0.0055953830804032,0.7171267274818794,0.0460625106916014,0.6926388888888889,0.0145152179083169,0.907688767361111,0.003754043717253,0.1193065189834063,0.0121946502831438,0.676656570536347,0.7246527777777777,0.0770138888888889,0.2564070300295394,18,0.979562,0.9839056666666668,10.729,0.987252112,29.126677777777786,2,5
6,benchmark,vit_small_patch16_224,3,0.6863194444444445,0.0261450724767558,0.6863194444444445,0.0261450724767558,0.6758929047617915,0.0190698891929739,0.6758929047617915,0.0190698891929739,0.6897568236291215,0.0063850427263632,0.6863194444444445,0.0261450724767558,0.90833578125,0.0150562530974698,0.0507315548705971,0.02423602087919,0.6784495024613757,0.7323611111111111,0.1245833333333333,0.121376118149435,10,0.9823946666666666,0.9860723333333332,21.674,4.250298624,29.975288888888873,3,3
1,benchmark,legacy_seresnext50_32x4d,3,0.6734722222222222,0.0228306466383658,0.6734722222222222,0.0228306466383658,0.6841568820963255,0.0130643223574316,0.6841568820963255,0.0130643223574317,0.7214928274225568,0.0236234264491757,0.6734722222222222,0.0228306466383658,0.92507125,0.0133360988588046,0.0334818613560249,0.0112673636396615,0.7053834349228785,0.7535416666666667,0.1634722222222222,0.2463362500265657,4,0.984042,0.9879293333333332,25.554,4.2598912,31.445711111111095,4,1
12,benchmark,regnety_016,3,0.6642361111111111,0.0261209903001257,0.6642361111111111,0.0261209903001256,0.6669685029741329,0.0122925988212259,0.6669685029741329,0.0122925988212261,0.716222067591516,0.0359413126614794,0.6642361111111111,0.0261209903001256,0.9161572309027778,0.0084143844833038,0.0764586610026243,0.0153189428544955,0.687168935545904,0.7361805555555555,0.1448611111111111,0.1951332123383247,5,0.9836503333333332,0.9873103333333332,10.332,1.627317616,32.3074222222222,5,6
3,benchmark,swin_small_patch4_window7_224,3,0.6635416666666667,0.0067732367529203,0.6635416666666667,0.0067732367529203,0.6819489907491896,0.0068278198744861,0.6819489907491895,0.006827819874486,0.7214748912115215,0.0180538436976503,0.6635416666666667,0.0067732367529203,0.916013715277778,0.0244737700697215,0.0637722494479062,0.0203571062175029,0.6969044876821386,0.7413194444444443,0.1935416666666666,0.288382229232162,2,0.9842896666666666,0.9882386666666668,48.853,8.767782912,32.46970000000001,6,2
16,benchmark,vit_base_patch16_224,3,0.6597916666666667,0.0435924743441393,0.6597916666666666,0.0435924743441392,0.6619303453882114,0.043748721701993,0.6619303453882114,0.0437487217019931,0.7039558051477378,0.0429102193469497,0.6597916666666666,0.0435924743441392,0.9022106770833336,0.0092487396427797,0.1301470319497295,0.02430806823029,0.6744558621240709,0.7107638888888889,0.1103472222222222,0.4821014128101469,8,0.983369,0.9870006666666667,85.815,16.866660864,32.72090000000001,7,7
24,benchmark,convnext_small,3,0.6431944444444445,0.0482067007310225,0.6431944444444445,0.0482067007310225,0.6395200003461493,0.0336230476857416,0.6395200003461493,0.0336230476857415,0.6651987492748196,0.0145864216198994,0.6431944444444445,0.0482067007310225,0.8984236284722221,0.0351612389926742,0.1406311513773269,0.0283113963700515,0.6543109588129022,0.7038888888888888,0.1424305555555555,0.0078578394572963,6,0.9835293333333333,0.9876196666666668,49.471,8.704640256,34.44252222222223,8,11
25,benchmark,resnet101,3,0.6429861111111111,0.0183431949486975,0.6429861111111111,0.0183431949486975,0.6361249294836759,0.0290612838826597,0.6361249294836759,0.0290612838826597,0.6921877100688741,0.0390281354257724,0.6429861111111111,0.0183431949486975,0.9077012673611112,0.0070764721109258,0.0548034232492662,0.0157359972038093,0.6426811992290492,0.69125,0.13375,0.4138722225006352,26,0.9677023333333332,0.9736923333333336,42.543,7.831964672,33.07062222222225,9,12
17,benchmark,densenet201,3,0.6322222222222221,0.0624723318387457,0.6322222222222221,0.0624723318387457,0.6587471008432506,0.0491654223476248,0.6587471008432506,0.0491654223476248,0.7125510635512384,0.0241546159104458,0.6322222222222221,0.0624723318387457,0.918006892361111,0.0241758188072147,0.0990667223718224,0.0129211305093916,0.6904297279785964,0.7370833333333334,0.2078472222222222,0.0078608756779107,9,0.9826686666666666,0.986072,18.133,4.338991104,35.384977777777785,10,8
