model,recipe,experiment,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete,base,matched,P1_f1_macro_mean,P2_f1_macro_mean,P3_accuracy_mean,P3_f1_macro_mean,P3_f1_macro_std,leakage_rate_mean,leakage_rate_std,mean_prob_mass_on_absent_mean,gmean,rank31_f1,rank31_acc,rank31_p3,rank26_f1,rank26_acc,int_rank31,int_rank26,int_f1,int_acc,drop_acc_pp,drop_f1_pp
swin_small_patch4_window7_224,standard,benchmark,3,0.6847219999999999,0.0137757427385966,3,0.6847219999999999,0.0137757427385966,3,0.8289583333333334,0.0119912091689425,3,0.6973566666666665,0.0220069366412804,3,0.6973566666666665,0.0220069366412804,3,0.7245643333333334,0.0161380214503926,3,0.6847219999999999,0.0137757427385966,3,0.6847219999999999,0.0137757427385966,3,0.9733753333333331,0.0089498021393399,3,0.1271396666666666,0.2054648278181288,3,0.6349063333333334,0.0177236797627731,3,0.6499463333333334,0.0187300894374087,3,0.9324966666666666,0.0152980079204232,3,0.7891739999999999,0.033674089341807,3,0.0820753333333333,0.0225773015733354,3,48.853,186.36,8.767782912,19.666,19.666,1,50.8,raw,,25,1821.0,True,swin_small_patch4_window7_224,False,0.6973563188938617,0.1992446625411033,0.75625,0.702925725267423,0.0250230869422962,0.1821527777777777,0.0342607529078801,0.2791788033611213,0.12713966666666668,1,3,2,1.0,2.0,3,3.0,0.9846086666666666,0.9885483333333333,30.38263333333333,28.725200000000008
legacy_seresnext50_32x4d,standard,benchmark,3,0.6665973333333334,0.0386998328204829,3,0.6665973333333334,0.0386998328204829,3,0.8593746666666666,0.0242813371405557,3,0.6911866666666667,0.020143003408959,3,0.6911866666666667,0.020143003408959,3,0.7463326666666666,0.0196931456688192,3,0.6665973333333334,0.0386998328204829,3,0.6665973333333334,0.0386998328204829,3,0.973625,0.0037561801075027,3,0.2611426666666667,0.2239074872002572,3,0.6157133333333333,0.0406130789319565,3,0.630372,0.0406837040103282,3,0.9208176666666666,0.010477092456084,3,0.7831566666666667,0.0193590992645147,3,0.058174,0.0065919756522608,3,25.554,97.48,4.2598912,10.244,10.244,1,97.6,raw,,26,1122.2333333333331,True,legacy_seresnext50_32x4d,False,0.691186864061106,0.197481961160316,0.7627777777777777,0.7152021239462428,0.0034542617083553,0.2015277777777777,0.0570401042720853,0.307243757982887,0.2611426666666667,2,6,1,2.0,5.0,2,2.0,0.986789,0.990096,32.34986666666666,29.56023333333333
swin_small_patch4_window7_224 [matched],matched,recipe_matched,3,0.6847223333333333,0.0115060330406849,3,0.6847223333333333,0.0115060330406849,3,0.8473613333333333,0.0156422120025696,3,0.684812,0.0027807892764464,3,0.684812,0.0027807892764464,3,0.706684,0.0137028829448405,3,0.6847223333333333,0.0115060330406849,3,0.6847223333333333,0.0115060330406849,3,0.966542,0.0082243920747979,3,0.3124566666666666,0.036259542114226,3,0.6326043333333333,0.0098761695678705,3,0.646956,0.0106730406164316,3,0.9139896666666668,0.0248744084820792,3,0.7604123333333334,0.0180204960346082,3,0.0509416666666666,0.0235670559114483,3,48.853,186.36,8.767782912,79.04,19.76,4,12.7,ema,,7,1483.0333333333335,True,swin_small_patch4_window7_224,True,0.6848119953874016,0.1956605701106861,0.7467361111111112,0.6942074014166012,0.0037621745316631,0.1479861111111111,0.0520438739412701,0.274015777982794,0.31245666666666666,3,2,5,,,15,,0.9813353333333332,0.9857626666666666,30.104033333333323,29.652333333333324
Proposed_HMLA_CAFormerS18,proposed,proposed,3,0.7039583333333334,0.0095628041040969,3,0.7039583333333334,0.0095628041040969,3,0.8825,0.0553523329589638,3,0.6817676666666667,0.0042942120736327,3,0.6817676666666667,0.0042942120736327,3,0.6765746666666667,0.0210484769599449,3,0.7039583333333334,0.0095628041040969,3,0.7039583333333334,0.0095628041040969,3,0.956514,0.0037901963009849,3,0.1464406666666667,0.238645713320674,3,0.6502816666666665,0.0094613302095071,3,0.6643856666666667,0.0128206821321384,3,0.919271,0.0305746019270897,3,0.7569353333333333,0.0359824761562254,3,0.0718093333333333,0.024327626812604,3,23.897,91.16,3.970553856,45.502,11.375,4,22.0,ema,0.0,7,2123.433333333333,True,Proposed_HMLA_CAFormerS18,False,0.6817675145150003,0.1947907184328572,0.7450694444444445,0.6933907495321185,0.0121158009928654,0.0786111111111111,0.0279324685791629,0.1805599605406516,0.1464406666666667,4,1,8,3.0,1.0,11,8.0,0.9828083333333332,0.9870006666666667,28.30423333333334,30.10406666666665
densenet201,standard,benchmark,3,0.668611,0.0348944546167439,3,0.668611,0.0348944546167439,3,0.830486,0.0049047147725428,3,0.6800486666666666,0.0183469387728125,3,0.6800486666666666,0.0183469387728125,3,0.7160823333333334,0.0017827462896703,3,0.668611,0.0348944546167439,3,0.668611,0.0348944546167439,3,0.9658333333333332,0.0038029721709911,3,0.0082666666666666,0.0003862542340652,3,0.614932,0.0372211838205073,3,0.6327173333333334,0.0381721837773702,3,0.9113433333333334,0.0078419025965216,3,0.772135,0.0133220714980816,3,0.0756049999999999,0.0391203260339174,3,18.133,69.17,4.338991104,17.854,17.854,1,56.0,raw,,16,1458.3666666666668,True,densenet201,False,0.6800485444948693,0.1942995841413911,0.7415972222222221,0.6941899698426419,0.0122346768675747,0.1605555555555555,0.0496088578093484,0.3563483869677535,0.008266666666666667,5,5,6,4.0,4.0,8,6.0,0.9834423333333332,0.9873103333333332,31.86993333333332,30.339366666666656
efficientnet_b3,standard,benchmark,3,0.6755556666666668,0.0146489776548854,3,0.6755556666666668,0.0146489776548854,3,0.8498613333333332,0.024138921813812,3,0.6617820000000001,0.0109895404362511,3,0.6617820000000001,0.0109895404362511,3,0.7322026666666668,0.002300383084039,3,0.6755556666666668,0.0146489776548854,3,0.6755556666666668,0.0146489776548854,3,0.9535556666666666,0.0026567245497667,3,0.385441,0.0780779840223862,3,0.617722,0.01710535740638,3,0.6339343333333334,0.0178682760593554,3,0.9047283333333334,0.0039614403104595,3,0.7445066666666666,0.0124555154182126,3,0.152522,0.0172995107156242,3,10.729,40.93,0.987252112,20.767,20.767,1,48.2,raw,,11,774.6333333333333,True,efficientnet_b3,False,0.6617818902745632,0.1890805400784466,0.7147916666666667,0.6697504130530468,0.0149293429496491,0.0922222222222222,0.0044795703952417,0.3551336927901482,0.385441,6,4,16,5.0,3.0,26,21.0,0.9774746666666668,0.982049,30.649333333333317,31.569266666666675
vit_small_patch16_224,standard,benchmark,3,0.654653,0.0311530269476338,3,0.654653,0.0311530269476338,3,0.8184723333333334,0.0112602196396577,3,0.660942,0.0252151476497759,3,0.660942,0.0252151476497759,3,0.68287,0.0221966296765972,3,0.654653,0.0311530269476338,3,0.654653,0.0311530269476338,3,0.9630973333333334,0.0043507683612591,3,0.1123323333333333,0.1805680744437768,3,0.5985446666666666,0.0354475670016058,3,0.6118906666666667,0.0349290896722679,3,0.9142653333333332,0.0155843811982809,3,0.7489606666666667,0.0370956605323767,3,0.0363313333333333,0.0142770345777172,3,21.674,82.68,4.250298624,4.101,4.101,1,243.8,raw,,20,642.0333333333334,True,vit_small_patch16_224,False,0.6609420716139672,0.1888405918897049,0.7256944444444445,0.6752571930629901,0.0160237024512536,0.1608333333333333,0.0117315901877509,0.3100473282834132,0.11233233333333333,7,8,15,6.0,7.0,13,10.0,0.981907,0.985763,33.11099999999999,32.09649999999999
regnety_016,standard,benchmark,3,0.660764,0.0061815117891984,3,0.660764,0.0061815117891984,3,0.8333333333333334,0.0100929912480559,3,0.658385,0.0092165091547722,3,0.658385,0.0092165091547722,3,0.6882663333333333,0.0118135507927689,3,0.660764,0.0061815117891984,3,0.660764,0.0061815117891984,3,0.957486,0.0055932528103063,3,0.0953793333333333,0.1511566549290283,3,0.6029713333333334,0.007166477261063,3,0.6215099999999999,0.0057448302846994,3,0.8977550000000001,0.0040080498998889,3,0.725667,0.004667003214055,3,0.1038096666666666,0.0179024558184996,3,10.332,39.41,1.627317616,16.169,16.169,1,61.8,raw,,7,655.7333333333333,True,regnety_016,False,0.6583853989441025,0.1881101139840293,0.7238888888888889,0.6771758315346021,0.0172900630338199,0.1266666666666666,0.0283998911871937,0.331195417981748,0.09537933333333333,8,7,12,7.0,6.0,16,12.0,0.9811433333333331,0.984834,32.407,32.27583333333332
swin_tiny_patch4_window7_224,standard,benchmark,3,0.6047223333333333,0.0122355545985187,3,0.6047223333333333,0.0122355545985187,3,0.8091666666666667,0.0073977427187847,3,0.6550563333333334,0.0100244934701626,3,0.6550563333333334,0.0100244934701626,3,0.749158,0.0331559281728019,3,0.6047223333333333,0.0122355545985187,3,0.6047223333333333,0.0122355545985187,3,0.977167,0.003814036575598,3,0.309087,0.066639296402348,3,0.5509353333333333,0.0127412096887749,3,0.5672036666666667,0.012848256781888,3,0.9090066666666666,0.002224936927945,3,0.7626996666666667,0.0054091885096873,3,0.0819623333333333,0.0023394209397484,3,27.536,105.04,4.508442624,10.251,10.251,1,97.6,raw,,26,1129.4333333333334,True,swin_tiny_patch4_window7_224,False,0.655056327830238,0.1871589508086394,0.7264583333333334,0.6844804063786208,0.0110473753119088,0.2811111111111111,0.0241274226379061,0.3910588003377941,0.309087,9,16,10,8.0,14.0,4,4.0,0.9842723333333332,0.9882386666666668,38.35163333333335,32.921599999999984
caformer_s18.sail_in22k_ft_in1k,standard,benchmark,3,0.6456246666666667,0.0251272801618745,3,0.6456246666666667,0.0251272801618745,3,0.8276386666666666,0.0287322888286564,3,0.6543426666666666,0.008311977883352,3,0.6543426666666666,0.008311977883352,3,0.708844,0.0122979720279402,3,0.6456246666666667,0.0251272801618745,3,0.6456246666666667,0.0251272801618745,3,0.9628193333333334,0.0035492337670733,3,0.183095,0.1525104632246587,3,0.5887233333333334,0.0266571615580754,3,0.6079786666666668,0.0278304498226912,3,0.8984816666666666,0.0235519603076545,3,0.7402416666666666,0.0313898368956153,3,0.1021103333333333,0.0638814796504693,3,24.336,92.83,3.894573824,10.602,10.602,1,94.3,raw,,5,1332.9333333333332,True,caformer_s18.sail_in22k_ft_in1k,False,0.654342738774249,0.186955068221214,0.7341666666666667,0.686254759321003,0.0055818080535245,0.1684722222222222,0.0368404577700074,0.2742507490654114,0.183095,10,9,9,9.0,8.0,18,14.0,0.9805676666666666,0.985144,33.95193333333333,32.6225
