model,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete,rank_int
Proposed_HMLA_CAFormerS18,3,0.9882386666666668,0.001418088972291,3,0.9847133333333332,0.0007456368642532,3,1.0,0.0,3,0.9844643333333334,0.0011556307080262,3,0.9881893333333333,0.0014299763401306,3,0.9853923333333334,0.0014805385281489,3,0.9847133333333332,0.0007456368642532,3,0.9847133333333332,0.0007456368642532,3,0.999419,7.0703606697264e-05,3,0.98369,0.0012583179248505,3,0.987598,0.001494901669007,3,0.98763,0.0014828934553769,3,0.999771,0.0001815791838289,3,0.995343,0.0021702128927826,3,0.078913,0.0071796350185785,3,23.897,91.16,3.970553856,44.383,11.096,4,22.5,ema,0.0,19,864.3666666666667,True,1
swin_small_patch4_window7_224,3,0.9882386666666668,0.002984606227517,3,0.984376,0.0043596270482692,3,0.9993806666666668,0.0005363584000771,3,0.9842896666666666,0.0044555567927401,3,0.9881413333333334,0.0030835068239479,3,0.9857726666666666,0.0030623132324002,3,0.984376,0.0043596270482692,3,0.984376,0.0043596270482692,3,0.9994186666666668,0.0001473578410989,3,0.983071,0.0055010599887657,3,0.9875976666666664,0.0031476150230505,3,0.98764,0.0031064476496474,3,0.9992,0.0005883221906404,3,0.9951073333333332,0.0013032667928453,3,0.0813236666666666,0.0030106670910835,3,48.853,186.36,8.767782912,11.512,11.512,1,86.9,raw,,17,768.8333333333334,True,2
vgg16,3,0.9873103333333332,0.0029848136178551,3,0.984126,0.0041432498114402,3,0.9996903333333332,0.0005363584000771,3,0.9840803333333332,0.0038697974537866,3,0.987252,0.0030416633607288,3,0.9853906666666666,0.0031450924204756,3,0.984126,0.0041432498114402,3,0.984126,0.0041432498114402,3,0.9993703333333332,0.0001488030017618,3,0.98316,0.0047307724527818,3,0.9866186666666668,0.0031476150230505,3,0.986656,0.0031329415889862,3,0.9995143333333332,0.0005753992816587,3,0.9947066666666666,0.0020905669884826,3,0.0971826666666666,0.0017511111710377,3,134.347,512.49,15.466258432,6.685,6.685,1,149.6,raw,,29,899.4333333333334,True,3
legacy_seresnext50_32x4d,3,0.9879293333333332,0.0009285000448752,3,0.98414,0.0008349347279877,3,0.999381,0.0010721394498851,3,0.984042,0.000817928480981,3,0.987867,0.0008775397426897,3,0.984853,0.0015802999715244,3,0.98414,0.0008349347279877,3,0.98414,0.0008349347279877,3,0.9994033333333334,4.650089604866352e-05,3,0.9830853333333331,0.0009728064213055,3,0.9872716666666664,0.0009795000425387,3,0.9872966666666666,0.0010031596748939,3,0.9994073333333334,0.0007541182489062,3,0.9930566666666666,0.0054553088210781,3,0.0768963333333333,0.0067702591038551,3,25.554,97.48,4.2598912,6.04,6.04,1,165.6,raw,,25,480.0666666666666,True,4
regnety_016,3,0.9873103333333332,0.0035150681833121,3,0.9836106666666669,0.0042827409836847,3,0.9996903333333332,0.0005363584000771,3,0.9836503333333332,0.0042739789813864,3,0.9872793333333334,0.0035117313868423,3,0.9844346666666668,0.0048205157746172,3,0.9836106666666669,0.0042827409836847,3,0.9836106666666669,0.0042827409836847,3,0.9993716666666668,0.0001745059693344,3,0.9828206666666668,0.0044936878322078,3,0.986619,0.0037070064742322,3,0.98664,0.0037213007134602,3,0.9994743333333332,0.0004873092789321,3,0.991284,0.0048343031555747,3,0.1265613333333333,0.0050618151223976,3,10.332,39.41,1.627317616,11.113,11.113,1,90.0,raw,,30,353.59999999999997,True,5
convnext_small,3,0.9876196666666668,0.0035150681833121,3,0.9837783333333334,0.0040226725361795,3,0.9993806666666668,0.0005363584000771,3,0.9835293333333333,0.0044498204832704,3,0.9875703333333332,0.0035300091123584,3,0.9845033333333334,0.0042684037219238,3,0.9837783333333334,0.0040226725361795,3,0.9837783333333334,0.0040226725361795,3,0.9993886666666666,0.0001732291353477,3,0.982674,0.0045248886174137,3,0.9869453333333332,0.0037066543315142,3,0.986982,0.0036852397479675,3,0.9990926666666669,0.0005548372133638,3,0.99348,0.0010472268140187,3,0.0915893333333333,0.003166692964803,3,49.471,188.72,8.704640256,5.827,5.827,1,171.6,raw,,20,726.5666666666666,True,6
swin_tiny_patch4_window7_224,3,0.9870006666666667,0.0056480094133538,3,0.9837176666666668,0.0058257841818362,3,0.9996903333333332,0.0005363584000771,3,0.9833836666666668,0.006098441795519,3,0.9868706666666668,0.005782269998308,3,0.9843316666666664,0.0061742729396531,3,0.9837176666666668,0.0058257841818362,3,0.9837176666666668,0.0058257841818362,3,0.9993563333333334,0.0002817806475493,3,0.9826243333333332,0.006197145014709,3,0.9862926666666668,0.0059555999138066,3,0.9863363333333334,0.0059323154276667,3,0.999445,0.000636505302413,3,0.9916776666666666,0.0060043432058246,3,0.0853986666666666,0.0033377049500118,3,27.536,105.04,4.508442624,6.456,6.456,1,154.9,raw,,27,495.2,True,7
vit_base_patch16_224,3,0.9870006666666667,0.0027855000149584,3,0.983451,0.0029179835503305,3,0.9996903333333332,0.0005363584000771,3,0.983369,0.0027471758225493,3,0.9869763333333332,0.0027895251089268,3,0.983661,0.0029205478938034,3,0.983451,0.0029179835503305,3,0.983451,0.0029179835503305,3,0.999356,0.0001405026690138,3,0.9827223333333334,0.0028690340418568,3,0.9862923333333332,0.0029380000567279,3,0.986304,0.002946,3,0.9995136666666666,0.0005674683544774,3,0.995026,0.0017174227784677,3,0.0932673333333333,0.0029959556627782,3,85.815,327.36,16.866660864,5.024,5.024,1,199.1,raw,,24,764.3000000000001,True,8
densenet201,3,0.986072,0.0018569999999999,3,0.982766,0.0020027603451237,3,0.9993806666666668,0.0005363584000771,3,0.9826686666666666,0.001971107894899,3,0.9860246666666668,0.0018190770553589,3,0.983305,0.0026236209711008,3,0.982766,0.0020027603451237,3,0.982766,0.0020027603451237,3,0.9993093333333332,9.300716818253968e-05,3,0.9819393333333334,0.0018205785710408,3,0.9853133333333334,0.0019585000212748,3,0.9853356666666668,0.0019795025469378,3,0.9993313333333332,0.0004339231882871,3,0.9927366666666668,0.002388569516119,3,0.100009,0.0087711150374396,3,18.133,69.17,4.338991104,27.659,27.659,1,36.2,raw,,15,609.3666666666667,True,9
vit_small_patch16_224,3,0.9860723333333332,0.004642500008975,3,0.9824956666666664,0.0053615084009384,3,0.9993806666666668,0.0005363584000771,3,0.9823946666666666,0.0053601334249562,3,0.9860396666666666,0.0046760142571781,3,0.9828063333333332,0.0049361432650737,3,0.9824956666666664,0.0053615084009384,3,0.9824956666666664,0.0053615084009384,3,0.9993096666666668,0.0002315001799855,3,0.9816236666666668,0.0057920052083309,3,0.9853133333333334,0.0048955000085112,3,0.9853306666666668,0.0048795104604184,3,0.9994546666666664,6.205105424836115e-05,3,0.9902543333333332,0.0015540213426247,3,0.0946536666666666,0.0030782927627718,3,21.674,82.68,4.250298624,2.374,2.374,1,421.2,raw,,8,292.73333333333335,True,10
