model,recipe,experiment,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete,base,matched,rank31,rank26
vgg19,standard,benchmark,3,0.9897863333333332,0.0009285000448752,3,0.9868333333333332,0.001971080498948,3,0.9993806666666668,0.0005363584000771,3,0.9868753333333332,0.0017741241031374,3,0.989773,0.0009405035885099,3,0.987211,0.001608333298791,3,0.9868333333333332,0.001971080498948,3,0.9868333333333332,0.001971080498948,3,0.9994943333333332,4.550091574167672e-05,3,0.9863096666666666,0.0022486974748358,3,0.9892293333333332,0.0009795000425387,3,0.9892386666666668,0.0009795010634671,3,0.999076,0.000644882159778,3,0.9932233333333332,0.0004181439146195,3,0.093289,0.0028791021169802,3,139.656,532.75,19.628056576,7.08,7.08,1,141.2,raw,,28,1887.2333333333331,True,vgg19,False,1,1.0
legacy_seresnext50_32x4d,standard,benchmark,3,0.990096,0.0010721394498851,3,0.9868926666666668,0.0011161632198443,3,0.9990713333333332,0.0009285000448752,3,0.986789,0.0008447703830036,3,0.9900433333333334,0.001034398536993,3,0.987739,0.0015792963623082,3,0.9868926666666668,0.0011161632198443,3,0.9868926666666668,0.0011161632198443,3,0.9995103333333332,5.484827557305328e-05,3,0.9860026666666668,0.0014712254529246,3,0.989556,0.0011310291773425,3,0.9895843333333332,0.0011542921351778,3,0.9982636666666664,0.0006537922707812,3,0.9913513333333333,0.0008789495624513,3,0.076013,0.0060972209243228,3,25.554,97.48,4.2598912,10.244,10.244,1,97.6,raw,,26,1122.2333333333331,True,legacy_seresnext50_32x4d,False,2,2.0
swin_small_patch4_window7_224,standard,benchmark,3,0.9885483333333333,0.0019329069644795,3,0.9844726666666668,0.002611721718203,3,0.9996903333333332,0.0005363584000771,3,0.9846086666666666,0.0027543856544306,3,0.9885186666666668,0.0019480005989047,3,0.985285,0.0028447216032504,3,0.9844726666666668,0.002611721718203,3,0.9844726666666668,0.002611721718203,3,0.999434,9.535722311394392e-05,3,0.9835436666666668,0.0030759373097209,3,0.987924,0.0020385114667325,3,0.9879403333333334,0.0020364430591925,3,0.999494,0.0006016734994994,3,0.9935276666666668,0.0013093239986089,3,0.0809646666666666,0.001302293873645,3,48.853,186.36,8.767782912,19.666,19.666,1,50.8,raw,,25,1821.0,True,swin_small_patch4_window7_224,False,3,3.0
swin_tiny_patch4_window7_224,standard,benchmark,3,0.9882386666666668,0.0019329069644795,3,0.984451,0.002503857224364,3,0.9996903333333332,0.0005363584000771,3,0.9842723333333332,0.0021695046285577,3,0.9882286666666666,0.0019340324023483,3,0.984407,0.0019247412813154,3,0.984451,0.002503857224364,3,0.984451,0.002503857224364,3,0.999419,9.7041228351664e-05,3,0.983581,0.0027220512485991,3,0.987598,0.0020385114667325,3,0.9876076666666668,0.002041965066629,3,0.9994816666666668,0.0005650719718171,3,0.9925673333333332,0.0022459368498097,3,0.0851666666666666,0.0026293530256192,3,27.536,105.04,4.508442624,10.251,10.251,1,97.6,raw,,26,1129.4333333333334,True,swin_tiny_patch4_window7_224,False,4,4.0
caformer_s18.sail_in22k_ft_in1k [matched],matched,recipe_matched,3,0.9879293333333332,0.0009285000448752,3,0.9838413333333332,0.0014958858022367,3,0.9996903333333332,0.0005363584000771,3,0.9838503333333332,0.0017561305000862,3,0.9878613333333334,0.0010301418996106,3,0.984972,0.0011599219801348,3,0.9838413333333332,0.0014958858022367,3,0.9838413333333332,0.0014958858022367,3,0.9994033333333334,4.50037035513175e-05,3,0.9826263333333332,0.0024191538465615,3,0.987271,0.000979,3,0.9873026666666666,0.0009472409056482,3,0.999524,0.0006243324434946,3,0.995064,0.0027105689439672,3,0.0961389999999999,0.0032728134685618,3,24.336,92.83,3.894573824,37.02,9.255,4,27.0,ema,,23,1764.2,True,caformer_s18.sail_in22k_ft_in1k,True,5,
densenet121,standard,benchmark,3,0.9873103333333332,0.0019327468363273,3,0.983708,0.0029285429824402,3,1.0,0.0,3,0.9838156666666666,0.0026493584758075,3,0.987259,0.0019223992821471,3,0.9847096666666668,0.0026660296947583,3,0.983708,0.0029285429824402,3,0.983708,0.0029285429824402,3,0.999371,9.559811713624568e-05,3,0.9828403333333332,0.0031556670187668,3,0.9866186666666668,0.0020383513763169,3,0.9866413333333334,0.0020471351526788,3,0.9996953333333332,0.0002516988941837,3,0.993236,0.0050253575992162,3,0.104396,0.0015062214312643,3,6.975,26.61,2.864544256,21.981,21.981,1,45.5,raw,,24,939.9333333333334,True,densenet121,False,6,5.0
legacy_seresnext50_32x4d [matched],matched,recipe_matched,3,0.9876196666666668,0.0037524468461703,3,0.9837323333333332,0.0042758363314483,3,0.9996903333333332,0.0005363584000771,3,0.9837606666666666,0.0045833780482667,3,0.9876133333333332,0.003774798581823,3,0.9847043333333332,0.0038763541289894,3,0.9837323333333332,0.0042758363314483,3,0.9837323333333332,0.0042758363314483,3,0.9993876666666668,0.0001855379565839,3,0.982843,0.0048090465791048,3,0.9869453333333332,0.0039566639146297,3,0.98697,0.0039289702213175,3,0.9995893333333332,0.0004891465356448,3,0.995959,0.0023341510233916,3,0.106229,0.0202466622681369,3,25.554,97.48,4.2598912,51.907,12.977,4,19.3,ema,,12,1000.6333333333332,True,legacy_seresnext50_32x4d,True,7,
densenet201,standard,benchmark,3,0.9873103333333332,0.0005357810498079,3,0.9836233333333334,0.0008570976218222,3,0.9993806666666668,0.0005363584000771,3,0.9834423333333332,0.0011595146973339,3,0.9872456666666666,0.0006063599041273,3,0.9847683333333332,0.0004488232762828,3,0.9836233333333334,0.0008570976218222,3,0.9836233333333334,0.0008570976218222,3,0.9993723333333332,2.753785273641941e-05,3,0.9824623333333332,0.0018222629704116,3,0.986619,0.0005655148097088,3,0.9866603333333334,0.0005461367350154,3,0.9990243333333332,0.0008042545202442,3,0.9939543333333334,0.0028682559741649,3,0.101363,0.0090203580305883,3,18.133,69.17,4.338991104,17.854,17.854,1,56.0,raw,,16,1458.3666666666668,True,densenet201,False,8,6.0
inception_v3,standard,benchmark,3,0.9870006666666664,0.0009285000448752,3,0.983504,0.0008114437750084,3,0.9990713333333332,0.0009285000448752,3,0.98335,0.0010611413666425,3,0.986951,0.0009121255396051,3,0.984314,0.0019237377679923,3,0.983504,0.0008114437750084,3,0.983504,0.0008114437750084,3,0.9993566666666666,4.601449047128945e-05,3,0.9825553333333332,0.0007654079522276,3,0.9862923333333334,0.0009790001702417,3,0.9863253333333332,0.0009865405887916,3,0.99844,0.0012533471187185,3,0.9895643333333334,0.00625139363129,3,0.091341,0.005339854024222,3,21.829,83.27,2.845264,9.857,9.857,1,101.4,raw,,26,668.6333333333333,True,inception_v3,False,9,7.0
vit_small_patch16_224 [matched],matched,recipe_matched,3,0.9873103333333332,0.0005357810498079,3,0.9835183333333334,0.0006521060752157,3,1.0,0.0,3,0.983186,0.0007796306817975,3,0.9872823333333334,0.0005556989592696,3,0.9837233333333332,0.0008968485565207,3,0.9835183333333334,0.0006521060752157,3,0.9835183333333334,0.0006521060752157,3,0.9993733333333332,2.5696951829644693e-05,3,0.9825773333333332,0.0010622618948891,3,0.986619,0.0005646485632674,3,0.986644,0.0005500918105189,3,0.999676,0.0003589860721532,3,0.995025,0.0024912914321692,3,0.0913213333333333,0.0008500743104772,3,21.674,82.68,4.250298624,13.829,3.457,4,72.3,ema,,23,635.3333333333334,True,vit_small_patch16_224,True,10,
