class,prec,rec,f1,support
cashew fungal infection,0.9335016835016835,0.8380952380952381,0.8791543862985045,35.0
cashew healthy,0.863557537470581,0.936936936936937,0.8964437418021038,37.0
jackfruit algal,0.9499358151476253,0.981981981981982,0.9646377146377146,36.666666666666664
jackfruit anthracnose,0.9655378250591017,0.9722222222222222,0.9687089748179973,48.0
jackfruit healthy,0.9930555555555555,1.0,0.9964912280701754,47.0
jackfruit leaf spot,0.9876543209876544,0.9757575757575757,0.9816513761467891,55.0
jackfruit phyllosticta,1.0,0.9739819004524887,0.9866627439442973,51.666666666666664
jackfruit sooty mold,1.0,1.0,1.0,33.0
mango anthracnose,1.0,1.0,1.0,73.0
mango die back,1.0,1.0,1.0,74.0
mango gall midge,1.0,1.0,1.0,75.0
mango healthy,1.0,1.0,1.0,75.0
mango powdery mildew,1.0,1.0,1.0,75.0
mango sooty mould,1.0,1.0,1.0,31.666666666666668
tomato bacterial spot,1.0,1.0,1.0,57.0
tomato blight,1.0,1.0,1.0,43.0
tomato curl virus,1.0,1.0,1.0,59.0
tomato healthy,1.0,1.0,1.0,41.0
tomato insect damage,1.0,1.0,1.0,50.333333333333336
tomato leaf mold,1.0,1.0,1.0,33.666666666666664
tomato spider mites,1.0,1.0,1.0,46.0
