class,prec,rec,f1,support
cashew fungal infection,0.9251322751322751,0.8380952380952381,0.8736194947462553,35.0
cashew healthy,0.8650139501203332,0.9279279279279279,0.8921945428794743,37.0
jackfruit algal,0.9348370927318296,0.9729729729729731,0.9517663817663818,36.666666666666664
jackfruit anthracnose,0.965081714461918,0.9583333333333334,0.9613943673774101,48.0
jackfruit healthy,0.9930555555555555,1.0,0.9964912280701754,47.0
jackfruit leaf spot,0.9883040935672515,0.9757575757575757,0.9816437206795605,55.0
jackfruit phyllosticta,0.9935897435897436,0.9807692307692308,0.9869915603781966,51.666666666666664
jackfruit sooty mold,1.0,0.98989898989899,0.9948717948717949,33.0
mango anthracnose,1.0,1.0,1.0,73.0
mango die back,1.0,1.0,1.0,74.0
mango gall midge,1.0,1.0,1.0,75.0
mango healthy,1.0,1.0,1.0,75.0
mango powdery mildew,1.0,1.0,1.0,75.0
mango sooty mould,1.0,1.0,1.0,31.666666666666668
tomato bacterial spot,1.0,1.0,1.0,57.0
tomato blight,1.0,1.0,1.0,43.0
tomato curl virus,1.0,1.0,1.0,59.0
tomato healthy,1.0,1.0,1.0,41.0
tomato insect damage,1.0,1.0,1.0,50.333333333333336
tomato leaf mold,1.0,1.0,1.0,33.666666666666664
tomato spider mites,1.0,1.0,1.0,46.0
