path,hash,class
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_140740.jpg,11904595541164503404,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_140756.jpg,11929365339356489069,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_140849.jpg,13055037646296396140,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_140956.jpg,13019013250275831916,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141006.jpg,11861810932112123596,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141010.jpg,13014501200827461681,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141021.jpg,16578763309765506713,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141026.jpg,17444932236608431832,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141058.jpg,16515155883292388449,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141104.jpg,17306431301043712870,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141127.jpg,11933019957428105883,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141132.jpg,13015067813585559950,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141201.jpg,12875449607263761308,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141206.jpg,12937937052102005644,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141215 - Copy.jpg,11858989804221394359,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141215.jpg,11858989804221394359,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141220.jpg,9553219363614200429,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141224.jpg,12721768706044162191,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141229.jpg,12722615554103521996,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141245.jpg,16246628480628321377,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141254.jpg,16225517929319969573,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141401 - Copy.jpg,16255345352975409558,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141401.jpg,16255345352975409558,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141407.jpg,16557077451676661191,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141417.jpg,16532044174653596005,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141422.jpg,12987470671084620748,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141449.jpg,12784821670797515417,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141457.jpg,13073038028980341644,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141507 - Copy.jpg,13000981263875165388,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141507.jpg,13000981263875165388,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141511 - Copy.jpg,12999290489903257916,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141511.jpg,12999290489903257916,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141519.jpg,12697560309952226364,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141524.jpg,12711352308929753444,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141546.jpg,13013364897762920651,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141552.jpg,13014491889346687561,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141559.jpg,12716133001059725620,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141604.jpg,13013366547783495771,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141611.jpg,16706554215994369378,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141615.jpg,16528666500700727141,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141624.jpg,16387640937299612570,cashew fungal infection
