cfg,seed,f1_macro_A,accuracy_A,f1_macro_B,accuracy_B,dF1_pp,dAcc_pp
benchmark/caformer_s18.sail_in22k_ft_in1k,1234,0.690869,0.690833,0.648694,0.632708,4.217499999999996,5.812499999999998
benchmark/caformer_s18.sail_in22k_ft_in1k,2024,0.666222,0.638333,0.650447,0.629583,1.5774999999999983,0.8750000000000036
benchmark/caformer_s18.sail_in22k_ft_in1k,42,0.607342,0.556042,0.663887,0.674583,-5.654499999999995,-11.8541
benchmark/convnext_small,1234,0.649443,0.674792,0.634163,0.650417,1.527999999999996,2.4374999999999925
benchmark/convnext_small,2024,0.602052,0.587708,0.674856,0.675625,-7.280399999999998,-8.791700000000002
benchmark/convnext_small,42,0.667065,0.667083,0.606444,0.600833,6.062100000000004,6.6250000000000036
benchmark/convnext_tiny,1234,0.618521,0.60125,0.54488,0.533333,7.364099999999995,6.7917000000000005
benchmark/convnext_tiny,2024,0.638906,0.62125,0.649174,0.665417,-1.0268000000000055,-4.416700000000007
benchmark/convnext_tiny,42,0.616741,0.629167,0.64093,0.622708,-2.4189000000000016,0.6458999999999993
benchmark/deit3_small_patch16_224,1234,0.604745,0.551042,0.638529,0.600208,-3.3784000000000036,-4.916599999999994
benchmark/deit3_small_patch16_224,2024,0.625229,0.585625,0.556154,0.464167,6.9075,12.145799999999996
benchmark/deit3_small_patch16_224,42,0.611218,0.549375,0.538377,0.44625,7.284100000000004,10.312499999999996
benchmark/densenet121,1234,0.605667,0.531875,0.601074,0.528333,0.4592999999999958,0.3541999999999934
benchmark/densenet121,2024,0.644444,0.569167,0.641175,0.593125,0.32689999999999664,-2.3958000000000035
benchmark/densenet121,42,0.637225,0.595625,0.610129,0.540417,2.709600000000001,5.520799999999992
benchmark/densenet201,1234,0.682971,0.671875,0.699877,0.707708,-1.6905999999999977,-3.5833000000000004
benchmark/densenet201,2024,0.60217,0.560208,0.663674,0.640625,-6.1504,-8.041699999999995
benchmark/densenet201,42,0.6911,0.664583,0.676595,0.6575,1.4505000000000101,0.7083000000000061
benchmark/efficientnet_b0,1234,0.527311,0.436458,0.580806,0.504167,-5.349500000000007,-6.770900000000002
benchmark/efficientnet_b0,2024,0.515041,0.435208,0.516449,0.43625,-0.14080000000000759,-0.10420000000000429
benchmark/efficientnet_b0,42,0.550819,0.472917,0.588154,0.522917,-3.7335000000000007,-4.999999999999999
benchmark/efficientnet_b3,1234,0.671567,0.691458,0.672999,0.68875,-0.14319999999999888,0.27080000000000437
benchmark/efficientnet_b3,2024,0.676138,0.707708,0.661312,0.678125,1.4826000000000006,2.9583000000000026
benchmark/efficientnet_b3,42,0.665007,0.67875,0.651035,0.659792,1.3971999999999984,1.895799999999992
benchmark/ghostnet_100,1234,0.571019,0.5325,0.63339,0.593333,-6.237099999999995,-6.083300000000003
benchmark/ghostnet_100,2024,0.642137,0.619583,0.627144,0.574375,1.4992999999999923,4.520800000000003
benchmark/ghostnet_100,42,0.670075,0.6375,0.661752,0.610208,0.8322999999999969,2.7291999999999983
benchmark/inception_v3,1234,0.539855,0.504167,0.560026,0.517292,-2.017100000000005,-1.3124999999999942
benchmark/inception_v3,2024,0.569094,0.529792,0.566055,0.558125,0.3039000000000014,-2.833299999999994
benchmark/inception_v3,42,0.492889,0.438542,0.579626,0.53,-8.673699999999995,-9.145800000000005
benchmark/legacy_seresnext50_32x4d,1234,0.693905,0.679167,0.711596,0.709167,-1.7691000000000012,-3.0000000000000027
