cfg,seed,f1_macro_A,accuracy_A,f1_macro_B,accuracy_B,dF1_pp,dAcc_pp
proposed/Proposed_HMLA_CAFormerS18,42,0.983759,0.987929,0.977895,0.983287,0.5864000000000091,0.4641999999999924
benchmark/resnet50,42,0.967591,0.974002,0.975044,0.980501,-0.7453000000000043,-0.6498999999999922
benchmark/resnet101,42,0.967381,0.97493,0.968504,0.975859,-0.11229999999999851,-0.09290000000000687
benchmark/densenet121,42,0.980038,0.985144,0.985858,0.988858,-0.5820000000000047,-0.3713999999999995
benchmark/densenet201,42,0.984326,0.987929,0.982104,0.987001,0.22220000000000573,0.09279999999999289
benchmark/vgg16,42,0.981162,0.985144,0.97559,0.98143,0.5572000000000021,0.3713999999999995
benchmark/vgg19,42,0.978354,0.983287,0.985129,0.988858,-0.6775000000000087,-0.5570999999999993
benchmark/inception_v3,42,0.97698,0.982358,0.982391,0.986072,-0.5411000000000055,-0.3713999999999995
benchmark/legacy_xception,42,0.978771,0.984215,0.977555,0.983287,0.12159999999999949,0.09279999999999289
benchmark/resnext50_32x4d,42,0.984097,0.987929,0.981541,0.986072,0.25560000000000027,0.18569999999999975
benchmark/legacy_seresnext50_32x4d,42,0.984468,0.988858,0.986657,0.990715,-0.21889999999999965,-0.18569999999999975
benchmark/mobilenetv3_large_100,42,0.980798,0.985144,0.978748,0.983287,0.20499999999999963,0.18569999999999975
benchmark/mobilenetv2_100,42,0.967937,0.974002,0.968771,0.97493,-0.08340000000000014,-0.09279999999999289
benchmark/efficientnet_b0,42,0.97442,0.980501,0.972902,0.979573,0.15179999999999083,0.09279999999999289
benchmark/efficientnet_b3,42,0.972394,0.978644,0.969561,0.975859,0.28329999999999744,0.27849999999999264
benchmark/mnasnet_100,42,0.977793,0.982358,0.973356,0.978644,0.4437000000000024,0.3713999999999995
benchmark/regnety_016,42,0.986039,0.989786,0.978721,0.982358,0.7318000000000047,0.7428000000000101
benchmark/ghostnet_100,42,0.968326,0.97493,0.975602,0.98143,-0.7275999999999949,-0.6500000000000061
benchmark/convnext_tiny,42,0.970736,0.977716,0.976308,0.98143,-0.557199999999991,-0.3713999999999995
benchmark/convnext_small,42,0.981188,0.986072,0.972148,0.976787,0.9039999999999937,0.9284999999999988
benchmark/vit_small_patch16_224,42,0.977376,0.98143,0.977822,0.983287,-0.044599999999994644,-0.18569999999999975
benchmark/vit_base_patch16_224,42,0.986204,0.989786,0.976747,0.98143,0.9456999999999938,0.835600000000003
benchmark/swin_tiny_patch4_window7_224,42,0.986044,0.989786,0.98438,0.988858,0.16639999999999988,0.09280000000000399
benchmark/swin_small_patch4_window7_224,42,0.980627,0.986072,0.982079,0.987001,-0.14520000000000088,-0.09290000000000687
benchmark/deit3_small_patch16_224,42,0.985224,0.988858,0.978066,0.983287,0.7157999999999998,0.5570999999999993
benchmark/caformer_s18.sail_in22k_ft_in1k,42,0.976461,0.982358,0.973672,0.979573,0.27890000000000414,0.27849999999999264
proposed/Proposed_HMLA_CAFormerS18,1234,0.983836,0.987001,0.986516,0.989786,-0.26799999999999047,-0.27850000000000374
benchmark/resnet50,1234,0.969918,0.975859,0.972507,0.977716,-0.25890000000000635,-0.18569999999999975
benchmark/resnet101,1234,0.965557,0.970288,0.971139,0.975859,-0.5581999999999976,-0.5570999999999993
benchmark/densenet121,1234,0.98864,0.991643,0.984767,0.987929,0.38730000000000153,0.3714000000000106
benchmark/densenet201,1234,0.983191,0.986072,0.984078,0.987929,-0.08869999999999711,-0.18569999999999975
benchmark/vgg16,1234,0.98847,0.990715,0.984676,0.987929,0.3793999999999964,0.2786000000000066
benchmark/vgg19,1234,0.98442,0.987001,0.988676,0.990715,-0.42560000000000375,-0.3713999999999995
benchmark/inception_v3,1234,0.986219,0.988858,0.983169,0.987001,0.3049999999999997,0.18569999999999975
benchmark/legacy_xception,1234,0.983636,0.987001,0.981375,0.985144,0.22609999999999575,0.18569999999999975
benchmark/resnext50_32x4d,1234,0.977983,0.98143,0.984145,0.987001,-0.6162000000000001,-0.5570999999999993
benchmark/legacy_seresnext50_32x4d,1234,0.984559,0.987929,0.987692,0.990715,-0.31330000000000524,-0.2786000000000066
benchmark/mobilenetv3_large_100,1234,0.976206,0.980501,0.977411,0.98143,-0.12050000000000116,-0.09290000000000687
benchmark/mobilenetv2_100,1234,0.970661,0.975859,0.973345,0.978644,-0.26840000000000197,-0.27849999999999264
