plant,class,n_sampled,n_total,R,G,B,brightness,width,height,aspect
cashew,cashew fungal infection,50,235,0.5703713798522949,0.5665157997608185,0.5381312227249145,0.5583394718170166,480.0,360.0,1.333333333333333
cashew,cashew healthy,50,245,0.5997936654090882,0.609245131611824,0.5737368267774582,0.5942585480213165,480.0,360.0,1.333333333333333
jackfruit,jackfruit algal,50,245,0.7336341238021851,0.747514044046402,0.6318059706687927,0.7043180513381958,480.0,360.0,1.333333333333333
jackfruit,jackfruit anthracnose,50,321,0.7398478567600251,0.75376096367836,0.6611949038505555,0.718267902135849,480.0,360.0,1.333333333333333
jackfruit,jackfruit healthy,50,316,0.7315859746932983,0.7395202839374542,0.6792367470264434,0.7167810010910034,480.0,360.0,1.333333333333333
jackfruit,jackfruit leaf spot,50,368,0.766735224723816,0.7490071511268616,0.6664753460884094,0.7274059128761291,480.0,360.0,1.333333333333333
jackfruit,jackfruit phyllosticta,50,344,0.7558973562717438,0.7498962092399597,0.6819169807434082,0.7292368388175965,480.0,360.0,1.333333333333333
jackfruit,jackfruit sooty mold,50,220,0.6945566475391388,0.6867188239097595,0.6380882906913757,0.6731212556362152,480.0,360.0,1.333333333333333
mango,mango anthracnose,50,486,0.6857944965362549,0.7073106944561005,0.6857842147350312,0.6929631280899048,480.0,360.0,1.333333333333333
mango,mango die back,50,493,0.6353247678279876,0.6823316013813019,0.7563969296216965,0.6913511037826539,480.0,360.0,1.333333333333333
mango,mango gall midge,50,500,0.7046510696411132,0.7029012477397919,0.6748067319393158,0.6941196811199188,480.0,360.0,1.333333333333333
mango,mango healthy,50,500,0.7167225325107575,0.7297358763217926,0.6907004749774933,0.7123862910270691,480.0,360.0,1.333333333333333
mango,mango powdery mildew,50,500,0.6509578251838684,0.6560840797424317,0.643776992559433,0.6502729773521423,480.0,360.0,1.333333333333333
mango,mango sooty mould,50,209,0.6666961097717286,0.6615980923175812,0.624955832362175,0.651083345413208,480.0,360.0,1.333333333333333
tomato,tomato bacterial spot,50,376,0.5907310390472412,0.6472915303707123,0.714136551618576,0.6507197022438049,480.0,360.0,1.333333333333333
tomato,tomato blight,50,285,0.5952126598358154,0.6411039972305298,0.6896337056159973,0.6419834613800048,480.0,360.0,1.333333333333333
tomato,tomato curl virus,50,394,0.5846992146968841,0.6458829987049103,0.707440767288208,0.6460076594352722,480.0,360.0,1.333333333333333
tomato,tomato healthy,50,277,0.5219385129213333,0.5906751489639283,0.6554867070913315,0.5893667775392533,480.0,360.0,1.333333333333333
tomato,tomato insect damage,50,336,0.5767629253864288,0.632397574186325,0.7012030243873596,0.6367878437042236,480.0,360.0,1.333333333333333
tomato,tomato leaf mold,50,222,0.5916949999332428,0.6485916030406952,0.6934611833095551,0.6445825946331024,480.0,360.0,1.333333333333333
tomato,tomato spider mites,50,307,0.5760035812854767,0.6376999461650849,0.6700743436813354,0.6279259538650512,480.0,360.0,1.333333333333333
