epoch,phase,train_loss,train_acc,val_loss,val_acc,val_score,val_src,mixup,lr,epoch_sec,val_score_raw,val_acc_raw
0,1,2.136245036718264,0.4475621890547264,1.0858561417075807,0.8765088207985144,0.8582487681203459,raw,1,0.001,34.48,0.8582487681203459,0.8765088207985144
1,1,1.7276608246594518,0.527363184079602,1.005702562042155,0.9117920148560817,0.9019467886939743,raw,1,0.001,12.17,0.9019467886939743,0.9117920148560817
2,2,1.4107600339728208,0.6553233830845772,0.9423275726087246,0.9600742804085423,0.9540468347152775,raw,1,0.0001,30.1,0.9540468347152775,0.9600742804085423
3,2,1.3178126629668088,0.6256716417910447,0.9070354135034254,0.9647168059424327,0.9547625402426938,raw,1,0.0001,30.71,0.9547625402426938,0.9647168059424327
4,2,1.2518362385004906,0.6340298507462686,0.8873263523881925,0.9740018570102136,0.9698996034258828,raw,1,9.968561049466214e-05,30.5,0.9698996034258828,0.9740018570102136
5,2,1.1852906579757805,0.7170149253731344,0.8748570878193571,0.9740018570102136,0.970006749494542,raw,1,9.874639560909117e-05,30.43,0.970006749494542,0.9740018570102136
6,2,1.164218038207856,0.6593034825870647,0.857451400274243,0.9749303621169917,0.9686334711909955,raw,1,9.719416651541839e-05,30.37,0.9686334711909955,0.9749303621169917
7,2,1.1800606647059693,0.6370149253731343,0.8669470736796698,0.9712163416898792,0.9656814954439548,raw,1,9.504844339512095e-05,30.23,0.9656814954439548,0.9712163416898792
8,2,1.1929405977832737,0.7416915422885572,0.8508537692833301,0.9832869080779945,0.9797795293785945,raw,1,9.233620996141421e-05,30.17,0.9797795293785945,0.9832869080779945
9,2,1.149658816145427,0.7086567164179104,0.8280315708538505,0.9832869080779945,0.9787761851312032,raw,1,8.90915741234015e-05,30.01,0.9787761851312032,0.9832869080779945
10,2,1.0924389047646403,0.7030845771144278,0.8176904917316737,0.9935004642525533,0.9915917334070873,raw,1,8.535533905932738e-05,30.01,0.9915917334070873,0.9935004642525533
11,2,1.147544952186186,0.6748258706467661,0.837834816899915,0.9805013927576601,0.9760218711525817,raw,1,8.117449009293668e-05,29.97,0.9760218711525817,0.9805013927576601
12,2,1.1041343654091678,0.792636815920398,0.850165745784756,0.9721448467966574,0.9651469079165681,raw,1,7.660160382576683e-05,30.05,0.9651469079165681,0.9721448467966574
13,2,1.0916272115470165,0.7207960199004975,0.8512848695340595,0.9805013927576601,0.9765768954367255,raw,1,7.169418695587791e-05,29.96,0.9765768954367255,0.9805013927576601
14,2,1.056333802754606,0.7148258706467662,0.8322432435211918,0.9851439182915506,0.9819063629664934,raw,1,6.651395309775837e-05,30.01,0.9819063629664934,0.9851439182915506
15,2,1.0934963336394201,0.6698507462686567,0.8200212962780158,0.9907149489322191,0.9887218880285993,raw,1,6.112604669781572e-05,29.96,0.9887218880285993,0.9907149489322191
16,2,1.0854855869302702,0.6481592039800995,0.8526469420368403,0.978644382544104,0.9745782479580278,raw,1,5.5598223805165385e-05,29.97,0.9745782479580278,0.978644382544104
17,2,1.0423601089899812,0.6869651741293532,0.8186126108953216,0.9907149489322191,0.9880534233264507,raw,1,5e-05,29.97,0.9880534233264507,0.9907149489322191
18,2,1.121420989783842,0.7122388059701492,0.8121179831503936,0.9907149489322191,0.9883107170802315,raw,1,4.440177619483462e-05,29.91,0.9883107170802315,0.9907149489322191
