class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9945833333333334,0.0,0.0
cashew healthy,0.0,0.0,0.99625,0.0,0.0
jackfruit algal,0.0,0.0,0.9872916666666667,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9964583333333333,0.0,0.0
jackfruit healthy,0.0,0.0,1.0,0.0,0.0
jackfruit leaf spot,0.0,0.0,1.0,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9991666666666666,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9816666666666667,0.0,0.0
mango anthracnose,0.8143776824034334,0.94875,0.95675,0.8764434180138568,800.0
mango die back,1.0,0.995,1.0,0.9974937343358395,800.0
mango gall midge,0.6365795724465558,0.335,0.96175,0.438984438984439,800.0
mango healthy,0.8102189781021898,0.97125,0.9545,0.8834565093803297,800.0
mango powdery mildew,0.43125,0.77625,0.79525,0.5544642857142857,800.0
mango sooty mould,0.0,0.0,0.99325,0.0,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9977083333333333,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
