class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.959375,0.0,0.0
cashew healthy,0.0,0.0,0.9939583333333334,0.0,0.0
jackfruit algal,0.0,0.0,0.9960416666666667,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9875,0.0,0.0
jackfruit healthy,0.0,0.0,0.9977083333333333,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9995833333333334,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9920833333333333,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.938125,0.0,0.0
mango anthracnose,0.9206349206349206,0.87,0.985,0.8946015424164524,800.0
mango die back,1.0,0.97,1.0,0.9847715736040609,800.0
mango gall midge,0.794392523364486,0.74375,0.9615,0.7682375726275016,800.0
mango healthy,0.924119241192412,0.8525,0.986,0.8868660598179454,800.0
mango powdery mildew,0.5386046511627907,0.72375,0.876,0.6176,800.0
mango sooty mould,0.0625,0.00125,0.99625,0.0024509803921568627,800.0
tomato bacterial spot,0.0,0.0,0.998125,0.0,0.0
tomato blight,0.0,0.0,0.9977083333333333,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,0.9966666666666667,0.0,0.0
tomato insect damage,0.0,0.0,0.9995833333333334,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.9997916666666666,0.0,0.0
