class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.98625,0.0,0.0
cashew healthy,0.0,0.0,0.9895833333333334,0.0,0.0
jackfruit algal,0.0,0.0,0.9654166666666667,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.990625,0.0,0.0
jackfruit healthy,0.0,0.0,0.9989583333333333,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9989583333333333,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9991666666666666,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.980625,0.0,0.0
mango anthracnose,0.8826879271070615,0.96875,0.97425,0.9237187127532777,800.0
mango die back,1.0,0.9925,1.0,0.9962358845671268,800.0
mango gall midge,0.6728187919463087,0.50125,0.95125,0.5744985673352435,800.0
mango healthy,0.9558232931726908,0.8925,0.99175,0.9230769230769231,800.0
mango powdery mildew,0.4837244511733535,0.79875,0.8295,0.6025459688826026,800.0
mango sooty mould,0.0,0.0,0.9985,0.0,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,0.9997916666666666,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9952083333333334,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
