class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.959375,0.0,0.0
cashew healthy,0.0,0.0,0.9839583333333334,0.0,0.0
jackfruit algal,0.0,0.0,0.9885416666666667,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9954166666666666,0.0,0.0
jackfruit healthy,0.0,0.0,0.9964583333333333,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.999375,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.98875,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.929375,0.0,0.0
mango anthracnose,0.9108781127129751,0.86875,0.983,0.889315419065899,800.0
mango die back,1.0,0.925,1.0,0.961038961038961,800.0
mango gall midge,0.7550200803212851,0.705,0.95425,0.729153199741435,800.0
mango healthy,0.9247027741083224,0.875,0.98575,0.899165061014772,800.0
mango powdery mildew,0.6025492468134415,0.65,0.91425,0.6253758268190018,800.0
mango sooty mould,0.06172839506172839,0.00625,0.981,0.011350737797956867,800.0
tomato bacterial spot,0.0,0.0,0.9985416666666667,0.0,0.0
tomato blight,0.0,0.0,0.9975,0.0,0.0
tomato curl virus,0.0,0.0,0.9941666666666666,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9922916666666667,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.999375,0.0,0.0
