epoch,phase,train_loss,train_acc,val_loss,val_acc,val_score,val_src,mixup,lr,epoch_sec,val_score_raw,val_acc_raw,val_score_ema,val_acc_ema
0,1,2.1759608203261647,0.4191044776119403,1.0463774078071615,0.9312906220984215,0.922322736999884,ema,1,0.001,39.9,0.8908681401631313,0.9052924791086351,0.922322736999884,0.9312906220984215
1,1,1.5177537463316277,0.5946268656716418,0.9562002357334147,0.9498607242339833,0.9431721457343262,ema,1,0.001,16.17,0.8845401459688861,0.904363974001857,0.9431721457343262,0.9498607242339833
2,2,1.4654847815499377,0.6869651741293532,0.9211102033391968,0.9656453110492108,0.9607664220542188,ema,1,0.0001,34.22,0.9514086985598036,0.958217270194986,0.9607664220542188,0.9656453110492108
3,2,1.327057621490896,0.6551243781094528,0.9108767989286141,0.9702878365831012,0.9651546379242663,ema,1,0.0001,34.59,0.9613080859011934,0.9675023212627669,0.9651546379242663,0.9702878365831012
4,2,1.2965440156803796,0.6698507462686567,0.8926109868061133,0.9740018570102136,0.9681226898050534,ema,1,9.968561049466214e-05,34.25,0.9499235537214887,0.9600742804085423,0.9681226898050534,0.9740018570102136
5,2,1.218995674984965,0.6991044776119403,0.8778770406044736,0.9777158774373259,0.9720639534442961,raw,1,9.874639560909117e-05,33.94,0.9720639534442961,0.9777158774373259,0.9704040224863955,0.9758588672237697
6,2,1.1661601382582936,0.7285572139303482,0.8675614068545782,0.9805013927576601,0.9757000640172961,ema,1,9.719416651541839e-05,33.82,0.9744612091783796,0.9795728876508821,0.9757000640172961,0.9805013927576601
7,2,1.15782537927675,0.6887562189054727,0.8549157232184486,0.9832869080779945,0.979635531977301,ema,1,9.504844339512095e-05,33.99,0.9714007909912045,0.9767873723305478,0.979635531977301,0.9832869080779945
8,2,1.196866015866028,0.7490547263681592,0.8461833061060644,0.9842154131847726,0.9809516838322336,ema,1,9.233620996141421e-05,33.54,0.9666845980274223,0.9721448467966574,0.9809516838322336,0.9842154131847726
9,2,1.1457831922455213,0.6957213930348258,0.838707141612787,0.9879294336118849,0.9849297868532196,ema,1,8.90915741234015e-05,33.53,0.9781854492178106,0.9823584029712163,0.9849297868532196,0.9879294336118849
10,2,1.1505943357647948,0.6304477611940299,0.8385695754762258,0.9870009285051068,0.9831857042415403,ema,1,8.535533905932738e-05,33.64,0.9600531715905438,0.9675023212627669,0.9831857042415403,0.9870009285051068
11,2,1.1494338634120884,0.714228855721393,0.8315362852817347,0.9879294336118849,0.9846807838368363,ema,1,8.117449009293668e-05,34.28,0.9707702983478215,0.9767873723305478,0.9846807838368363,0.9879294336118849
12,2,1.1727678257671754,0.6895522388059702,0.8283288371485478,0.9888579387186629,0.9852819233651657,ema,1,7.660160382576683e-05,35.61,0.9723301514642351,0.9777158774373259,0.9852819233651657,0.9888579387186629
