class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9996666666666667,0.0,0.0
cashew healthy,0.0,0.0,1.0,0.0,0.0
jackfruit algal,0.0,0.0,1.0,0.0,0.0
jackfruit anthracnose,0.0,0.0,1.0,0.0,0.0
jackfruit healthy,0.0,0.0,0.9996666666666667,0.0,0.0
jackfruit leaf spot,0.0,0.0,1.0,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9993333333333333,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9993333333333333,0.0,0.0
mango anthracnose,1.0,0.996,1.0,0.9979959919839679,500.0
mango die back,1.0,0.996,1.0,0.9979959919839679,500.0
mango gall midge,0.9839034205231388,0.978,0.9968,0.9809428284854563,500.0
mango healthy,0.9900596421471173,0.996,0.998,0.9930209371884346,500.0
mango powdery mildew,0.6301020408163265,0.988,0.884,0.7694704049844237,500.0
mango sooty mould,0.9766355140186916,0.418,0.998,0.5854341736694678,500.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,1.0,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
