epoch,phase,train_loss,train_acc,val_loss,val_acc,val_score,val_src,mixup,lr,epoch_sec,val_score_raw,val_acc_raw,val_score_ema,val_acc_ema
0,1,2.073086969271228,0.47562189054726367,1.025762508949308,0.9312906220984215,0.9226157916290545,ema,1,0.001,37.53,0.851853735177889,0.8783658310120706,0.9226157916290545,0.9312906220984215
1,1,1.652439497715205,0.5797014925373134,0.964261466303465,0.9563602599814299,0.9489675047836156,ema,1,0.001,15.19,0.9298797930455992,0.9424326833797586,0.9489675047836156,0.9563602599814299
2,2,1.399596930083944,0.6280597014925373,0.9341734586873316,0.9628597957288765,0.9548016880004007,ema,1,0.0001,32.56,0.9340391264728697,0.9461467038068709,0.9548016880004007,0.9628597957288765
3,2,1.2783912554664991,0.7024875621890547,0.91249066026762,0.9767873723305478,0.9715173591832837,ema,1,0.0001,33.75,0.9495528858097008,0.9619312906220984,0.9715173591832837,0.9767873723305478
4,2,1.2445085320662503,0.6497512437810945,0.8838102255801747,0.9832869080779945,0.9796399751917578,ema,1,9.968561049466214e-05,33.24,0.9611155334591178,0.968430826369545,0.9796399751917578,0.9832869080779945
5,2,1.1453193096260526,0.7532338308457711,0.8752477868575129,0.9823584029712163,0.9783692925309854,ema,1,9.874639560909117e-05,33.23,0.9781773793661259,0.9814298978644382,0.9783692925309854,0.9823584029712163
6,2,1.1802751025987501,0.7144278606965174,0.8602141665991745,0.989786443825441,0.9868170984462662,ema,1,9.719416651541839e-05,32.93,0.9835929795842104,0.9860724233983287,0.9868170984462662,0.989786443825441
7,2,1.130707362623357,0.7329353233830845,0.8511134657244386,0.9860724233983287,0.9821121151393064,ema,1,9.504844339512095e-05,32.86,0.9729814310885694,0.9777158774373259,0.9821121151393064,0.9860724233983287
8,2,1.098698698145833,0.7456716417910447,0.8458855402281468,0.9879294336118849,0.9843221923421412,ema,1,9.233620996141421e-05,32.41,0.9808701057612874,0.9842154131847726,0.9843221923421412,0.9879294336118849
9,2,1.159609420109744,0.6700497512437811,0.8460785092971008,0.9851439182915506,0.981374697073391,ema,1,8.90915741234015e-05,32.27,0.9746037238917027,0.978644382544104,0.981374697073391,0.9851439182915506
10,2,1.0687222008444184,0.7397014925373134,0.8431924815076086,0.9870009285051068,0.9838494317910682,ema,1,8.535533905932738e-05,32.61,0.9702787332665951,0.9749303621169917,0.9838494317910682,0.9870009285051068
11,2,1.0769237983286084,0.7637810945273632,0.8375295498577001,0.9888579387186629,0.9863265348705822,ema,1,8.117449009293668e-05,32.49,0.9782871362434274,0.9823584029712163,0.9863265348705822,0.9888579387186629
12,2,1.0861068738277873,0.7277611940298507,0.833583142265968,0.9888579387186629,0.9859241517914712,ema,1,7.660160382576683e-05,32.87,0.9777605133348259,0.9814298978644382,0.9859241517914712,0.9888579387186629
13,2,1.0987647574576573,0.7205970149253731,0.8292870701410866,0.9870009285051068,0.9836897199036673,ema,1,7.169418695587791e-05,33.22,0.9757550303695989,0.9814298978644382,0.9836897199036673,0.9870009285051068
14,2,1.0648685992179225,0.6734328358208955,0.8263372528187743,0.9888579387186629,0.9859474137386739,ema,1,6.651395309775837e-05,32.96,0.9796388270438822,0.9842154131847726,0.9859474137386739,0.9888579387186629
