epoch,phase,train_loss,train_acc,val_loss,val_acc,val_score,val_src,mixup,lr,epoch_sec,val_score_raw,val_acc_raw,val_score_ema,val_acc_ema
0,1,2.1759791539320306,0.4197014925373134,1.0485958770789143,0.935933147632312,0.9273783350430181,ema,1,0.001,41.42,0.8876528468017411,0.9025069637883009,0.9273783350430181,0.935933147632312
1,1,1.5185050476842852,0.5938308457711443,0.9528919931020355,0.9507892293407614,0.9442232656814217,ema,1,0.001,16.44,0.8820236475500238,0.9025069637883009,0.9442232656814217,0.9507892293407614
2,2,1.4539676019089731,0.6923383084577115,0.9165889496258707,0.968430826369545,0.9638181932253563,ema,1,0.0001,34.13,0.9583795222997192,0.9647168059424327,0.9638181932253563,0.968430826369545
3,2,1.3055001152925823,0.6606965174129353,0.9040950517911212,0.9767873723305478,0.9712464106117163,raw,1,0.0001,34.36,0.9712464106117163,0.9767873723305478,0.963963656959412,0.9693593314763231
4,2,1.2809429806144677,0.6770149253731343,0.8878775137159264,0.978644382544104,0.9735004121161973,ema,1,9.968561049466214e-05,34.21,0.9402774508709113,0.9545032497678737,0.9735004121161973,0.978644382544104
5,2,1.1934349034437493,0.7026865671641791,0.8746494874427356,0.9777158774373259,0.973134478994326,ema,1,9.874639560909117e-05,34.05,0.9710603439904785,0.9767873723305478,0.973134478994326,0.9777158774373259
6,2,1.1420788898752696,0.7361194029850746,0.86296414615052,0.9842154131847726,0.9806175330356867,raw,1,9.719416651541839e-05,34.0,0.9806175330356867,0.9842154131847726,0.9736109703606427,0.9795728876508821
7,2,1.1470139672625717,0.6863681592039801,0.8539987789223121,0.9814298978644382,0.9774572204317525,ema,1,9.504844339512095e-05,33.93,0.9706940245486111,0.9749303621169917,0.9774572204317525,0.9814298978644382
8,2,1.173401547249277,0.7598009950248756,0.8471639016876645,0.9832869080779945,0.9799216760766598,ema,1,9.233620996141421e-05,33.65,0.9717060333058873,0.9767873723305478,0.9799216760766598,0.9832869080779945
9,2,1.113330523184876,0.7046766169154229,0.8384045612623875,0.9870009285051068,0.9838680172575052,raw,1,8.90915741234015e-05,34.0,0.9838680172575052,0.9870009285051068,0.9789335413230321,0.9832869080779945
10,2,1.1298186056175041,0.6439800995024876,0.8373106812700256,0.9851439182915506,0.980534065676321,ema,1,8.535533905932738e-05,33.61,0.973317310052004,0.978644382544104,0.980534065676321,0.9851439182915506
11,2,1.1297832700031907,0.7255721393034826,0.8270752619789393,0.9916434540389972,0.9889894385681459,ema,1,8.117449009293668e-05,33.75,0.9878912793005453,0.9907149489322191,0.9889894385681459,0.9916434540389972
12,2,1.150658155827973,0.6917412935323383,0.8237455482270393,0.9925719591457753,0.9901389028178174,raw,1,7.660160382576683e-05,33.65,0.9901389028178174,0.9925719591457753,0.9890150313402253,0.9916434540389972
13,2,1.1162152592934187,0.7243781094527363,0.8247785181388217,0.9916434540389972,0.989452005068142,ema,1,7.169418695587791e-05,34.76,0.9798162227302967,0.9832869080779945,0.989452005068142,0.9916434540389972
14,2,1.1101129273870098,0.6945273631840796,0.8225034586012973,0.9916434540389972,0.9890778043214028,ema,1,6.651395309775837e-05,33.81,0.9810851442006591,0.9860724233983287,0.9890778043214028,0.9916434540389972
15,2,1.1026417339737735,0.6690547263681592,0.8192586306631289,0.989786443825441,0.9861286983811737,ema,1,6.112604669781572e-05,33.79,0.9814434834784911,0.9851439182915506,0.9861286983811737,0.989786443825441
16,2,1.0936916675615074,0.7140298507462687,0.8188428781380118,0.9907149489322191,0.9874370946262787,ema,1,5.5598223805165385e-05,33.77,0.9805510910759859,0.9851439182915506,0.9874370946262787,0.9907149489322191
17,2,1.1030532976643956,0.7617910447761194,0.8174742306396711,0.9907149489322191,0.9874370946262787,ema,1,5e-05,33.82,0.983841476660888,0.9870009285051068,0.9874370946262787,0.9907149489322191
18,2,1.1085246724987505,0.7138308457711443,0.8138114604666594,0.9935004642525533,0.9912933921052305,ema,1,4.440177619483462e-05,33.73,0.9853812715503277,0.9888579387186629,0.9912933921052305,0.9935004642525533
19,2,1.0599531264091606,0.7042786069651741,0.8120307484598435,0.9935004642525533,0.9912933921052305,ema,1,3.887395330218429e-05,33.63,0.9848049280973615,0.9888579387186629,0.9912933921052305,0.9935004642525533
20,2,1.0808520104042927,0.711044776119403,0.813568387523003,0.9935004642525533,0.9912623308882365,ema,1,3.3486046902241643e-05,33.85,0.9782296034151133,0.9823584029712163,0.9912623308882365,0.9935004642525533
21,2,1.045973330836984,0.7355223880597015,0.8133446585833196,0.9935004642525533,0.9912623308882365,ema,1,2.8305813044122097e-05,33.68,0.9912003774668638,0.9935004642525533,0.9912623308882365,0.9935004642525533
22,2,1.0210901421219556,0.745273631840796,0.8118335533274914,0.9944289693593314,0.9926111929965923,ema,1,2.3398396174233178e-05,34.04,0.9903700560281374,0.9925719591457753,0.9926111929965923,0.9944289693593314
23,2,1.070230633619413,0.7076616915422885,0.8105184562580389,0.9953574744661096,0.9939517145929774,ema,1,1.8825509907063327e-05,33.41,0.987640780549948,0.9907149489322191,0.9939517145929774,0.9953574744661096
24,2,0.6277902323215162,0.9976119402985074,0.828636254385432,0.9935004642525533,0.9914885287410261,ema,0,1.4644660940672627e-05,33.52,0.990325770715929,0.9925719591457753,0.9914885287410261,0.9935004642525533
25,2,0.6195586725847045,0.9986069651741294,0.8582958154580941,0.9944289693593314,0.9923788308026117,ema,0,1.0908425876598528e-05,33.73,0.9914784444082217,0.9935004642525533,0.9923788308026117,0.9944289693593314
26,2,0.6164593204692822,0.9982089552238806,0.8850695606504421,0.9944289693593314,0.9923788308026117,ema,0,7.663790038585793e-06,33.69,0.9898877370032915,0.9925719591457753,0.9923788308026117,0.9944289693593314
27,2,0.6140707729111856,0.9990049751243781,0.9724401752486092,0.9944289693593314,0.9923788308026117,raw,0,4.951556604879048e-06,33.95,0.9923788308026117,0.9944289693593314,0.9923788308026117,0.9944289693593314
28,2,0.6148858251619101,0.998407960199005,0.9272399633818461,0.9944289693593314,0.9923788308026117,ema,0,2.8058334845816213e-06,33.75,0.9911880823639008,0.9935004642525533,0.9923788308026117,0.9944289693593314
29,2,0.613236516779335,0.9994029850746269,0.9422907734094335,0.9944289693593314,0.9923788308026117,ema,0,1.2536043909088136e-06,33.69,0.9914784444082217,0.9935004642525533,0.9923788308026117,0.9944289693593314
30,2,0.613622346908892,0.998407960199005,0.9536737867716627,0.9944289693593314,0.9923788308026117,ema,0,3.143895053378698e-07,33.65,0.9914784444082217,0.9935004642525533,0.9923788308026117,0.9944289693593314
31,2,0.6127244232780305,0.9992039800995025,0.9622603760013563,0.9944289693593314,0.9923788308026117,ema,0,0.0,33.63,0.9914784444082217,0.9935004642525533,0.9923788308026117,0.9944289693593314
