variant,f1_macro_mean,f1_macro_std,f1_macro_n,delta_vs_full,wilcoxon_p,cohens_d,cohens_dz,wilcoxon_p_holm,significant_holm
wo_beta_calib,0.9880016666666668,0.005078101252764977,3,0.0028763333333333696,0.25,-0.6037560593687301,-3.8945102424537055,1.0,False
wo_msf,0.9874680000000001,0.002094602348895843,3,0.002342666666666715,0.5,-0.6763698898830155,-0.9718647396126656,1.0,False
wo_label_smoothing,0.9868083333333333,0.0058313708794188015,3,0.001682999999999879,0.5,-0.32506824214150354,-0.6196232587061766,1.0,False
wo_hier,0.9864316666666667,0.0013624277350866548,3,0.0013063333333332983,0.75,-0.39878296302077293,-0.3558587191435798,1.0,False
wo_sampler,0.9862806666666667,0.004333192625920668,3,0.001155333333333286,1.0,-0.2637290847500205,-0.43208375616559636,1.0,False
wo_two_phase,0.986185,0.005463116967446296,3,0.00105966666666657,1.0,-0.21310614606307748,-0.2624054869721454,1.0,False
wo_llrd,0.986104,0.003287796678628425,3,0.0009786666666665722,0.75,-0.2509602504884406,-0.3998575292489906,1.0,False
wo_tta,0.985913,0.0037284421679838263,3,0.000787666666666631,1.0,-0.19243804978555448,-0.1472168133183032,1.0,False
wo_mixstyle,0.985868,0.0034184919189607413,3,0.0007426666666665582,0.75,-0.18775649053263413,-0.31931798814863116,1.0,False
wo_lap_gate,0.985271,0.002259101812668023,3,0.00014566666666659955,1.0,-0.0414426017511169,-0.06236854005180019,1.0,False
wo_lap,0.9852423333333333,0.0032808087925591104,3,0.00011699999999992272,1.0,-0.03002506507285422,-0.04256076228912222,1.0,False
full,0.9851253333333334,0.0044278127030547695,3,,,,,,False
wo_random_erasing,0.9851103333333334,0.006446153064683884,3,-1.4999999999987246e-05,1.0,0.002712552467562087,0.0030319536840733652,1.0,False
wo_mixup_cooldown,0.9846285,0.005149858687381575,2,-0.0004968333333333907,0.5,0.28038510043831577,2.631195148020288,1.0,False
wo_ema,0.9839943333333334,0.005207893848124543,3,-0.0011309999999999931,1.0,0.23398632485879947,0.12181963468341124,1.0,False
wo_mixup,0.9839116666666667,0.006521688533910001,3,-0.0012136666666666684,0.75,0.21773887416892437,0.2583247011097291,1.0,False
wo_pretrained,0.9236156666666666,0.004402010941982463,3,-0.061509666666666796,0.25,13.932193106683478,15.976424520939656,1.0,False
