baseline,proposed_mean,baseline_mean,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,cohens_dz,cohens_d,mean_diff,n_blocks,wilcoxon_min_possible_p,wilcoxon_p_holm,paired_t_p_holm,significant_holm
swin_small_patch4_window7_224,0.9844643333333334,0.9842896666666666,0.06247203706937585,0.9558686364478631,3.0,1.0,0.03606824741882842,0.05366430304965278,0.00017466666666676733,3,0.25,1.0,1.0,False
vgg16,0.9844643333333334,0.9840803333333333,0.15269522706607505,0.8926520828833641,3.0,1.0,0.08815863045056946,0.1344647335702512,0.00038400000000005097,3,0.25,1.0,1.0,False
legacy_seresnext50_32x4d,0.9844643333333334,0.984042,0.3710079106692767,0.746244661210103,3.0,1.0,0.21420151709638752,0.421860131042853,0.0004223333333334134,3,0.25,1.0,1.0,False
regnety_016,0.9844643333333334,0.9836503333333333,0.2597249204701676,0.8193677151083945,3.0,1.0,0.14995225274870544,0.26000698513905535,0.0008140000000000924,3,0.25,1.0,1.0,False
convnext_small,0.9844643333333334,0.9835293333333333,0.4907979378902179,0.6721364208284117,2.0,0.75,0.2833623215586305,0.287614817567231,0.0009350000000001302,3,0.25,1.0,1.0,False
swin_tiny_patch4_window7_224,0.9844643333333334,0.9833836666666667,0.2585269240590427,0.8201738889036249,3.0,1.0,0.14926058919825427,0.2462221493534119,0.0010806666666667297,3,0.25,1.0,1.0,False
vit_base_patch16_224,0.9844643333333334,0.983369,0.5016930887822224,0.6656639213111305,2.0,0.75,0.2896526398589909,0.5197502862505496,0.001095333333333337,3,0.25,1.0,1.0,False
densenet201,0.9844643333333334,0.9826686666666666,1.002510493226126,0.4216846537710838,1.0,0.5,0.5787997031295283,1.11141006518945,0.001795666666666751,3,0.25,1.0,1.0,False
vit_small_patch16_224,0.9844643333333334,0.9823946666666666,0.6447637161808911,0.5851632054087328,2.0,0.75,0.37225450510074093,0.5337942284726034,0.0020696666666667474,3,0.25,1.0,1.0,False
densenet121,0.9844643333333334,0.982316,0.589270337426758,0.6153764474405157,2.0,0.75,0.34021538793880035,0.5361486496512528,0.0021483333333334187,3,0.25,1.0,1.0,False
deit3_small_patch16_224,0.9844643333333334,0.9813633333333334,1.349968890901241,0.3095141468279111,1.0,0.5,0.779404902559452,1.225456062541096,0.0031010000000000204,3,0.25,1.0,1.0,False
caformer_s18.sail_in22k_ft_in1k,0.9844643333333334,0.9811803333333334,1.6098016006337468,0.24872853121075558,0.0,0.25,0.9294193874677842,1.0221516751944857,0.0032839999999999536,3,0.25,1.0,1.0,False
inception_v3,0.9844643333333334,0.981054,1.1721546389618351,0.3618602249082201,1.0,0.5,0.6767437963364841,0.9934607390248124,0.003410333333333404,3,0.25,1.0,1.0,False
convnext_tiny,0.9844643333333334,0.9802566666666667,0.9420995796255026,0.4455888808670952,2.0,0.75,0.5439214459002172,0.7143467116503069,0.004207666666666721,3,0.25,1.0,1.0,False
mobilenetv3_large_100,0.9844643333333334,0.9796619999999999,3.346071328483202,0.07889135202083276,0.0,0.25,1.9318551822274654,2.081694239607595,0.004802333333333464,3,0.25,1.0,1.0,False
vgg19,0.9844643333333334,0.9796543333333334,1.6263918409678415,0.24538523939941217,1.0,0.5,0.9389977671905944,1.5388170356834971,0.004809999999999981,3,0.25,1.0,1.0,False
efficientnet_b3,0.9844643333333334,0.9795619999999999,1.4989165468709549,0.27264058537858166,0.0,0.25,0.86539987182873,1.0978170964929543,0.004902333333333453,3,0.25,1.0,1.0,False
legacy_xception,0.9844643333333334,0.9794243333333332,1.7939092180227802,0.2146851049984678,0.0,0.25,1.0357139699272033,1.7416190191637895,0.0050400000000001555,3,0.25,1.0,1.0,False
resnext50_32x4d,0.9844643333333334,0.9790993333333334,1.6971478929910175,0.23176172384411323,1.0,0.5,0.9798487928729702,1.6183701823027639,0.005364999999999953,3,0.25,1.0,1.0,False
efficientnet_b0,0.9844643333333334,0.9786073333333333,2.746085716468444,0.11096789922731161,0.0,0.25,1.5854533276208427,2.0828246912985793,0.005857000000000112,3,0.25,1.0,1.0,False
mnasnet_100,0.9844643333333334,0.97723,3.695838614867708,0.0660408238834154,0.0,0.25,2.133793419175285,4.003500801420508,0.007234333333333343,3,0.25,1.0,1.0,False
ghostnet_100,0.9844643333333334,0.975845,2.509528065066565,0.1288110098199698,0.0,0.25,1.4488767039051018,1.8420942496832775,0.008619333333333423,3,0.25,1.0,1.0,False
mobilenetv2_100,0.9844643333333334,0.9705893333333333,14.068822403014963,0.005014277978856114,0.0,0.25,8.122638401561726,6.858479726240428,0.013875000000000082,3,0.25,1.0,0.12034267149254674,False
resnet50,0.9844643333333334,0.9704036666666666,11.939621948942605,0.006941897598905776,0.0,0.25,6.893343946244377,6.037216231605074,0.014060666666666832,3,0.25,1.0,0.15966364477483286,False
resnet101,0.9844643333333334,0.9677023333333333,21.252273341237302,0.0022067330653576327,0.0,0.25,12.270005734454864,9.137244471477569,0.016762000000000055,3,0.25,1.0,0.05516832663394082,False
