model,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete
legacy_xception,3,0.902889,0.00019225763964016138,3,0.902889,0.00019225763964016138,3,0.9034443333333333,0.00019283498990930353,3,0.8954416666666667,0.001226057230855613,3,0.8954416666666667,0.001226057230855613,3,0.9406306666666667,0.0016856109673745341,3,0.902889,0.00019225763964016138,3,0.902889,0.00019225763964016138,3,0.9815776666666668,0.0008492916656445645,3,0.8645986666666667,0.00016685422779579245,3,0.8835833333333333,0.00018855326391585328,3,0.893218,0.0005148426944223018,3,0.9645156666666667,0.009765116708638652,3,0.9381413333333333,0.010431270168744238,3,0.23280733333333337,0.09561484780269922,3,20.85,79.54,4.574196,4.059,4.059,1,246.3,raw,,19,455.1666666666667,True
vit_small_patch16_224,3,0.903,0.0,3,0.903,0.0,3,0.9059996666666668,0.003785938897200122,3,0.89426,0.00020872709455170682,3,0.89426,0.00020872709455170682,3,0.9389973333333334,0.0002787836676229935,3,0.903,0.0,3,0.903,0.0,3,0.9807556666666667,0.00013891124264556225,3,0.8646949999999999,1.3597399555105182e-16,3,0.8836180000000001,1.6093476939431654e-05,3,0.8936823333333334,5.940819247659949e-05,3,0.9540919999999998,0.009764108305421444,3,0.9232650000000001,0.01606320195353342,3,0.07249833333333333,0.023534723757319385,3,21.674,82.68,4.250298624,2.374,2.374,1,421.2,raw,,8,292.73333333333335,True
swin_tiny_patch4_window7_224,3,0.903,0.0,3,0.903,0.0,3,0.9086666666666666,0.00491031794625695,3,0.8941933333333333,0.0002898298351331935,3,0.8941933333333333,0.0002898298351331935,3,0.9389083333333333,0.0003868246803570836,3,0.903,0.0,3,0.903,0.0,3,0.980711,0.00019225763964016138,3,0.8646949999999999,1.3597399555105182e-16,3,0.883613,2.25166604983378e-05,3,0.8937013333333333,8.256108849411893e-05,3,0.9665853333333333,0.021462433909818633,3,0.9358513333333334,0.020602867793909983,3,0.060160333333333336,0.042254833762935734,3,27.536,105.04,4.508442624,6.456,6.456,1,154.9,raw,,27,495.2,True
swin_small_patch4_window7_224,3,0.903,0.0,3,0.903,0.0,3,0.9043333333333333,0.0012017580177944953,3,0.8941263333333334,0.0001737824310260749,3,0.8941263333333334,0.0001737824310260749,3,0.9388186666666667,0.0002315174579450311,3,0.903,0.0,3,0.903,0.0,3,0.9806666666666667,0.00011547005383791244,3,0.8646949999999999,1.3597399555105182e-16,3,0.8836076666666667,1.3279056191358649e-05,3,0.8937203333333333,4.9652123150325425e-05,3,0.938911,0.02148379582382963,3,0.901919,0.04225444612108887,3,0.023808666666666662,0.014334974898245664,3,48.853,186.36,8.767782912,11.512,11.512,1,86.9,raw,,17,768.8333333333334,True
mobilenetv3_large_100,3,0.903,0.0,3,0.903,0.0,3,0.9105553333333333,0.004525737103868606,3,0.894126,9.999999999998899e-05,3,0.894126,9.999999999998899e-05,3,0.9388186666666667,0.0001335003121095064,3,0.903,0.0,3,0.903,0.0,3,0.9806666666666667,6.650062656343356e-05,3,0.8646949999999999,1.3597399555105182e-16,3,0.8836080000000001,7.99999999995249e-06,3,0.8937200000000001,2.9000000000001247e-05,3,0.9726013333333334,0.009084916858911433,3,0.9404053333333332,0.015623419354716601,3,0.09239933333333333,0.021892571007840384,3,4.229,16.13,0.224183296,4.403,4.403,1,227.1,raw,,29,276.5,True
legacy_seresnext50_32x4d,3,0.903,0.0,3,0.903,0.0,3,0.9042223333333334,0.0013473293336572528,3,0.8940259999999999,1.3597399555105182e-16,3,0.8940259999999999,1.3597399555105182e-16,3,0.938685,0.0,3,0.903,0.0,3,0.903,0.0,3,0.9806,0.0,3,0.8646949999999999,1.3597399555105182e-16,3,0.8836,0.0,3,0.893749,0.0,3,0.9425370000000001,0.0033045678991359805,3,0.901585,0.012634408533841193,3,0.042195666666666666,0.017011888088431962,3,25.554,97.48,4.2598912,6.04,6.04,1,165.6,raw,,25,480.0666666666666,True
efficientnet_b0,3,0.903,0.0,3,0.903,0.0,3,0.911111,0.0030242109714766633,3,0.8940259999999999,1.3597399555105182e-16,3,0.8940259999999999,1.3597399555105182e-16,3,0.938685,0.0,3,0.903,0.0,3,0.903,0.0,3,0.9806,0.0,3,0.8646949999999999,1.3597399555105182e-16,3,0.8836,0.0,3,0.893749,0.0,3,0.9688546666666666,0.00826751137485361,3,0.9350806666666666,0.014954639224445862,3,0.07854466666666667,0.025574236691118142,3,4.034,15.39,0.398099744,5.307,5.307,1,188.4,raw,,25,290.93333333333334,True
densenet201,3,0.903,0.0,3,0.903,0.0,3,0.9101113333333334,0.004114158034559846,3,0.8940259999999999,1.3597399555105182e-16,3,0.8940259999999999,1.3597399555105182e-16,3,0.938685,0.0,3,0.903,0.0,3,0.903,0.0,3,0.9806,0.0,3,0.8646949999999999,1.3597399555105182e-16,3,0.8836,0.0,3,0.893749,0.0,3,0.9469486666666667,0.0058984664391122325,3,0.8850543333333333,0.01548179428662368,3,0.038045,0.0012856955316092522,3,18.133,69.17,4.338991104,27.659,27.659,1,36.2,raw,,15,609.3666666666667,True
Proposed_HMLA_CAFormerS18,3,0.903,0.0,3,0.903,0.0,3,0.9349999999999999,0.015191112171266431,3,0.8940259999999999,1.3597399555105182e-16,3,0.8940259999999999,1.3597399555105182e-16,3,0.938685,0.0,3,0.903,0.0,3,0.903,0.0,3,0.9806,0.0,3,0.8646949999999999,1.3597399555105182e-16,3,0.8836,0.0,3,0.893749,0.0,3,0.9734856666666666,0.010607972536414925,3,0.9165456666666666,0.02326804721787656,3,0.017138,0.007756616079193298,3,23.897,91.16,3.970553856,44.383,11.096,4,22.5,ema,0.0,19,864.3666666666667,True
convnext_tiny,3,0.903,0.0,3,0.903,0.0,3,0.9265553333333333,0.03055826068894192,3,0.8940259999999999,1.3597399555105182e-16,3,0.8940259999999999,1.3597399555105182e-16,3,0.938685,0.0,3,0.903,0.0,3,0.903,0.0,3,0.9806,0.0,3,0.8646949999999999,1.3597399555105182e-16,3,0.8836,0.0,3,0.893749,0.0,3,0.9521706666666666,0.027974910765422165,3,0.8973513333333333,0.05734212296674526,3,0.034765,0.04772536697606421,3,27.836,106.19,4.469685504,4.03,4.03,1,248.1,raw,,8,407.7333333333333,True
