tag,model,seed,started_at,ended_at,run_duration_sec,train_sec_cumulative,n_epochs
proposed/Proposed_HMLA_CAFormerS18/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T00:56:19,2026-08-05T01:13:46,1047.5,961.1,28
benchmark/resnet50/seed42,resnet50,42,2026-08-05T01:13:49,2026-08-05T01:21:52,482.6,436.4,31
benchmark/resnet101/seed42,resnet101,42,2026-08-05T01:21:55,2026-08-05T01:33:29,694.3,639.1,31
benchmark/densenet121/seed42,densenet121,42,2026-08-05T01:33:32,2026-08-05T01:40:09,397.7,357.8,19
benchmark/densenet201/seed42,densenet201,42,2026-08-05T01:40:12,2026-08-05T01:52:46,753.6,693.3,24
benchmark/vgg16/seed42,vgg16,42,2026-08-05T01:52:48,2026-08-05T02:13:25,1237.1,1121.3,32
benchmark/vgg19/seed42,vgg19,42,2026-08-05T02:13:28,2026-08-05T02:31:41,1093.2,979.9,32
benchmark/inception_v3/seed42,inception_v3,42,2026-08-05T02:31:43,2026-08-05T02:37:22,339.3,300.1,26
benchmark/legacy_xception/seed42,legacy_xception,42,2026-08-05T02:37:25,2026-08-05T02:45:19,474.2,435.2,28
benchmark/resnext50_32x4d/seed42,resnext50_32x4d,42,2026-08-05T02:45:21,2026-08-05T02:53:49,508.1,468.2,30
benchmark/legacy_seresnext50_32x4d/seed42,legacy_seresnext50_32x4d,42,2026-08-05T02:53:51,2026-08-05T03:04:05,614.1,572.8,32
benchmark/mobilenetv3_large_100/seed42,mobilenetv3_large_100,42,2026-08-05T03:04:07,2026-08-05T03:09:14,306.5,272.9,32
benchmark/mobilenetv2_100/seed42,mobilenetv2_100,42,2026-08-05T03:09:16,2026-08-05T03:14:25,309.4,276.8,32
benchmark/efficientnet_b0/seed42,efficientnet_b0,42,2026-08-05T03:14:27,2026-08-05T03:20:13,345.5,312.0,32
benchmark/efficientnet_b3/seed42,efficientnet_b3,42,2026-08-05T03:20:15,2026-08-05T03:28:53,517.7,477.5,30
benchmark/mnasnet_100/seed42,mnasnet_100,42,2026-08-05T03:28:55,2026-08-05T03:33:59,304.2,271.9,32
benchmark/regnety_016/seed42,regnety_016,42,2026-08-05T03:34:02,2026-08-05T03:41:24,442.4,404.5,32
benchmark/ghostnet_100/seed42,ghostnet_100,42,2026-08-05T03:41:26,2026-08-05T03:45:33,247.5,214.6,22
benchmark/convnext_tiny/seed42,convnext_tiny,42,2026-08-05T03:45:36,2026-08-05T03:50:35,299.5,262.3,17
benchmark/convnext_small/seed42,convnext_small,42,2026-08-05T03:50:37,2026-08-05T04:02:33,715.6,668.5,29
benchmark/vit_small_patch16_224/seed42,vit_small_patch16_224,42,2026-08-05T04:02:35,2026-08-05T04:06:13,218.2,185.4,17
benchmark/vit_base_patch16_224/seed42,vit_base_patch16_224,42,2026-08-05T04:06:15,2026-08-05T04:19:42,806.7,750.3,32
benchmark/swin_tiny_patch4_window7_224/seed42,swin_tiny_patch4_window7_224,42,2026-08-05T04:19:44,2026-08-05T04:30:09,624.7,584.5,32
benchmark/swin_small_patch4_window7_224/seed42,swin_small_patch4_window7_224,42,2026-08-05T04:30:11,2026-08-05T04:43:34,803.1,754.9,26
benchmark/deit3_small_patch16_224/seed42,deit3_small_patch16_224,42,2026-08-05T04:43:36,2026-08-05T04:50:10,394.2,357.3,32
benchmark/caformer_s18.sail_in22k_ft_in1k/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T04:50:12,2026-08-05T04:57:51,458.7,421.5,16
proposed/Proposed_HMLA_CAFormerS18/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T04:57:53,2026-08-05T05:09:17,684.5,617.1,20
benchmark/resnet50/seed1234,resnet50,1234,2026-08-05T05:09:19,2026-08-05T05:16:33,433.9,395.6,32
benchmark/resnet101/seed1234,resnet101,1234,2026-08-05T05:16:35,2026-08-05T05:26:32,597.0,552.0,29
benchmark/densenet121/seed1234,densenet121,1234,2026-08-05T05:26:34,2026-08-05T05:35:06,512.2,476.5,32
benchmark/densenet201/seed1234,densenet201,1234,2026-08-05T05:35:08,2026-08-05T05:45:02,594.0,553.0,24
benchmark/vgg16/seed1234,vgg16,1234,2026-08-05T05:45:04,2026-08-05T05:58:24,799.4,717.6,28
benchmark/vgg19/seed1234,vgg19,1234,2026-08-05T05:58:26,2026-08-05T06:13:50,923.6,835.2,29
benchmark/inception_v3/seed1234,inception_v3,1234,2026-08-05T06:13:52,2026-08-05T06:20:07,375.9,337.6,30
benchmark/legacy_xception/seed1234,legacy_xception,1234,2026-08-05T06:20:10,2026-08-05T06:28:52,522.3,485.0,32
