model,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,train_sec_mean,f1_macro_mean,accuracy_mean
Proposed_HMLA_CAFormerS18,23.897,91.16,3.970553856,44.383,11.096,4,22.5,864.3666666666667,0.9844643333333334,0.9882386666666667
swin_small_patch4_window7_224,48.853,186.36,8.767782912,11.512,11.512,1,86.9,768.8333333333334,0.9842896666666666,0.9882386666666667
vgg16,134.347,512.49,15.466258432,6.685,6.685,1,149.6,899.4333333333334,0.9840803333333333,0.9873103333333333
legacy_seresnext50_32x4d,25.554,97.48,4.2598912,6.04,6.04,1,165.6,480.0666666666666,0.984042,0.9879293333333333
regnety_016,10.332,39.41,1.627317616,11.113,11.113,1,90.0,353.59999999999997,0.9836503333333333,0.9873103333333333
convnext_small,49.471,188.72,8.704640256,5.827,5.827,1,171.6,726.5666666666666,0.9835293333333333,0.9876196666666667
swin_tiny_patch4_window7_224,27.536,105.04,4.508442624,6.456,6.456,1,154.9,495.2,0.9833836666666667,0.9870006666666667
vit_base_patch16_224,85.815,327.36,16.866660864,5.024,5.024,1,199.1,764.3000000000001,0.983369,0.9870006666666667
densenet201,18.133,69.17,4.338991104,27.659,27.659,1,36.2,609.3666666666667,0.9826686666666666,0.986072
vit_small_patch16_224,21.674,82.68,4.250298624,2.374,2.374,1,421.2,292.73333333333335,0.9823946666666666,0.9860723333333333
densenet121,6.975,26.61,2.864544256,14.737,14.737,1,67.9,422.1333333333334,0.982316,0.9863816666666666
deit3_small_patch16_224,21.683,82.71,4.250298624,2.814,2.814,1,355.3,283.9666666666667,0.9813633333333334,0.9854533333333334
caformer_s18.sail_in22k_ft_in1k,24.336,92.83,3.894573824,8.744,8.744,1,114.4,577.7333333333333,0.9811803333333334,0.9854533333333334
inception_v3,21.829,83.27,2.845264,7.44,7.44,1,134.4,309.53333333333336,0.981054,0.9848343333333333
convnext_tiny,27.836,106.19,4.469685504,4.03,4.03,1,248.1,407.7333333333333,0.9802566666666667,0.9848343333333333
mobilenetv3_large_100,4.229,16.13,0.224183296,4.403,4.403,1,227.1,276.5,0.9796619999999999,0.9839056666666667
vgg19,139.656,532.75,19.628056576,6.71,6.71,1,149.0,813.5666666666666,0.9796543333333334,0.9839060000000001
efficientnet_b3,10.729,40.93,0.987252112,8.1,8.1,1,123.5,497.3333333333333,0.9795619999999999,0.9839056666666667
legacy_xception,20.85,79.54,4.574196,4.059,4.059,1,246.3,455.1666666666667,0.9794243333333332,0.9839056666666667
resnext50_32x4d,23.023,87.83,4.257376256,4.361,4.361,1,229.3,468.5333333333333,0.9790993333333334,0.9829773333333334
efficientnet_b0,4.034,15.39,0.398099744,5.307,5.307,1,188.4,290.93333333333334,0.9786073333333333,0.9829773333333334
mnasnet_100,3.129,11.94,0.324138752,3.508,3.508,1,285.1,261.43333333333334,0.97723,0.9814296666666666
ghostnet_100,3.928,14.99,0.147020816,7.03,7.03,1,142.2,268.23333333333335,0.975845,0.9808106666666666
mobilenetv2_100,2.251,8.59,0.312940096,3.409,3.409,1,293.4,261.7333333333333,0.9705893333333333,0.9758590000000001
resnet50,23.551,89.84,4.109507584,6.052,6.052,1,165.2,422.5,0.9704036666666666,0.9761683333333333
resnet101,42.543,162.29,7.831964672,11.642,11.642,1,85.9,616.1999999999999,0.9677023333333333,0.9736923333333335
