rank,experiment,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,auc_macro_ovr_mean,auc_macro_ovr_std,ece_mean,ece_std
1,benchmark,legacy_seresnext50_32x4d,3,0.6734722222222222,0.02283064663836584,0.6734722222222222,0.02283064663836584,0.6841568820963255,0.013064322357431648,0.6841568820963255,0.013064322357431764,0.7214928274225568,0.023623426449175734,0.6734722222222222,0.02283064663836584,0.9250712500000001,0.013336098858804655,0.03348186135602494,0.011267363639661535
2,ablation,wo_sampler,3,0.7027777777777778,0.017961829383857708,0.7027777777777778,0.017961829383857843,0.683526964628591,0.026050781188483627,0.6835269646285912,0.026050781188483675,0.6829736514947226,0.040375119961213304,0.7027777777777778,0.017961829383857843,0.9227324305555555,0.020495406777243118,0.0675224190722737,0.02748475688578746
3,benchmark,swin_small_patch4_window7_224,3,0.6635416666666667,0.006773236752920314,0.6635416666666667,0.006773236752920313,0.6819489907491896,0.006827819874486105,0.6819489907491895,0.006827819874486061,0.7214748912115215,0.018053843697650365,0.6635416666666667,0.006773236752920313,0.9160137152777779,0.02447377006972158,0.0637722494479062,0.020357106217502998
4,ablation,wo_lap_gate,3,0.6894444444444444,0.016947290289251266,0.6894444444444444,0.016947290289251182,0.6788960078105001,0.01469446673727581,0.6788960078105001,0.014694466737275801,0.681171028565474,0.028908665398370226,0.6894444444444444,0.016947290289251182,0.9164038281250001,0.01664166373488024,0.0883061138395634,0.019358108279039252
5,ablation,wo_hier,3,0.6861805555555556,0.018820853780767657,0.6861805555555556,0.018820853780767657,0.6764069050916709,0.021425357289384717,0.6764069050916709,0.02142535728938471,0.6911049057773672,0.01379902033791652,0.6861805555555556,0.018820853780767657,0.9062496267361112,0.019096796654067064,0.07905182260088621,0.04248342597410211
6,benchmark,vit_small_patch16_224,3,0.6863194444444445,0.02614507247675585,0.6863194444444445,0.026145072476755862,0.6758929047617915,0.019069889192973956,0.6758929047617915,0.019069889192973956,0.6897568236291215,0.00638504272636324,0.6863194444444445,0.026145072476755862,0.9083357812499999,0.015056253097469857,0.05073155487059718,0.02423602087919003
7,ablation,wo_msf,3,0.6840972222222222,0.03686636747668429,0.6840972222222222,0.036866367476684224,0.6758503149878226,0.026865023545906457,0.6758503149878226,0.026865023545906568,0.6930278081713634,0.003064422456079408,0.6840972222222222,0.036866367476684224,0.9249178819444445,0.006490142736961177,0.07335301866030529,0.02465774103683309
8,ablation,full,3,0.69375,0.009689179961861197,0.69375,0.009689179961861197,0.6750835288709744,0.004700809493576264,0.6750835288709744,0.004700809493576264,0.676375766179194,0.01096052552202899,0.69375,0.009689179961861197,0.9269775260416667,0.00453837127038336,0.08862565077427359,0.020913281672092696
9,proposed,Proposed_HMLA_CAFormerS18,3,0.699375,0.011593895064980441,0.699375,0.011593895064980484,0.6739426666344217,0.022478621528736677,0.6739426666344217,0.02247862152873668,0.6736756768778832,0.03857664149435007,0.699375,0.011593895064980484,0.9204475260416668,0.007261496954589379,0.08329420199410782,0.03603961626339519
10,ablation,wo_two_phase,3,0.7002777777777777,0.017956995954326614,0.7002777777777779,0.01795699595432663,0.6717521770308492,0.013862737653570593,0.6717521770308492,0.013862737653570562,0.6691314588491734,0.009519277191195434,0.7002777777777779,0.01795699595432663,0.9222716666666666,0.003093962699180296,0.12135127768023973,0.004123919102273107
