experiment,model,seed,n_zero_recall_classes,zero_recall_classes
benchmark,caformer_s18-sail_in22k_ft_in1k,1234,0,
benchmark,caformer_s18-sail_in22k_ft_in1k,2024,0,
benchmark,caformer_s18-sail_in22k_ft_in1k,42,1,mango sooty mould
benchmark,convnext_small,1234,1,mango sooty mould
benchmark,convnext_small,2024,1,mango sooty mould
benchmark,convnext_small,42,0,
benchmark,convnext_tiny,1234,1,mango sooty mould
benchmark,convnext_tiny,2024,1,mango sooty mould
benchmark,convnext_tiny,42,0,
benchmark,deit3_small_patch16_224,1234,1,mango sooty mould
benchmark,deit3_small_patch16_224,2024,1,mango sooty mould
benchmark,deit3_small_patch16_224,42,0,
benchmark,densenet121,1234,0,
benchmark,densenet121,2024,0,
benchmark,densenet121,42,1,mango sooty mould
benchmark,densenet201,1234,1,mango sooty mould
benchmark,densenet201,2024,1,mango sooty mould
benchmark,densenet201,42,1,mango sooty mould
benchmark,efficientnet_b0,1234,0,
benchmark,efficientnet_b0,2024,0,
benchmark,efficientnet_b0,42,0,
benchmark,efficientnet_b3,1234,0,
benchmark,efficientnet_b3,2024,0,
benchmark,efficientnet_b3,42,0,
benchmark,ghostnet_100,1234,0,
benchmark,ghostnet_100,2024,0,
benchmark,ghostnet_100,42,0,
benchmark,inception_v3,1234,0,
benchmark,inception_v3,2024,0,
benchmark,inception_v3,42,1,mango sooty mould
benchmark,legacy_seresnext50_32x4d,1234,0,
benchmark,legacy_seresnext50_32x4d,2024,1,mango sooty mould
benchmark,legacy_seresnext50_32x4d,42,0,
benchmark,legacy_xception,1234,0,
benchmark,legacy_xception,2024,1,mango sooty mould
benchmark,legacy_xception,42,1,mango sooty mould
benchmark,mnasnet_100,1234,0,
benchmark,mnasnet_100,2024,0,
benchmark,mnasnet_100,42,0,
benchmark,mobilenetv2_100,1234,0,
benchmark,mobilenetv2_100,2024,1,mango sooty mould
benchmark,mobilenetv2_100,42,1,mango sooty mould
benchmark,mobilenetv3_large_100,1234,1,mango sooty mould
benchmark,mobilenetv3_large_100,2024,0,
benchmark,mobilenetv3_large_100,42,0,
benchmark,regnety_016,1234,0,
benchmark,regnety_016,2024,1,mango sooty mould
benchmark,regnety_016,42,1,mango sooty mould
benchmark,resnet101,1234,0,
benchmark,resnet101,2024,0,
benchmark,resnet101,42,0,
benchmark,resnet50,1234,0,
benchmark,resnet50,2024,0,
benchmark,resnet50,42,1,mango sooty mould
benchmark,resnext50_32x4d,1234,1,mango sooty mould
benchmark,resnext50_32x4d,2024,0,
benchmark,resnext50_32x4d,42,0,
benchmark,swin_small_patch4_window7_224,1234,0,
benchmark,swin_small_patch4_window7_224,2024,1,mango sooty mould
benchmark,swin_small_patch4_window7_224,42,1,mango sooty mould
benchmark,swin_tiny_patch4_window7_224,1234,0,
benchmark,swin_tiny_patch4_window7_224,2024,0,
benchmark,swin_tiny_patch4_window7_224,42,0,
benchmark,vgg16,1234,1,mango sooty mould
benchmark,vgg16,2024,1,mango sooty mould
benchmark,vgg16,42,1,mango sooty mould
benchmark,vgg19,1234,0,
benchmark,vgg19,2024,1,mango sooty mould
benchmark,vgg19,42,1,mango sooty mould
benchmark,vit_base_patch16_224,1234,0,
benchmark,vit_base_patch16_224,2024,0,
benchmark,vit_base_patch16_224,42,0,
benchmark,vit_small_patch16_224,1234,1,mango sooty mould
benchmark,vit_small_patch16_224,2024,1,mango sooty mould
benchmark,vit_small_patch16_224,42,0,
proposed,Proposed_HMLA_CAFormerS18,1234,1,mango sooty mould
proposed,Proposed_HMLA_CAFormerS18,2024,1,mango sooty mould
proposed,Proposed_HMLA_CAFormerS18,42,0,
recipe_matched,caformer_s18-sail_in22k_ft_in1k,1234,1,mango sooty mould
recipe_matched,caformer_s18-sail_in22k_ft_in1k,2024,1,mango sooty mould
recipe_matched,caformer_s18-sail_in22k_ft_in1k,42,1,mango sooty mould
recipe_matched,efficientnet_b3,1234,1,mango sooty mould
recipe_matched,efficientnet_b3,2024,1,mango sooty mould
recipe_matched,efficientnet_b3,42,0,
recipe_matched,legacy_seresnext50_32x4d,1234,1,mango sooty mould
recipe_matched,legacy_seresnext50_32x4d,2024,1,mango sooty mould
recipe_matched,legacy_seresnext50_32x4d,42,1,mango sooty mould
recipe_matched,swin_small_patch4_window7_224,1234,0,
recipe_matched,swin_small_patch4_window7_224,2024,0,
recipe_matched,swin_small_patch4_window7_224,42,0,
recipe_matched,vit_small_patch16_224,1234,1,mango sooty mould
recipe_matched,vit_small_patch16_224,2024,1,mango sooty mould
recipe_matched,vit_small_patch16_224,42,1,mango sooty mould
