method,external_image,internal_image,hamming,cosine
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(117).jpg,multiple leaf dataset/jackfruit leaf/jackfruit leaf spot/leaf_spot_(51).png,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(118).jpg,multiple leaf dataset/jackfruit leaf/jackfruit leaf spot/leaf_spot_(51).png,4.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(162).jpg,multiple leaf dataset/mango leaf/mango die back/mango die back (244).jpg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(163).jpg,multiple leaf dataset/mango leaf/mango die back/mango die back (244).jpg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(284).jpg,multiple leaf dataset/mango leaf/mango healthy/mango healthy (473).jpg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(288).jpg,multiple leaf dataset/mango leaf/mango healthy/mango healthy (351).jpg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(289).jpg,multiple leaf dataset/tomato leaf/tomato healthy/tomato healthy (51).jpeg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(290).jpg,multiple leaf dataset/tomato leaf/tomato healthy/tomato healthy (51).jpeg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(308).jpg,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (493).jpg,5.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(309).jpg,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (493).jpg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(385).jpg,multiple leaf dataset/mango leaf/mango healthy/mango healthy (473).jpg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(389).jpg,multiple leaf dataset/mango leaf/mango healthy/mango healthy (351).jpg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(390).jpg,multiple leaf dataset/tomato leaf/tomato healthy/tomato healthy (51).jpeg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(391).jpg,multiple leaf dataset/tomato leaf/tomato healthy/tomato healthy (51).jpeg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(409).jpg,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (493).jpg,5.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(410).jpg,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (493).jpg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(485).jpg,multiple leaf dataset/jackfruit leaf/jackfruit healthy/healthy_(14).png,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(52).jpg,multiple leaf dataset/jackfruit leaf/jackfruit sooty mold/sooty_mold_(51).png,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(546).jpg,multiple leaf dataset/mango leaf/mango gall midge/mango gall midge (114).jpg,4.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(550).jpg,multiple leaf dataset/mango leaf/mango gall midge/mango gall midge (178).jpg,5.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(684).jpg,multiple leaf dataset/mango leaf/mango gall midge/mango gall midge (394).jpg,6.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(698).jpg,multiple leaf dataset/mango leaf/mango die back/mango die back (244).jpg,5.0,
perceptual_phash,external dataset/MLD24/Anthracnose/Image00001(778).jpg,multiple leaf dataset/jackfruit leaf/jackfruit sooty mold/sooty_mold_(185).png,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(151).jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (293).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(255).jpg,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (43).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(439).jpg,multiple leaf dataset/jackfruit leaf/jackfruit algal/algal_(26).png,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(440).jpg,multiple leaf dataset/jackfruit leaf/jackfruit algal/algal_(26).png,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(444).jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (79).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(445).jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (79).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(517).jpg,multiple leaf dataset/jackfruit leaf/jackfruit algal/algal_(26).png,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(518).jpg,multiple leaf dataset/jackfruit leaf/jackfruit algal/algal_(26).png,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(522).jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (79).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(523).jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (79).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(53).jpg,multiple leaf dataset/jackfruit leaf/jackfruit algal/algal_(26).png,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(54).jpg,multiple leaf dataset/jackfruit leaf/jackfruit algal/algal_(26).png,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(549).jpg,multiple leaf dataset/mango leaf/mango healthy/mango healthy (240).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(550).jpg,multiple leaf dataset/mango leaf/mango healthy/mango healthy (240).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(58).jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (79).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(59).jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (79).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(615).jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (293).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(719).jpg,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (43).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(85).jpg,multiple leaf dataset/mango leaf/mango healthy/mango healthy (240).jpg,6.0,
perceptual_phash,external dataset/MLD24/Die_Back/Image001(86).jpg,multiple leaf dataset/mango leaf/mango healthy/mango healthy (240).jpg,6.0,
perceptual_phash,external dataset/MLD24/Gall_Midge/Image00028.jpg,multiple leaf dataset/mango leaf/mango die back/mango die back (339).jpg,3.0,
perceptual_phash,external dataset/MLD24/Gall_Midge/Image00029.jpg,multiple leaf dataset/mango leaf/mango die back/mango die back (339).jpg,5.0,
perceptual_phash,external dataset/MLD24/Gall_Midge/Image00035(54).jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (100).jpg,5.0,
perceptual_phash,external dataset/MLD24/Gall_Midge/Image00089.jpg,multiple leaf dataset/mango leaf/mango powdery mildew/mango powdery mildew (100).jpg,5.0,
perceptual_phash,external dataset/MLD24/Gall_Midge/Image00170.jpg,multiple leaf dataset/mango leaf/mango healthy/mango healthy (384).jpg,6.0,
perceptual_phash,external dataset/MLD24/Gall_Midge/Image00297.jpg,multiple leaf dataset/jackfruit leaf/jackfruit anthracnose/anthracnose_(94).png,6.0,
perceptual_phash,external dataset/MLD24/Gall_Midge/Image00299.jpg,multiple leaf dataset/tomato leaf/tomato spider mites/tomato spider mites (5).jpg,6.0,
perceptual_dhash,external dataset/MLD24/Anthracnose/Image00001(149).jpg,multiple leaf dataset/tomato leaf/tomato insect damage/tomato insect damage (61).jpg,6.0,
perceptual_dhash,external dataset/MLD24/Anthracnose/Image00001(235).jpg,multiple leaf dataset/jackfruit leaf/jackfruit phyllosticta/phyllosticta_(35).png,5.0,
perceptual_dhash,external dataset/MLD24/Anthracnose/Image00001(284).jpg,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (35).jpg,6.0,
perceptual_dhash,external dataset/MLD24/Anthracnose/Image00001(286).jpg,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (35).jpg,5.0,
perceptual_dhash,external dataset/MLD24/Anthracnose/Image00001(287).jpg,multiple leaf dataset/mango leaf/mango anthracnose/mango anthracnose (35).jpg,6.0,
