split,baseline,comparison,proposed_mean,baseline_mean,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,cohens_dz,cohens_d,mean_diff,n_blocks,wilcoxon_min_possible_p,wilcoxon_p_holm,significant_holm
internal_test,caformer_s18.sail_in22k_ft_in1k,proposed_vs_matched,0.9828083333333333,0.9838503333333333,-0.649614278573834,0.5825844648851294,3.0,1.0,-0.3750549786040276,-0.3089212905479304,-0.0010419999999999874,3,0.25,1.0,False
internal_test,efficientnet_b3,proposed_vs_matched,0.9828083333333333,0.9794903333333332,5.953439790438452,0.02707342934653709,0.0,0.25,3.4372200656138694,0.7325805140180986,0.003318000000000043,3,0.25,1.0,False
internal_test,legacy_seresnext50_32x4d,proposed_vs_matched,0.9828083333333333,0.9837606666666666,-1.014439926810759,0.417131798916573,1.0,0.5,-0.585687164820896,-0.2111661237944715,-0.0009523333333333328,3,0.25,1.0,False
internal_test,swin_small_patch4_window7_224,proposed_vs_matched,0.9828083333333333,0.9813353333333333,1.1521912920697337,0.368370166406549,1.0,0.5,0.6652179526344035,0.39055590321698,0.0014729999999999466,3,0.25,1.0,False
internal_test,vit_small_patch16_224,proposed_vs_matched,0.9828083333333333,0.983186,-0.16280856009479722,0.8856323437440317,1.0,1.0,-0.09399756599710656,-0.1186058705716656,-0.00037766666666672055,3,0.25,1.0,False
internal_test,caformer_s18.sail_in22k_ft_in1k,matched_vs_standard_recipe,0.9838503333333333,0.9805676666666666,1.1101439987384214,0.3825305955320543,1.0,0.5,0.6409419365108753,0.7230875314973078,0.003282666666666656,3,0.25,1.0,False
internal_test,efficientnet_b3,matched_vs_standard_recipe,0.9794903333333332,0.9774746666666667,1.1027542384269455,0.3850834274571722,1.0,0.5,0.6366754564057978,0.3436366574965896,0.002015666666666527,3,0.25,1.0,False
internal_test,legacy_seresnext50_32x4d,matched_vs_standard_recipe,0.9837606666666666,0.986789,-1.3007948942071075,0.3230228412385178,1.0,0.5,-0.7510142823309642,-0.9189224326207728,-0.0030283333333334106,3,0.25,1.0,False
internal_test,swin_small_patch4_window7_224,matched_vs_standard_recipe,0.9813353333333333,0.9846086666666666,-2.463532672016854,0.13274132849708167,0.0,0.25,-1.4223212513463688,-1.1443143557178468,-0.0032733333333332393,3,0.25,1.0,False
internal_test,vit_small_patch16_224,matched_vs_standard_recipe,0.983186,0.981907,0.6311321974455919,0.5924639225217738,2.0,0.75,0.3643843440894525,0.41494663849905006,0.0012790000000000301,3,0.25,1.0,False
external,caformer_s18.sail_in22k_ft_in1k,proposed_vs_matched,0.6817676666666667,0.6530903333333333,1.5908291889028279,0.25262408167541267,1.0,0.5,0.9184656604477618,1.4344221047463515,0.028677333333333332,3,0.25,1.0,False
external,efficientnet_b3,proposed_vs_matched,0.6817676666666667,0.629941,6.943482277201091,0.020117945259612555,0.0,0.25,4.008821361855445,5.938384688826078,0.05182666666666669,3,0.25,1.0,False
external,legacy_seresnext50_32x4d,proposed_vs_matched,0.6817676666666667,0.6400483333333334,1.816368753934464,0.21095993953083206,1.0,0.5,1.048680989031688,1.646540603797789,0.04171933333333322,3,0.25,1.0,False
external,swin_small_patch4_window7_224,proposed_vs_matched,0.6817676666666667,0.684812,-2.0416641498550097,0.1779498693475495,0.0,0.25,-1.1787553465135983,-0.8415502701972751,-0.0030443333333333156,3,0.25,1.0,False
external,vit_small_patch16_224,proposed_vs_matched,0.6817676666666667,0.626391,2.952623457498515,0.0981143277709135,0.0,0.25,1.7046979480023714,2.659454155845995,0.05537666666666663,3,0.25,1.0,False
external,caformer_s18.sail_in22k_ft_in1k,matched_vs_standard_recipe,0.6530903333333333,0.6543426666666666,-0.06126853820355378,0.956717201229034,3.0,1.0,-0.035373407024676645,-0.06074604309603206,-0.0012523333333332998,3,0.25,1.0,False
external,efficientnet_b3,matched_vs_standard_recipe,0.629941,0.6617820000000001,-15.946521369355647,0.003909448348602313,0.0,0.25,-9.206728405235603,-2.8217415094607627,-0.03184100000000012,3,0.25,1.0,False
external,legacy_seresnext50_32x4d,matched_vs_standard_recipe,0.6400483333333334,0.6911866666666667,-1.6682736854667404,0.23719964706692054,1.0,0.5,-0.9631782613861917,-1.7690345500112459,-0.051138333333333286,3,0.25,1.0,False
external,swin_small_patch4_window7_224,matched_vs_standard_recipe,0.684812,0.6973566666666665,-0.8778357409978061,0.4726163155872249,1.0,0.5,-0.506818701369358,-0.7997878083664385,-0.012544666666666537,3,0.25,1.0,False
external,vit_small_patch16_224,matched_vs_standard_recipe,0.626391,0.660942,-1.1358576088735053,0.3737978461414578,1.0,0.5,-0.655787696244203,-1.2681840291188433,-0.034551,3,0.25,1.0,False
