class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.979375,0.0,0.0
cashew healthy,0.0,0.0,0.9927083333333333,0.0,0.0
jackfruit algal,0.0,0.0,0.9952083333333334,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9929166666666667,0.0,0.0
jackfruit healthy,0.0,0.0,0.9985416666666667,0.0,0.0
jackfruit leaf spot,0.0,0.0,1.0,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.996875,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9716666666666667,0.0,0.0
mango anthracnose,0.9123252858958069,0.8975,0.98275,0.9048519218651544,800.0
mango die back,1.0,0.9825,1.0,0.9911727616645649,800.0
mango gall midge,0.6783625730994152,0.725,0.93125,0.7009063444108762,800.0
mango healthy,0.9361430395913155,0.91625,0.9875,0.9260897030953885,800.0
mango powdery mildew,0.4938474159146842,0.7525,0.84575,0.5963348192174344,800.0
mango sooty mould,0.0,0.0,0.996,0.0,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,0.9995833333333334,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.999375,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
