class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9875,0.0,0.0
cashew healthy,0.0,0.0,0.9939583333333334,0.0,0.0
jackfruit algal,0.0,0.0,0.9725,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9935416666666667,0.0,0.0
jackfruit healthy,0.0,0.0,0.9991666666666666,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9991666666666666,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.995,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.96125,0.0,0.0
mango anthracnose,0.9440832249674902,0.9075,0.98925,0.9254302103250478,800.0
mango die back,1.0,0.9925,1.0,0.9962358845671268,800.0
mango gall midge,0.6478527607361964,0.66,0.92825,0.6538699690402476,800.0
mango healthy,0.8946731234866828,0.92375,0.97825,0.9089790897908979,800.0
mango powdery mildew,0.5240847784200385,0.68,0.8765,0.5919477693144722,800.0
mango sooty mould,0.03896103896103896,0.00375,0.9815,0.0068415051311288486,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,0.999375,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,0.9997916666666666,0.0,0.0
tomato insect damage,0.0,0.0,0.9985416666666667,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
