class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.985,0.0,0.0
cashew healthy,0.0,0.0,0.9897916666666666,0.0,0.0
jackfruit algal,0.0,0.0,0.9625,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9945833333333334,0.0,0.0
jackfruit healthy,0.0,0.0,1.0,0.0,0.0
jackfruit leaf spot,0.0,0.0,1.0,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9979166666666667,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.974375,0.0,0.0
mango anthracnose,0.8205666316894019,0.9775,0.95725,0.8921848260125499,800.0
mango die back,1.0,0.9925,1.0,0.9962358845671268,800.0
mango gall midge,0.641914191419142,0.48625,0.94575,0.5533428165007113,800.0
mango healthy,0.9514687100893997,0.93125,0.9905,0.9412507896399241,800.0
mango powdery mildew,0.514052583862194,0.70875,0.866,0.5959012086179716,800.0
mango sooty mould,0.21875,0.0175,0.9875,0.032407407407407406,800.0
tomato bacterial spot,0.0,0.0,0.9997916666666666,0.0,0.0
tomato blight,0.0,0.0,0.9975,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.995,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
