class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9952083333333334,0.0,0.0
cashew healthy,0.0,0.0,0.99125,0.0,0.0
jackfruit algal,0.0,0.0,0.9745833333333334,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.995625,0.0,0.0
jackfruit healthy,0.0,0.0,0.995,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.999375,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.999375,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9602083333333333,0.0,0.0
mango anthracnose,0.874390243902439,0.89625,0.97425,0.8851851851851852,800.0
mango die back,1.0,0.9925,1.0,0.9962358845671268,800.0
mango gall midge,0.6125874125874126,0.5475,0.93075,0.5782178217821782,800.0
mango healthy,0.8747016706443914,0.91625,0.97375,0.894993894993895,800.0
mango powdery mildew,0.531786941580756,0.77375,0.86375,0.630346232179226,800.0
mango sooty mould,0.0,0.0,0.9985,0.0,800.0
tomato bacterial spot,0.0,0.0,0.9997916666666666,0.0,0.0
tomato blight,0.0,0.0,0.9997916666666666,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9933333333333333,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
