class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.98625,0.0,0.0
cashew healthy,0.0,0.0,0.9989583333333333,0.0,0.0
jackfruit algal,0.0,0.0,0.9989583333333333,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.998125,0.0,0.0
jackfruit healthy,0.0,0.0,0.9997916666666666,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9991666666666666,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9947916666666666,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9583333333333334,0.0,0.0
mango anthracnose,0.7786885245901639,0.95,0.946,0.8558558558558559,800.0
mango die back,1.0,0.98875,1.0,0.994343180389692,800.0
mango gall midge,0.7402799377916018,0.595,0.95825,0.6597366597366597,800.0
mango healthy,0.844994617868676,0.98125,0.964,0.9080393290919607,800.0
mango powdery mildew,0.4806949806949807,0.6225,0.8655,0.5424836601307189,800.0
mango sooty mould,0.0,0.0,0.98675,0.0,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9883333333333333,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.9997916666666666,0.0,0.0
