class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9935416666666667,0.0,0.0
cashew healthy,0.0,0.0,0.9995833333333334,0.0,0.0
jackfruit algal,0.0,0.0,0.9910416666666667,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9941666666666666,0.0,0.0
jackfruit healthy,0.0,0.0,0.9997916666666666,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.998125,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.993125,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.979375,0.0,0.0
mango anthracnose,0.8402234636871508,0.94,0.96425,0.8873156342182891,800.0
mango die back,1.0,0.995,1.0,0.9974937343358395,800.0
mango gall midge,0.6801346801346801,0.505,0.9525,0.5796269727403156,800.0
mango healthy,0.7561904761904762,0.9925,0.936,0.8583783783783784,800.0
mango powdery mildew,0.5013648771610555,0.68875,0.863,0.5803054239073197,800.0
mango sooty mould,0.1553398058252427,0.02,0.97825,0.035437430786267994,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,0.999375,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9970833333333333,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
