class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9652083333333333,0.0,0.0
cashew healthy,0.0,0.0,0.9891666666666666,0.0,0.0
jackfruit algal,0.0,0.0,0.998125,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9908333333333333,0.0,0.0
jackfruit healthy,0.0,0.0,0.981875,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9941666666666666,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9947916666666666,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9197916666666667,0.0,0.0
mango anthracnose,0.99002849002849,0.86875,0.99825,0.9254327563249002,800.0
mango die back,1.0,0.59125,1.0,0.7431264728986646,800.0
mango gall midge,0.7172177879133409,0.78625,0.938,0.7501490757304711,800.0
mango healthy,0.9365325077399381,0.75625,0.98975,0.8367911479944675,800.0
mango powdery mildew,0.42047531992687387,0.575,0.8415,0.4857444561774023,800.0
mango sooty mould,0.0,0.0,0.99275,0.0,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,0.9995833333333334,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9820833333333333,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.9804166666666667,0.0,0.0
