class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9895833333333334,0.0,0.0
cashew healthy,0.0,0.0,0.9660416666666667,0.0,0.0
jackfruit algal,0.0,0.0,0.999375,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9975,0.0,0.0
jackfruit healthy,0.0,0.0,0.9933333333333333,0.0,0.0
jackfruit leaf spot,0.0,0.0,1.0,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9841666666666666,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9135416666666667,0.0,0.0
mango anthracnose,0.98068669527897,0.57125,0.99775,0.721958925750395,800.0
mango die back,1.0,0.905,1.0,0.9501312335958005,800.0
mango gall midge,0.6752411575562701,0.7875,0.92425,0.727062896710906,800.0
mango healthy,0.9614767255216693,0.74875,0.994,0.8418833450456782,800.0
mango powdery mildew,0.47023809523809523,0.69125,0.84425,0.5597165991902834,800.0
mango sooty mould,0.0,0.0,0.9995,0.0,800.0
tomato bacterial spot,0.0,0.0,0.9985416666666667,0.0,0.0
tomato blight,0.0,0.0,0.9995833333333334,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,0.9952083333333334,0.0,0.0
tomato insect damage,0.0,0.0,0.990625,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.99,0.0,0.0
