class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9691666666666666,0.0,0.0
cashew healthy,0.0,0.0,0.98875,0.0,0.0
jackfruit algal,0.0,0.0,0.98125,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9927083333333333,0.0,0.0
jackfruit healthy,0.0,0.0,0.99625,0.0,0.0
jackfruit leaf spot,0.0,0.0,1.0,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9952083333333334,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.898125,0.0,0.0
mango anthracnose,0.9150246305418719,0.92875,0.98275,0.9218362282878412,800.0
mango die back,1.0,0.9875,1.0,0.9937106918238994,800.0
mango gall midge,0.7488721804511278,0.6225,0.95825,0.6798634812286689,800.0
mango healthy,0.8864516129032258,0.85875,0.978,0.8723809523809524,800.0
mango powdery mildew,0.6305970149253731,0.63375,0.92575,0.6321695760598504,800.0
mango sooty mould,0.15384615384615385,0.0025,0.99725,0.004920049200492005,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,0.9995833333333334,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.989375,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.9935416666666667,0.0,0.0
