class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9435416666666666,0.0,0.0
cashew healthy,0.0,0.0,0.970625,0.0,0.0
jackfruit algal,0.0,0.0,0.9997916666666666,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.98125,0.0,0.0
jackfruit healthy,0.0,0.0,0.9972916666666667,0.0,0.0
jackfruit leaf spot,0.0,0.0,1.0,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.985625,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9345833333333333,0.0,0.0
mango anthracnose,0.8899858956276445,0.78875,0.9805,0.8363154406891982,800.0
mango die back,1.0,0.835,1.0,0.9100817438692098,800.0
mango gall midge,0.7759856630824373,0.54125,0.96875,0.6377025036818851,800.0
mango healthy,0.9310850439882697,0.79375,0.98825,0.8569500674763832,800.0
mango powdery mildew,0.4925634295713036,0.70375,0.855,0.5795162120432321,800.0
mango sooty mould,0.0,0.0,0.99925,0.0,800.0
tomato bacterial spot,0.0,0.0,0.9997916666666666,0.0,0.0
tomato blight,0.0,0.0,0.9935416666666667,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,1.0,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.9779166666666667,0.0,0.0
