class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9279166666666666,0.0,0.0
cashew healthy,0.0,0.0,0.9839583333333334,0.0,0.0
jackfruit algal,0.0,0.0,0.9702083333333333,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9802083333333333,0.0,0.0
jackfruit healthy,0.0,0.0,0.9983333333333333,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9997916666666666,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9916666666666667,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.933125,0.0,0.0
mango anthracnose,0.9452662721893491,0.79875,0.99075,0.8658536585365854,800.0
mango die back,1.0,0.8675,1.0,0.92904953145917,800.0
mango gall midge,0.8061002178649237,0.4625,0.97775,0.5877680698967435,800.0
mango healthy,0.9402777777777778,0.84625,0.98925,0.8907894736842106,800.0
mango powdery mildew,0.43532818532818535,0.56375,0.85375,0.4912854030501089,800.0
mango sooty mould,0.06666666666666667,0.00125,0.9965,0.00245398773006135,800.0
tomato bacterial spot,0.0,0.0,0.9997916666666666,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9970833333333333,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.9679166666666666,0.0,0.0
