class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9802083333333333,0.0,0.0
cashew healthy,0.0,0.0,0.9772916666666667,0.0,0.0
jackfruit algal,0.0,0.0,0.9972916666666667,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9975,0.0,0.0
jackfruit healthy,0.0,0.0,0.99875,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9991666666666666,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9497916666666667,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9779166666666667,0.0,0.0
mango anthracnose,0.7154929577464789,0.9525,0.92425,0.8171581769436997,800.0
mango die back,1.0,0.76375,1.0,0.8660524450744153,800.0
mango gall midge,0.7588028169014085,0.53875,0.96575,0.6301169590643275,800.0
mango healthy,0.9114249037227214,0.8875,0.98275,0.8993033565547816,800.0
mango powdery mildew,0.4635514018691589,0.62,0.8565,0.5304812834224599,800.0
mango sooty mould,0.05063291139240506,0.005,0.98125,0.009101251422070534,800.0
tomato bacterial spot,0.0,0.0,0.9991666666666666,0.0,0.0
tomato blight,0.0,0.0,0.9997916666666666,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,0.9991666666666666,0.0,0.0
tomato insect damage,0.0,0.0,0.993125,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
