baseline,proposed_mean,baseline_mean,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,cohens_dz,cohens_d,mean_diff,n_blocks,wilcoxon_min_possible_p,wilcoxon_p_holm,paired_t_p_holm,significant_holm
vgg19,0.9828083333333333,0.9868753333333333,-2.550679913269416,0.12543097977034112,0.0,0.25,-1.4726357345426686,-1.204062272195504,-0.004067000000000043,3,0.25,1.0,1.0,False
legacy_seresnext50_32x4d,0.9828083333333333,0.986789,-1.6568259352255772,0.23940148588018495,0.0,0.25,-0.9565688997028404,-1.2468758521684986,-0.003980666666666743,3,0.25,1.0,1.0,False
swin_small_patch4_window7_224,0.9828083333333333,0.9846086666666666,-1.4804414459987822,0.27690429407060146,0.0,0.25,-0.8547332673668757,-0.48767074698563645,-0.0018003333333332927,3,0.25,1.0,1.0,False
swin_tiny_patch4_window7_224,0.9828083333333333,0.9842723333333333,-0.5706138530519419,0.625824984066059,3.0,1.0,-0.3294440616628682,-0.4193363583815062,-0.0014640000000000208,3,0.25,1.0,1.0,False
caformer_s18.sail_in22k_ft_in1k [matched],0.9828083333333333,0.9838503333333333,-0.649614278573834,0.5825844648851294,3.0,1.0,-0.3750549786040276,-0.3089212905479304,-0.0010419999999999874,3,0.25,1.0,1.0,False
densenet121,0.9828083333333333,0.9838156666666666,-0.2875883953076837,0.8007229615591511,3.0,1.0,-0.1660392374467037,-0.2757503516581691,-0.00100733333333336,3,0.25,1.0,1.0,False
legacy_seresnext50_32x4d [matched],0.9828083333333333,0.9837606666666666,-1.014439926810759,0.417131798916573,1.0,0.5,-0.585687164820896,-0.2111661237944715,-0.0009523333333333328,3,0.25,1.0,1.0,False
densenet201,0.9828083333333333,0.9834423333333332,-0.3276087117395182,0.7743218942080743,2.0,0.75,-0.18914497791167734,-0.1955863021108504,-0.0006339999999999124,3,0.25,1.0,1.0,False
inception_v3,0.9828083333333333,0.9833500000000001,-0.23921855161784492,0.8332161842928866,2.0,0.75,-0.13811289517171516,-0.16797720910784414,-0.0005416666666667735,3,0.25,1.0,1.0,False
vit_small_patch16_224 [matched],0.9828083333333333,0.983186,-0.16280856009479722,0.8856323437440317,1.0,1.0,-0.09399756599710656,-0.1186058705716656,-0.00037766666666672055,3,0.25,1.0,1.0,False
resnext50_32x4d,0.9828083333333333,0.9821446666666667,0.3057995499381715,0.788651595783883,3.0,1.0,0.17655345247486973,0.19643687545689886,0.000663666666666618,3,0.25,1.0,1.0,False
vit_small_patch16_224,0.9828083333333333,0.981907,0.4168805380075023,0.7172498206975242,2.0,0.75,0.24068609083854745,0.20660544968221373,0.0009013333333333096,3,0.25,1.0,1.0,False
vgg16,0.9828083333333333,0.9813936666666666,2.1070739412316972,0.16968111645705924,0.0,0.25,1.2165197071725662,0.2979820145467593,0.0014146666666666752,3,0.25,1.0,1.0,False
swin_small_patch4_window7_224 [matched],0.9828083333333333,0.9813353333333333,1.1521912920697337,0.368370166406549,1.0,0.5,0.6652179526344035,0.39055590321698,0.0014729999999999466,3,0.25,1.0,1.0,False
regnety_016,0.9828083333333333,0.9811433333333333,0.4928281286414368,0.6709268028491087,3.0,1.0,0.28453445273535305,0.2838096154281618,0.0016650000000000276,3,0.25,1.0,1.0,False
vit_base_patch16_224,0.9828083333333333,0.9808546666666667,1.8672574806677689,0.20283070978418696,0.0,0.25,1.0780616091098787,0.4846227558472353,0.0019536666666666314,3,0.25,1.0,1.0,False
caformer_s18.sail_in22k_ft_in1k,0.9828083333333333,0.9805676666666666,1.1744614462301197,0.3611166718144284,1.0,0.5,0.6780756321337968,0.4167787680620871,0.0022406666666666686,3,0.25,1.0,1.0,False
efficientnet_b0,0.9828083333333333,0.980347,1.082731503462467,0.3920986137544803,1.0,0.5,0.6251153249841435,0.3851346903102906,0.0024613333333333154,3,0.25,1.0,1.0,False
convnext_tiny,0.9828083333333333,0.9802983333333333,2.4410695350479186,0.1347217317346251,0.0,0.25,1.4093521531705102,0.6301775955446604,0.0025100000000000122,3,0.25,1.0,1.0,False
convnext_small,0.9828083333333333,0.9801856666666667,1.1817201425019785,0.3587886125547862,1.0,0.5,0.6822664423803203,0.4423249712803666,0.002622666666666551,3,0.25,1.0,1.0,False
legacy_xception,0.9828083333333333,0.9800206666666668,2.0102422757165246,0.18211673137166193,0.0,0.25,1.1606139190213014,0.8006532502563093,0.0027876666666665217,3,0.25,1.0,1.0,False
efficientnet_b3 [matched],0.9828083333333333,0.9794903333333332,5.953439790438452,0.02707342934653709,0.0,0.25,3.4372200656138694,0.7325805140180986,0.003318000000000043,3,0.25,1.0,0.7580560217030385,False
deit3_small_patch16_224,0.9828083333333333,0.9786239999999999,1.42985021558095,0.2890162937933167,1.0,0.5,0.825524406866506,1.1964426803700101,0.0041843333333333455,3,0.25,1.0,1.0,False
mobilenetv3_large_100,0.9828083333333333,0.9785729999999999,1.472286072203338,0.2788131158858995,1.0,0.5,0.8500247601107339,1.3118035379161088,0.004235333333333369,3,0.25,1.0,1.0,False
efficientnet_b3,0.9828083333333333,0.9774746666666667,3.4773620194757022,0.07367609698439084,0.0,0.25,2.0076558980140775,0.9206469535257097,0.00533366666666657,3,0.25,1.0,1.0,False
mnasnet_100,0.9828083333333333,0.9765766666666668,5.438350605079848,0.03218799988236191,0.0,0.25,3.1398331857904145,1.5080102812046041,0.006231666666666524,3,0.25,1.0,0.8690759968237715,False
ghostnet_100,0.9828083333333333,0.9750169999999999,1.9858088145539852,0.18544837358476335,0.0,0.25,1.146507253641875,1.92190312764647,0.007791333333333372,3,0.25,1.0,1.0,False
