variant,group,internal_delta,fully_paired,external_delta
full,reference,,True,
wo_beta_calib,recipe,0.004382999999999915,True,-0.00038800000000005497
wo_ema,recipe,-0.00218700000000005,True,0.005602333333333265
wo_hier,architecture,-0.001575333333333484,True,0.04011766666666661
wo_label_smoothing,recipe,0.0015446666666665276,True,0.01603433333333326
wo_lap,architecture,0.0017556666666665999,True,0.03852266666666648
wo_lap_gate,architecture,3.0999999999892225e-05,True,0.05041866666666661
wo_llrd,recipe,0.0013966666666666017,True,0.006513999999999909
wo_mixstyle,architecture,0.0008786666666665832,True,0.03369533333333319
wo_mixup,recipe,0.0033796666666665587,True,0.007907666666666535
wo_mixup_cooldown,recipe,0.0007369999999999877,True,0.01938799999999996
wo_msf,architecture,0.002406999999999937,True,0.01572233333333317
wo_pretrained,recipe,-0.06798400000000004,True,-0.27010033333333344
wo_random_erasing,recipe,0.00283466666666643,True,0.027656333333333283
wo_sampler,recipe,0.0033166666666666345,True,0.013262999999999914
wo_tta,recipe,0.0014263333333333073,True,-0.005097666666666778
wo_two_phase,recipe,0.001351666666666529,True,0.01769766666666661
