variant,group,f1_macro_mean,f1_macro_std,n_seeds,fully_paired,n_paired_blocks,delta_vs_full,wilcoxon_p,wilcoxon_min_possible_p,cohens_d,cohens_dz,wilcoxon_p_holm,significant_holm
wo_lap_gate,architecture,0.684899,0.00805527584878381,3,True,3.0,0.05041866666666661,0.25,0.25,-2.847279905796146,-1.650342748036325,1.0,False
wo_hier,architecture,0.674598,0.01808985547205949,3,True,3.0,0.04011766666666661,0.25,0.25,-1.9023178455504128,-1.4672657116331338,1.0,False
wo_lap,architecture,0.6730029999999999,0.008182425251720872,3,True,3.0,0.03852266666666648,0.25,0.25,-2.171908030515361,-1.2201474576802658,1.0,False
wo_mixstyle,architecture,0.6681756666666666,0.004154225840434485,3,True,3.0,0.03369533333333319,0.25,0.25,-1.9795241255759974,-1.5631811951056438,1.0,False
wo_random_erasing,recipe,0.6621366666666667,0.024857957646060403,3,True,3.0,0.027656333333333283,0.25,0.25,-1.1385193734992725,-2.3250891012486745,1.0,False
wo_mixup_cooldown,recipe,0.6538683333333334,0.014008324180048513,3,True,3.0,0.01938799999999996,0.25,0.25,-0.9955872520256193,-1.1555057171240288,1.0,False
wo_two_phase,recipe,0.652178,0.011279791531761537,3,True,3.0,0.01769766666666661,0.25,0.25,-0.9531773692692435,-1.25337438558746,1.0,False
wo_label_smoothing,recipe,0.6505146666666667,0.02259012993174966,3,True,3.0,0.01603433333333326,0.75,0.25,-0.69240043864122,-0.3573296545295806,1.0,False
wo_msf,architecture,0.6502026666666666,0.023094225302731714,3,True,3.0,0.01572233333333317,0.25,0.25,-0.6717540478122909,-0.9189029035051641,1.0,False
wo_sampler,recipe,0.6477433333333333,0.013999016405924162,3,True,3.0,0.013262999999999914,0.5,0.25,-0.6811813235908882,-0.5119164988951027,1.0,False
wo_mixup,recipe,0.642388,0.06169710602613385,3,True,3.0,0.007907666666666535,0.75,0.25,-0.1691935740614006,-0.11702676946271678,1.0,False
wo_llrd,recipe,0.6409943333333333,0.05213242521054752,3,True,3.0,0.006513999999999909,1.0,0.25,-0.16085115699758773,-0.0965472244781418,1.0,False
wo_ema,recipe,0.6400826666666667,0.03563183414214501,3,True,3.0,0.005602333333333265,0.75,0.25,-0.18511324375611193,-0.46655390820261794,1.0,False
full,reference,0.6344803333333334,0.02371149574222032,3,True,,,,,,,,False
wo_beta_calib,recipe,0.6340923333333334,0.027292699286317137,3,True,3.0,-0.00038800000000005497,1.0,0.25,0.015177069384906462,0.014390815875005044,1.0,False
wo_tta,recipe,0.6293826666666666,0.03793763124304587,3,True,3.0,-0.005097666666666778,0.75,0.25,0.16114200177746105,0.3519606508115926,1.0,False
wo_pretrained,recipe,0.36438,0.016424325587371908,3,True,3.0,-0.27010033333333344,0.25,0.25,13.242810087433828,7.15111691719778,1.0,False
