variant,group,f1_macro_mean,f1_macro_std,n_seeds,fully_paired,n_paired_blocks,delta_vs_full,wilcoxon_p,wilcoxon_min_possible_p,cohens_d,cohens_dz,wilcoxon_p_holm,significant_holm
wo_beta_calib,recipe,0.988159,0.0028085880794449427,3,True,3.0,0.004382999999999915,0.25,0.25,-1.2660773589941527,-2.5001473268431362,1.0,False
wo_mixup,recipe,0.9871556666666667,0.0022613748767803758,3,True,3.0,0.0033796666666665587,0.25,0.25,-1.0381839583966077,-1.5256036120980818,1.0,False
wo_sampler,recipe,0.9870926666666667,0.0033650850410254394,3,True,3.0,0.0033166666666666345,0.25,0.25,-0.8959911921760331,-1.7116619736041234,1.0,False
wo_random_erasing,recipe,0.9866106666666665,0.006107803396748579,3,True,3.0,0.00283466666666643,0.25,0.25,-0.548658796287352,-0.8651934524598095,1.0,False
wo_msf,architecture,0.986183,0.0005807486547552576,3,True,3.0,0.002406999999999937,0.5,0.25,-0.8400937654929165,-0.6672860156328353,1.0,False
wo_lap,architecture,0.9855316666666667,0.001220414820187518,3,True,3.0,0.0017556666666665999,0.5,0.25,-0.5923336679829523,-0.5943326968556105,1.0,False
wo_label_smoothing,recipe,0.9853206666666666,0.003680470395660504,3,True,3.0,0.0015446666666665276,0.25,0.25,-0.40133509701470316,-3.857024958793059,1.0,False
wo_tta,recipe,0.9852023333333334,0.003548427304219893,3,True,3.0,0.0014263333333333073,0.5,0.25,-0.3767078695781008,-0.4892381588223332,1.0,False
wo_llrd,recipe,0.9851726666666667,0.003532571348654352,3,True,3.0,0.0013966666666666017,0.5,0.25,-0.36959697759296506,-0.9448674548703785,1.0,False
wo_two_phase,recipe,0.9851276666666666,0.0063944812403613745,3,True,3.0,0.001351666666666529,0.5,0.25,-0.2532562121679297,-0.5259466147414001,1.0,False
wo_mixstyle,architecture,0.9846546666666667,0.002866085541872976,3,True,3.0,0.0008786666666665832,0.5,0.25,-0.252102382142529,-0.5805375861329044,1.0,False
wo_mixup_cooldown,recipe,0.9845130000000001,0.0023661088309711916,3,True,3.0,0.0007369999999999877,1.0,0.25,-0.2238506788349413,-0.20341678989364198,1.0,False
wo_lap_gate,architecture,0.983807,0.0032461169110184203,3,True,3.0,3.0999999999892225e-05,1.0,0.25,-0.008497417526735072,-0.029502770378046154,1.0,False
full,reference,0.9837760000000001,0.004010108851390458,3,True,,,,,,,,False
wo_hier,architecture,0.9822006666666666,0.003654272202960947,3,True,3.0,-0.001575333333333484,0.75,0.25,0.41063674935101163,0.47925412352747804,1.0,False
wo_ema,recipe,0.981589,0.006133297563301486,3,True,3.0,-0.00218700000000005,0.5,0.25,0.42206900827812005,0.7631401849286263,1.0,False
wo_pretrained,recipe,0.915792,0.007960305961456539,3,True,3.0,-0.06798400000000004,0.25,0.25,10.786529779191488,17.034710647974094,1.0,False
