model,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,train_sec_mean,f1_macro_mean,accuracy_mean
vgg19,139.656,532.75,19.628056576,7.08,7.08,1,141.2,1887.2333333333333,0.9868753333333333,0.9897863333333333
legacy_seresnext50_32x4d,25.554,97.48,4.2598912,10.244,10.244,1,97.6,1122.2333333333333,0.986789,0.990096
swin_small_patch4_window7_224,48.853,186.36,8.767782912,19.666,19.666,1,50.8,1821.0,0.9846086666666666,0.9885483333333333
swin_tiny_patch4_window7_224,27.536,105.04,4.508442624,10.251,10.251,1,97.6,1129.4333333333334,0.9842723333333333,0.9882386666666667
caformer_s18.sail_in22k_ft_in1k [matched],24.336,92.83,3.894573824,37.02,9.255,4,27.0,1764.2,0.9838503333333333,0.9879293333333333
densenet121,6.975,26.61,2.864544256,21.981,21.981,1,45.5,939.9333333333334,0.9838156666666666,0.9873103333333333
legacy_seresnext50_32x4d [matched],25.554,97.48,4.2598912,51.907,12.977,4,19.3,1000.6333333333333,0.9837606666666666,0.9876196666666667
densenet201,18.133,69.17,4.338991104,17.854,17.854,1,56.0,1458.3666666666668,0.9834423333333332,0.9873103333333333
inception_v3,21.829,83.27,2.845264,9.857,9.857,1,101.4,668.6333333333333,0.9833500000000001,0.9870006666666665
vit_small_patch16_224 [matched],21.674,82.68,4.250298624,13.829,3.457,4,72.3,635.3333333333334,0.983186,0.9873103333333333
Proposed_HMLA_CAFormerS18,23.897,91.16,3.970553856,45.502,11.375,4,22.0,2123.433333333333,0.9828083333333333,0.9870006666666667
resnext50_32x4d,23.023,87.83,4.257376256,6.57,6.57,1,152.2,841.6,0.9821446666666667,0.9857626666666666
vit_small_patch16_224,21.674,82.68,4.250298624,4.101,4.101,1,243.8,642.0333333333334,0.981907,0.9857630000000001
vgg16,134.347,512.49,15.466258432,18.391,18.391,1,54.4,6059.333333333335,0.9813936666666666,0.9854533333333334
swin_small_patch4_window7_224 [matched],48.853,186.36,8.767782912,79.04,19.76,4,12.7,1483.0333333333335,0.9813353333333333,0.9857626666666666
regnety_016,10.332,39.41,1.627317616,16.169,16.169,1,61.8,655.7333333333333,0.9811433333333333,0.9848339999999999
vit_base_patch16_224,85.815,327.36,16.866660864,8.117,8.117,1,123.2,1354.4666666666665,0.9808546666666667,0.984525
caformer_s18.sail_in22k_ft_in1k,24.336,92.83,3.894573824,10.602,10.602,1,94.3,1332.9333333333332,0.9805676666666666,0.985144
efficientnet_b0,4.034,15.39,0.398099744,12.962,12.962,1,77.2,529.8,0.980347,0.984525
convnext_tiny,27.836,106.19,4.469685504,5.582,5.582,1,179.2,606.3333333333334,0.9802983333333333,0.9845246666666667
convnext_small,49.471,188.72,8.704640256,10.224,10.224,1,97.8,1198.3333333333333,0.9801856666666667,0.9839056666666667
legacy_xception,20.85,79.54,4.574196,4.712,4.712,1,212.2,873.3666666666667,0.9800206666666668,0.984525
efficientnet_b3 [matched],10.729,40.93,0.987252112,61.087,15.272,4,16.4,1186.0333333333333,0.9794903333333332,0.9842153333333333
deit3_small_patch16_224,21.683,82.71,4.250298624,6.18,6.18,1,161.8,587.4,0.9786239999999999,0.9829773333333334
mobilenetv3_large_100,4.229,16.13,0.224183296,9.962,9.962,1,100.4,513.6333333333333,0.9785729999999999,0.9829773333333334
efficientnet_b3,10.729,40.93,0.987252112,20.767,20.767,1,48.2,774.6333333333333,0.9774746666666667,0.982049
mnasnet_100,3.129,11.94,0.324138752,5.516,5.516,1,181.3,488.1666666666667,0.9765766666666668,0.9808106666666667
ghostnet_100,3.928,14.99,0.147020816,10.109,10.109,1,98.9,492.90000000000003,0.9750169999999999,0.9801916666666667
resnet50,23.551,89.84,4.109507584,6.499,6.499,1,153.9,776.0666666666666,0.974325,0.9792633333333333
mobilenetv2_100,2.251,8.59,0.312940096,4.422,4.422,1,226.1,535.4666666666667,0.9724353333333333,0.9774059999999999
resnet101,42.543,162.29,7.831964672,13.185,13.185,1,75.8,1172.9333333333334,0.9696703333333333,0.97524
