tag,experiment,model,recipe,tta_group,repeat_id,seed,split,n_test,accuracy,balanced_accuracy,top5_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,sensitivity_macro,specificity_macro,g_mean_macro,cohen_kappa,mcc,auc_macro_ovr,auc_weighted_ovr,average_precision_macro,log_loss,ece,n_zero_recall_classes,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,train_sec,n_epochs,best_epoch,select_src,hier_beta,proto_P1_accuracy,proto_P1_f1_macro,proto_P2_f1_macro,proto_P3_accuracy,proto_P3_f1_macro,proto_leakage_rate,proto_mean_prob_mass_on_absent,proto_off_plant_rate
proposed/Proposed_HMLA_CAFormerS18/seed42,proposed,caformer_s18.sail_in22k_ft_in1k,proposed,klein,0,42,internal_test,1077,0.983287,0.978913,1.0,0.980995,0.978913,0.977895,0.985978,0.983287,0.983177,0.978913,0.999175,0.976519,0.982377,0.982489,0.999717,0.999781,0.99268,0.117119,0.069613,0,23.897,91.16,3.970553856,45.502,11.375,4,22.0,985.0,16,7,ema,0.0,,,,,,,,
proposed/Proposed_HMLA_CAFormerS18/seed42,proposed,caformer_s18.sail_in22k_ft_in1k,proposed,klein,0,42,external,4800,0.69375,0.69375,0.944792,0.699676,0.69375,0.683729,0.699676,0.69375,0.683729,0.69375,0.9595,0.422005,0.639971,0.65117,0.939357,0.939357,0.789149,1.171541,0.04428,0,23.897,91.16,3.970553856,45.502,11.375,4,22.0,985.0,16,7,ema,0.0,0.69375,0.6837285374942921,0.19535101071265487,0.7520833333333333,0.7035588614498308,0.10375,0.21801604516058432,0.10375
benchmark/resnet50/seed42,benchmark,resnet50,standard,none,0,42,internal_test,1077,0.980501,0.975924,1.0,0.978421,0.975924,0.975044,0.983181,0.980501,0.980326,0.975924,0.999034,0.97352,0.979439,0.979554,0.999308,0.999399,0.989704,0.191986,0.12481,0,23.551,89.84,4.109507584,6.499,6.499,1,153.9,780.3,32,31,raw,,,,,,,,,
benchmark/resnet50/seed42,benchmark,resnet50,standard,none,0,42,external,4800,0.507292,0.507292,0.765208,0.681409,0.507292,0.549665,0.681409,0.507292,0.549665,0.507292,0.967,0.006152,0.445118,0.465383,0.88821,0.88821,0.711143,1.926177,0.060135,1,23.551,89.84,4.109507584,6.499,6.499,1,153.9,780.3,32,31,raw,,0.5072916666666667,0.5496645990110982,0.1570470282888852,0.6852083333333333,0.6351301479785006,0.3277083333333333,0.5452244343657366,0.3277083333333333
benchmark/resnet101/seed42,benchmark,resnet101,standard,none,0,42,internal_test,1077,0.975859,0.969722,0.999071,0.974049,0.969722,0.968504,0.980052,0.975859,0.975577,0.969722,0.998806,0.965435,0.974545,0.974725,0.999655,0.999705,0.992746,0.174231,0.099529,0,42.543,162.29,7.831964672,13.185,13.185,1,75.8,1202.4,32,24,raw,,,,,,,,,
benchmark/resnet101/seed42,benchmark,resnet101,standard,none,0,42,external,4800,0.631875,0.631875,0.86625,0.710519,0.631875,0.61535,0.710519,0.631875,0.61535,0.631875,0.950792,0.42905,0.568779,0.585427,0.904914,0.904914,0.721663,1.406744,0.040605,0,42.543,162.29,7.831964672,13.185,13.185,1,75.8,1202.4,32,24,raw,,0.631875,0.6153498165558487,0.1758142333016711,0.6758333333333333,0.6266810342065411,0.12208333333333334,0.2726130278679102,0.12208333333333334
benchmark/densenet121/seed42,benchmark,densenet121,standard,none,0,42,internal_test,1077,0.988858,0.98619,1.0,0.987023,0.98619,0.985858,0.989769,0.988858,0.988766,0.98619,0.999448,0.985316,0.988251,0.988293,0.999829,0.999862,0.996631,0.146783,0.105557,0,6.975,26.61,2.864544256,21.981,21.981,1,45.5,875.2,32,24,raw,,,,,,,,,
benchmark/densenet121/seed42,benchmark,densenet121,standard,none,0,42,external,4800,0.540417,0.540417,0.792292,0.742572,0.540417,0.610129,0.742572,0.540417,0.610129,0.540417,0.985917,0.006598,0.488325,0.509883,0.90165,0.90165,0.759805,1.798542,0.079451,1,6.975,26.61,2.864544256,21.981,21.981,1,45.5,875.2,32,24,raw,,0.5404166666666667,0.6101287661998217,0.1743225046285205,0.745,0.6899304976210167,0.38916666666666666,0.5524688700519437,0.38916666666666666
benchmark/densenet201/seed42,benchmark,densenet201,standard,none,0,42,internal_test,1077,0.987001,0.982679,0.999071,0.985192,0.982679,0.982104,0.989171,0.987001,0.986804,0.982679,0.999359,0.980382,0.986293,0.986389,0.998833,0.998946,0.992848,0.143848,0.09399,0,18.133,69.17,4.338991104,17.854,17.854,1,56.0,1212.2,25,16,raw,,,,,,,,,
benchmark/densenet201/seed42,benchmark,densenet201,standard,none,0,42,external,4800,0.6575,0.6575,0.830833,0.718139,0.6575,0.676595,0.718139,0.6575,0.676595,0.6575,0.969792,0.008133,0.604157,0.620653,0.904991,0.904991,0.760452,1.451887,0.0591,1,18.133,69.17,4.338991104,17.854,17.854,1,56.0,1212.2,25,16,raw,,0.6575,0.6765948216688668,0.19331280619110477,0.7533333333333333,0.7008632674274389,0.19145833333333334,0.365111879058295,0.19145833333333334
benchmark/vgg16/seed42,benchmark,vgg16,standard,none,0,42,internal_test,1077,0.98143,0.975111,0.999071,0.977846,0.975111,0.97559,0.982471,0.98143,0.981317,0.975111,0.99908,0.973109,0.980417,0.980467,0.998959,0.999062,0.994546,0.140656,0.094006,0,134.347,512.49,15.466258432,18.391,18.391,1,54.4,1688.4,32,25,raw,,,,,,,,,
benchmark/vgg16/seed42,benchmark,vgg16,standard,none,0,42,external,4800,0.178958,0.178958,0.670833,0.662784,0.178958,0.258275,0.662784,0.178958,0.258275,0.178958,0.987917,0.002163,0.144841,0.167354,0.790209,0.790209,0.560796,2.920347,0.279038,1,134.347,512.49,15.466258432,18.391,18.391,1,54.4,1688.4,32,25,raw,,0.17895833333333333,0.25827467713979163,0.07379276489708333,0.536875,0.5086704999423731,0.760625,0.7521242016709342,0.760625
benchmark/vgg19/seed42,benchmark,vgg19,standard,none,0,42,internal_test,1077,0.988858,0.985105,0.999071,0.985487,0.985105,0.985129,0.989052,0.988858,0.988834,0.985105,0.999449,0.984244,0.98825,0.98826,0.998843,0.998955,0.99288,0.136941,0.093686,0,139.656,532.75,19.628056576,7.08,7.08,1,141.2,1940.8,32,28,raw,,,,,,,,,
