model,recipe,experiment,n_seeds,accuracy_mean,accuracy_std,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_n,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_n,f1_macro_mean,f1_macro_std,f1_macro_n,f1_weighted_mean,f1_weighted_std,f1_weighted_n,precision_macro_mean,precision_macro_std,precision_macro_n,recall_macro_mean,recall_macro_std,recall_macro_n,sensitivity_macro_mean,sensitivity_macro_std,sensitivity_macro_n,specificity_macro_mean,specificity_macro_std,specificity_macro_n,g_mean_macro_mean,g_mean_macro_std,g_mean_macro_n,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_n,mcc_mean,mcc_std,mcc_n,auc_macro_ovr_mean,auc_macro_ovr_std,auc_macro_ovr_n,average_precision_macro_mean,average_precision_macro_std,average_precision_macro_n,ece_mean,ece_std,ece_n,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,select_src,hier_beta,best_epoch,train_sec_mean,complete
swin_small_patch4_window7_224,standard,benchmark,3,0.6847219999999999,0.013775742738596695,3,0.6847219999999999,0.013775742738596695,3,0.8289583333333334,0.011991209168942573,3,0.6973566666666665,0.022006936641280492,3,0.6973566666666665,0.022006936641280492,3,0.7245643333333334,0.016138021450392677,3,0.6847219999999999,0.013775742738596695,3,0.6847219999999999,0.013775742738596695,3,0.9733753333333333,0.008949802139339923,3,0.12713966666666668,0.20546482781812886,3,0.6349063333333334,0.017723679762773118,3,0.6499463333333334,0.018730089437408785,3,0.9324966666666666,0.015298007920423223,3,0.7891739999999999,0.03367408934180702,3,0.08207533333333333,0.022577301573335408,3,48.853,186.36,8.767782912,19.666,19.666,1,50.8,raw,,25,1821.0,True
legacy_seresnext50_32x4d,standard,benchmark,3,0.6665973333333334,0.03869983282048298,3,0.6665973333333334,0.03869983282048298,3,0.8593746666666666,0.02428133714055577,3,0.6911866666666667,0.020143003408959016,3,0.6911866666666667,0.020143003408959016,3,0.7463326666666666,0.01969314566881926,3,0.6665973333333334,0.03869983282048298,3,0.6665973333333334,0.03869983282048298,3,0.9736250000000001,0.003756180107502797,3,0.2611426666666667,0.22390748720025722,3,0.6157133333333333,0.040613078931956544,3,0.630372,0.040683704010328295,3,0.9208176666666666,0.010477092456084058,3,0.7831566666666667,0.01935909926451471,3,0.058174000000000003,0.00659197565226086,3,25.554,97.48,4.2598912,10.244,10.244,1,97.6,raw,,26,1122.2333333333333,True
swin_small_patch4_window7_224 [matched],matched,recipe_matched,3,0.6847223333333333,0.011506033040684911,3,0.6847223333333333,0.011506033040684911,3,0.8473613333333333,0.015642212002569617,3,0.684812,0.0027807892764464917,3,0.684812,0.0027807892764464917,3,0.706684,0.013702882944840516,3,0.6847223333333333,0.011506033040684911,3,0.6847223333333333,0.011506033040684911,3,0.966542,0.008224392074797963,3,0.31245666666666666,0.03625954211422605,3,0.6326043333333333,0.00987616956787059,3,0.646956,0.010673040616431652,3,0.9139896666666667,0.024874408482079235,3,0.7604123333333334,0.018020496034608254,3,0.05094166666666666,0.023567055911448365,3,48.853,186.36,8.767782912,79.04,19.76,4,12.7,ema,,7,1483.0333333333335,True
Proposed_HMLA_CAFormerS18,proposed,proposed,3,0.7039583333333334,0.009562804104096956,3,0.7039583333333334,0.009562804104096956,3,0.8825,0.05535233295896388,3,0.6817676666666667,0.004294212073632771,3,0.6817676666666667,0.004294212073632771,3,0.6765746666666667,0.021048476959944915,3,0.7039583333333334,0.009562804104096956,3,0.7039583333333334,0.009562804104096956,3,0.956514,0.003790196300984931,3,0.1464406666666667,0.23864571332067402,3,0.6502816666666665,0.009461330209507195,3,0.6643856666666667,0.012820682132138411,3,0.9192710000000001,0.030574601927089752,3,0.7569353333333333,0.03598247615622542,3,0.07180933333333332,0.024327626812604086,3,23.897,91.16,3.970553856,45.502,11.375,4,22.0,ema,0.0,7,2123.433333333333,True
densenet201,standard,benchmark,3,0.668611,0.03489445461674391,3,0.668611,0.03489445461674391,3,0.830486,0.004904714772542844,3,0.6800486666666666,0.018346938772812568,3,0.6800486666666666,0.018346938772812568,3,0.7160823333333334,0.001782746289670303,3,0.668611,0.03489445461674391,3,0.668611,0.03489445461674391,3,0.9658333333333333,0.0038029721709911908,3,0.008266666666666667,0.00038625423406525046,3,0.614932,0.037221183820507396,3,0.6327173333333334,0.03817218377737029,3,0.9113433333333334,0.00784190259652169,3,0.772135,0.013322071498081648,3,0.07560499999999999,0.03912032603391746,3,18.133,69.17,4.338991104,17.854,17.854,1,56.0,raw,,16,1458.3666666666668,True
efficientnet_b3,standard,benchmark,3,0.6755556666666668,0.014648977654885416,3,0.6755556666666668,0.014648977654885416,3,0.8498613333333332,0.024138921813812057,3,0.6617820000000001,0.010989540436251182,3,0.6617820000000001,0.010989540436251182,3,0.7322026666666668,0.002300383084039098,3,0.6755556666666668,0.014648977654885416,3,0.6755556666666668,0.014648977654885416,3,0.9535556666666666,0.0026567245497667335,3,0.385441,0.07807798402238625,3,0.617722,0.017105357406380046,3,0.6339343333333334,0.0178682760593554,3,0.9047283333333334,0.0039614403104595046,3,0.7445066666666666,0.012455515418212661,3,0.15252200000000002,0.017299510715624297,3,10.729,40.93,0.987252112,20.767,20.767,1,48.2,raw,,11,774.6333333333333,True
vit_small_patch16_224,standard,benchmark,3,0.654653,0.031153026947633843,3,0.654653,0.031153026947633843,3,0.8184723333333334,0.011260219639657726,3,0.660942,0.025215147649775914,3,0.660942,0.025215147649775914,3,0.68287,0.022196629676597295,3,0.654653,0.031153026947633843,3,0.654653,0.031153026947633843,3,0.9630973333333334,0.004350768361259152,3,0.11233233333333335,0.18056807444377684,3,0.5985446666666666,0.03544756700160584,3,0.6118906666666667,0.034929089672267905,3,0.9142653333333333,0.015584381198280943,3,0.7489606666666667,0.03709566053237676,3,0.036331333333333334,0.01427703457771723,3,21.674,82.68,4.250298624,4.101,4.101,1,243.8,raw,,20,642.0333333333334,True
regnety_016,standard,benchmark,3,0.660764,0.006181511789198481,3,0.660764,0.006181511789198481,3,0.8333333333333334,0.010092991248055934,3,0.658385,0.009216509154772233,3,0.658385,0.009216509154772233,3,0.6882663333333333,0.011813550792768985,3,0.660764,0.006181511789198481,3,0.660764,0.006181511789198481,3,0.957486,0.005593252810306334,3,0.09537933333333333,0.1511566549290283,3,0.6029713333333334,0.007166477261063024,3,0.6215099999999999,0.005744830284699429,3,0.8977550000000001,0.004008049899888993,3,0.725667,0.004667003214055015,3,0.10380966666666668,0.017902455818499686,3,10.332,39.41,1.627317616,16.169,16.169,1,61.8,raw,,7,655.7333333333333,True
swin_tiny_patch4_window7_224,standard,benchmark,3,0.6047223333333333,0.01223555459851878,3,0.6047223333333333,0.01223555459851878,3,0.8091666666666667,0.007397742718784782,3,0.6550563333333334,0.010024493470162679,3,0.6550563333333334,0.010024493470162679,3,0.749158,0.033155928172801934,3,0.6047223333333333,0.01223555459851878,3,0.6047223333333333,0.01223555459851878,3,0.977167,0.003814036575598086,3,0.309087,0.06663929640234806,3,0.5509353333333333,0.012741209688774987,3,0.5672036666666667,0.01284825678188809,3,0.9090066666666666,0.00222493692794501,3,0.7626996666666667,0.00540918850968732,3,0.08196233333333335,0.002339420939748414,3,27.536,105.04,4.508442624,10.251,10.251,1,97.6,raw,,26,1129.4333333333334,True
caformer_s18.sail_in22k_ft_in1k,standard,benchmark,3,0.6456246666666667,0.025127280161874543,3,0.6456246666666667,0.025127280161874543,3,0.8276386666666666,0.028732288828656402,3,0.6543426666666666,0.008311977883352037,3,0.6543426666666666,0.008311977883352037,3,0.708844,0.01229797202794021,3,0.6456246666666667,0.025127280161874543,3,0.6456246666666667,0.025127280161874543,3,0.9628193333333334,0.003549233767073301,3,0.183095,0.15251046322465878,3,0.5887233333333334,0.026657161558075432,3,0.6079786666666668,0.027830449822691214,3,0.8984816666666666,0.02355196030765456,3,0.7402416666666666,0.03138983689561537,3,0.10211033333333334,0.06388147965046938,3,24.336,92.83,3.894573824,10.602,10.602,1,94.3,raw,,5,1332.9333333333332,True
caformer_s18.sail_in22k_ft_in1k [matched],matched,recipe_matched,3,0.6229166666666667,0.028358404350973865,3,0.6229166666666667,0.028358404350973865,3,0.8047223333333333,0.021107789944315194,3,0.6530903333333333,0.02794530925456599,3,0.6530903333333333,0.02794530925456599,3,0.7060146666666666,0.025838062182240617,3,0.6229166666666667,0.028358404350973865,3,0.6229166666666667,0.028358404350973865,3,0.9684306666666668,0.007656316694947606,3,0.007778333333333332,0.0002878199668774442,3,0.5664710000000001,0.03333135298784015,3,0.5825996666666665,0.03463648840938316,3,0.8933163333333334,0.007747543761304818,3,0.741607,0.009682479176326685,3,0.09772666666666667,0.021337682098422343,3,24.336,92.83,3.894573824,37.02,9.255,4,27.0,ema,,23,1764.2,True
ghostnet_100,standard,benchmark,3,0.5926386666666666,0.017926587693516394,3,0.5926386666666666,0.017926587693516394,3,0.85125,0.0077920320841228475,3,0.640762,0.01844419160603141,3,0.640762,0.01844419160603141,3,0.7724263333333333,0.021299713620922988,3,0.5926386666666666,0.017926587693516394,3,0.5926386666666666,0.017926587693516394,3,0.973611,0.0054840872531351816,3,0.3656650000000001,0.01121835620757337,3,0.5366886666666667,0.020197234323870546,3,0.5519296666666667,0.020002814460303678,3,0.9212576666666666,0.003922380059776641,3,0.7622253333333333,0.017856038651765212,3,0.13739900000000002,0.019272322875045447,3,3.928,14.99,0.147020816,10.109,10.109,1,98.9,raw,,28,492.90000000000003,True
legacy_seresnext50_32x4d [matched],matched,recipe_matched,3,0.6000693333333333,0.046876001966180275,3,0.6000693333333333,0.046876001966180275,3,0.8595139999999999,0.013772299263376496,3,0.6400483333333334,0.035574490499982334,3,0.6400483333333334,0.035574490499982334,3,0.6978036666666667,0.013983971157483592,3,0.6000693333333333,0.046876001966180275,3,0.6000693333333333,0.046876001966180275,3,0.969361,0.005456164128762964,3,0.007474666666666667,0.0005307365950575988,3,0.5428769999999999,0.0507081449473356,3,0.5581743333333332,0.04928048446731559,3,0.904532,0.00923707491579452,3,0.7443080000000001,0.015850348986694282,3,0.08213466666666668,0.014457686755955582,3,25.554,97.48,4.2598912,51.907,12.977,4,19.3,ema,,12,1000.6333333333333,True
