experiment,model,n_seeds,P1_accuracy_mean,P1_f1_macro_mean,P2_f1_macro_mean,P3_accuracy_mean,P3_f1_macro_mean,leakage_rate_mean,mean_prob_mass_on_absent_mean,off_plant_rate_mean,P1_accuracy_std,P1_f1_macro_std,P2_f1_macro_std,P3_accuracy_std,P3_f1_macro_std,leakage_rate_std,mean_prob_mass_on_absent_std,off_plant_rate_std
benchmark,swin_small_patch4_window7_224,3,0.6847222222222222,0.6973563188938617,0.19924466254110337,0.75625,0.702925725267423,0.18215277777777775,0.2791788033611213,0.18215277777777775,0.013775754499737426,0.022007007341663068,0.006287716383332297,0.02885172221895948,0.025023086942296272,0.03426075290788011,0.020903772581305102,0.03426075290788011
benchmark,legacy_seresnext50_32x4d,3,0.6665972222222222,0.691186864061106,0.197481961160316,0.7627777777777777,0.7152021239462428,0.20152777777777778,0.307243757982887,0.20152777777777778,0.03869975087248745,0.020143218140849246,0.0057552051830998,0.008562812578776809,0.0034542617083553667,0.057040104272085355,0.05105547648979035,0.057040104272085355
ablation,wo_lap_gate,3,0.7064583333333333,0.6848987008351938,0.19568534309576965,0.7395833333333334,0.6901285071024694,0.07777777777777778,0.16215959092895194,0.07777777777777778,0.011057378758096311,0.008055190153953827,0.0023014829011296363,0.00854166666666667,0.00858923362211476,0.03409566640487604,0.028275802382348943,0.03409566640487604
recipe_matched,swin_small_patch4_window7_224,3,0.6847222222222222,0.6848119953874016,0.19566057011068613,0.7467361111111112,0.6942074014166012,0.14798611111111112,0.27401577798279403,0.14798611111111112,0.011506213096184829,0.0027812058692404597,0.0007946302483544384,0.009188736059457216,0.0037621745316631437,0.052043873941270115,0.06364059083226518,0.052043873941270115
proposed,Proposed_HMLA_CAFormerS18,3,0.7039583333333334,0.6817675145150003,0.1947907184328572,0.7450694444444445,0.6933907495321185,0.07861111111111112,0.18055996054065163,0.07861111111111112,0.00956293118127379,0.00429454709332791,0.0012270134552365597,0.009732385560781234,0.012115800992865404,0.02793246857916296,0.038017840939224445,0.02793246857916296
benchmark,densenet201,3,0.6686111111111112,0.6800485444948693,0.19429958414139117,0.7415972222222221,0.6941899698426419,0.16055555555555556,0.35634838696775356,0.16055555555555556,0.03489464135609324,0.018346695943310058,0.005241913126659978,0.017182554002156854,0.012234676867574778,0.049608857809348414,0.020933737605458903,0.049608857809348414
ablation,wo_hier,3,0.6927083333333334,0.6745982785897127,0.1927423653113465,0.7360416666666666,0.6849274674826997,0.08930555555555557,0.20698064872314315,0.08930555555555557,0.021833293575027418,0.018089930866000456,0.005168551676000137,0.019978286824561414,0.01990693255680408,0.01493959674576011,0.003830522676973884,0.01493959674576011
ablation,wo_lap,3,0.6896527777777778,0.6730028992340634,0.1922865426383038,0.7318055555555555,0.6829451956279021,0.08798611111111111,0.1774351642817621,0.08798611111111111,0.018788540636762104,0.008182296039886947,0.002337798868539125,0.011676583087213107,0.0099090697298594,0.03874178527024698,0.02464726152208736,0.03874178527024698
ablation,wo_mixstyle,3,0.6567361111111111,0.6681757904551145,0.19090736870146133,0.7381944444444445,0.6927188210468804,0.16604166666666667,0.2671160539274974,0.16604166666666667,0.021303377948978786,0.004154024300777429,0.0011868640859364003,0.012230308246925524,0.01378860091836163,0.05357813284768744,0.03714467531744882,0.05357813284768744
ablation,wo_random_erasing,3,0.6772222222222223,0.6621364122936397,0.18918183208389708,0.7240277777777777,0.671094161563937,0.11631944444444443,0.20458484921419262,0.11631944444444443,0.036672782002662684,0.024857870128962643,0.007102248608275051,0.028075058540224622,0.030786949984599927,0.0677247843262497,0.06416110270780906,0.0677247843262497
benchmark,efficientnet_b3,3,0.6755555555555555,0.6617818902745632,0.18908054007844666,0.7147916666666667,0.6697504130530468,0.09222222222222222,0.3551336927901482,0.09222222222222222,0.014649157003934524,0.010989447263134475,0.003139842075181269,0.020616580773197522,0.014929342949649134,0.004479570395241704,0.014012162590948425,0.004479570395241704
benchmark,vit_small_patch16_224,3,0.6546527777777778,0.6609420716139672,0.18884059188970492,0.7256944444444445,0.6752571930629901,0.16083333333333333,0.31004732828341325,0.16083333333333333,0.03115285827502354,0.025215106669137777,0.007204316191182227,0.02143539766713344,0.016023702451253636,0.011731590187750912,0.017892619925172208,0.011731590187750912
benchmark,regnety_016,3,0.6607638888888889,0.6583853989441025,0.1881101139840293,0.7238888888888889,0.6771758315346021,0.12666666666666668,0.331195417981748,0.12666666666666668,0.006181335780964868,0.009216512547843605,0.002633289299383877,0.019758012322243525,0.017290063033819934,0.028399891187193736,0.014831608899938805,0.028399891187193736
benchmark,swin_tiny_patch4_window7_224,3,0.6047222222222222,0.655056327830238,0.18715895080863942,0.7264583333333334,0.6844804063786208,0.28111111111111114,0.3910588003377941,0.28111111111111114,0.012235630271798402,0.010024274116790318,0.0028640783190829393,0.013583269427252501,0.011047375311908867,0.024127422637906182,0.021568646363727895,0.024127422637906182
benchmark,caformer_s18-sail_in22k_ft_in1k,3,0.645625,0.654342738774249,0.186955068221214,0.7341666666666667,0.686254759321003,0.16847222222222222,0.2742507490654114,0.16847222222222222,0.025127280161874523,0.008311727821187428,0.002374779377482133,0.0052041649986653655,0.005581808053524512,0.03684045777000746,0.01802538912306447,0.03684045777000746
ablation,wo_mixup_cooldown,3,0.6815277777777778,0.6538681300033696,0.18681946571524846,0.7172916666666667,0.6634949713996777,0.07319444444444444,0.1655678603635978,0.07319444444444444,0.011434318268233613,0.014008587896159946,0.004002453684617142,0.018329781852978403,0.01861685773940692,0.02176294048844741,0.021570092438604336,0.02176294048844741
recipe_matched,caformer_s18-sail_in22k_ft_in1k,3,0.6229166666666667,0.6530903355967008,0.1865972387419145,0.7223611111111111,0.6768132372708261,0.2192361111111111,0.3254227663704296,0.2192361111111111,0.02835859780462438,0.027945550362374123,0.007984442960678349,0.027831285270623344,0.023748652313331512,0.013935512023975666,0.019113811113321083,0.013935512023975666
ablation,wo_two_phase,3,0.6805555555555555,0.6521781088506619,0.18633660252876053,0.7136111111111111,0.6607220482151074,0.07340277777777778,0.13166709725054615,0.07340277777777778,0.018925490477523055,0.011279843452731173,0.0032228124150660395,0.018986166991708395,0.015384376184417362,0.0173634720616885,0.03866655226927875,0.0173634720616885
ablation,wo_label_smoothing,3,0.6779861111111112,0.6505147837975209,0.18586136679929166,0.7154861111111112,0.658955503298769,0.08541666666666665,0.1050719644843189,0.08541666666666665,0.015529336783196056,0.02259000747225014,0.006454287849214323,0.022977507621182117,0.024337469596248176,0.02752129857038,0.024193005167475877,0.02752129857038
ablation,wo_msf,3,0.6679861111111111,0.6502028613885406,0.18577224611101162,0.7140972222222223,0.6567640343957216,0.11951388888888888,0.21106525613131655,0.11951388888888888,0.028544201022922915,0.023094607392162098,0.006598459254903436,0.019589242607255867,0.025608008364596053,0.05128739038045352,0.053482969549010564,0.05128739038045352
ablation,wo_sampler,3,0.6398611111111111,0.6477434522000365,0.185069557771439,0.7130555555555556,0.6651690705101342,0.16541666666666666,0.2533612488762851,0.16541666666666666,0.024481013523711584,0.013998957064926796,0.003999702018550495,0.019900286732533218,0.018457211435617085,0.03237355209117469,0.03148790600307278,0.03237355209117469
ablation,wo_mixup,3,0.6590972222222222,0.6423877413442716,0.18353935466979188,0.7032638888888889,0.648612585386705,0.12375000000000001,0.24402030616563733,0.12375000000000001,0.05145509998838616,0.06169719508612037,0.01762777002460582,0.05820161219448337,0.06830925667153592,0.017501240035431135,0.007323226482138543,0.017501240035431135
